#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
imperial_duke_greek;Strategos;Strategos;Strategos;;Strategos;;;;;;;;;x
imperial_king_greek;Exarchos;Exarchos;Exarchos;;Exarchos;;;;;;;;;x
imperial_duchy_of_byzantine;Thema;Thema;Thema;;Thema;;;;;;;;;x
imperial_duke_turkmen;Emir;Emir;Emir;;Emir;;;;;;;;;x
imperial_king_turkmen;Emir;Emir;Emir;;Emir;;;;;;;;;x
imperial_duchy_of_turkmen;Emirate;Emirate;Emirate;;Emirate;;;;;;;;;x
imperial_kingdom_of_turkmen;Emirate;Emirate;Emirate;;Emirate;;;;;;;;;x
imperial_duke_german;Stathaltaere;Stathaltaere;Stathaltaere;;Stathaltaere;;;;;;;;;x
imperial_king_german;Richvicar;Richvicar;Richvicar;;Richvicar;;;;;;;;;x
imperial_duke_low_german;Statholdaere;Statholdaere;Statholdaere;;Statholdaere;;;;;;;;;x
imperial_king_low_german;Rikesvicaries;Rikesvicaries;Rikesvicaries;;Rikesvicaries;;;;;;;;;x
imperial_duke_dutch;Stathouder;Stathouder;Stathouder;;Stathouder;;;;;;;;;x
imperial_king_dutch;Rikevicaris;Rikevicaris;Rikevicaris;;Rikevicaris;;;;;;;;;x
imperial_duke_franconian;Lantheriro;Lantheriro;Lantheriro;;Lantheriro;;;;;;;;;x
imperial_duke_female_franconian;Lantfrouwa;Lantfrouwa;Lantfrouwa;;Lantfrouwa;;;;;;;;;x
imperial_king_franconian;Fikari;Fikari;Fikari;;Fikari;;;;;;;;;x
imperial_duke_bavarian;Lantheriro;Lantheriro;Lantheriro;;Lantheriro;;;;;;;;;x
imperial_duke_female_bavarian;Lantfrouwa;Lantfrouwa;Lantfrouwa;;Lantfrouwa;;;;;;;;;x
imperial_king_bavarian;Fikari;Fikari;Fikari;;Fikari;;;;;;;;;x
imperial_duke_swabian;Lantheriro;Lantheriro;Lantheriro;;Lantheriro;;;;;;;;;x
imperial_duke_female_swabian;Lantfrouwa;Lantfrouwa;Lantfrouwa;;Lantfrouwa;;;;;;;;;x
imperial_king_swabian;Fikari;Fikari;Fikari;;Fikari;;;;;;;;;x
imperial_duke_thuringian;Lantheriro;Lantheriro;Lantheriro;;Lantheriro;;;;;;;;;x
imperial_duke_female_thuringian;Lantfrouwa;Lantfrouwa;Lantfrouwa;;Lantfrouwa;;;;;;;;;x
imperial_king_thuringian;Fikari;Fikari;Fikari;;Fikari;;;;;;;;;x
imperial_duke_low_saxon;Landherro;Landherro;Landherro;;Landherro;;;;;;;;;x
imperial_duke_female_low_saxon;Landfrua;Landfrua;Landfrua;;Landfrua;;;;;;;;;x
imperial_king_low_saxon;Fikari;Fikari;Fikari;;Fikari;;;;;;;;;x
imperial_duke_low_frankish;Landherro;Landherro;Landherro;;Landherro;;;;;;;;;x
imperial_duke_female_low_frankish;Landfrouwa;Landfrouwa;Landfrouwa;;Landfrouwa;;;;;;;;;x
imperial_king_low_frankish;Vicaris;Vicaris;Vicaris;;Vicaris;;;;;;;;;x
imperial_duke_frisian;Landhêra;Landhêra;Landhêra;;Landhêra;;;;;;;;;x
imperial_duke_female_frisian;Landfrouwe;Landfrouwe;Landfrouwe;;Landfrouwe;;;;;;;;;x
imperial_king_frisian;Fogid;Fogid;Fogid;;Fogid;;;;;;;;;x
imperial_duke_old_frankish;Lantheriro;Lantheriro;Lantheriro;;Lantheriro;;;;;;;;;x
imperial_duke_female_old_frankish;Lantfrouwa;Lantfrouwa;Lantfrouwa;;Lantfrouwa;;;;;;;;;x
imperial_king_old_frankish;Fikari;Fikari;Fikari;;Fikari;;;;;;;;;x
imperial_duke_pahlavi;Satrap;Satrap;Satrap;;Satrap;;;;;;;;;x
imperial_duchy_of_pahlavi;Satrapy of;Satrapy of;Satrapy of;;Satrapy of;;;;;;;;;x
imperial_duke_persian;Emir;Emir;Emir;;Emir;;;;;;;;;x
imperial_king_persian;Emir;Emir;Emir;;Emir;;;;;;;;;x
imperial_duchy_of_persian;Emirat-e;Emirat-e;Emirat-e;;Emirat-e;;;;;;;;;x
imperial_kingdom_of_persian;Emirat-e;Emirat-e;Emirat-e;;Emirat-e;;;;;;;;;x
imperial_duke_khorasani;Emir;Emir;Emir;;Emir;;;;;;;;;x
imperial_king_khorasani;Emir;Emir;Emir;;Emir;;;;;;;;;x
imperial_duchy_of_khorasani;Emirat-e;Emirat-e;Emirat-e;;Emirat-e;;;;;;;;;x
imperial_kingdom_of_khorasani;Emirat-e;Emirat-e;Emirat-e;;Emirat-e;;;;;;;;;x
imperial_duke_tajik;Emir;Emir;Emir;;Emir;;;;;;;;;x
imperial_king_tajik;Emir;Emir;Emir;;Emir;;;;;;;;;x
imperial_duchy_of_tajik;Emirat-e;Emirat-e;Emirat-e;;Emirat-e;;;;;;;;;x
imperial_kingdom_of_tajik;Emirat-e;Emirat-e;Emirat-e;;Emirat-e;;;;;;;;;x
imperial_duke_afghan;Emir;Emir;Emir;;Emir;;;;;;;;;x
imperial_king_afghan;Emir;Emir;Emir;;Emir;;;;;;;;;x
imperial_duchy_of_afghan;Emirat-e;Emirat-e;Emirat-e;;Emirat-e;;;;;;;;;x
imperial_kingdom_of_afghan;Emirat-e;Emirat-e;Emirat-e;;Emirat-e;;;;;;;;;x
imperial_duke;Minor Viceroy;Vice-roi mineur;Minderer Vizekönig;;Virrey Menor;;;;;;;;;x
imperial_king;Viceroy;Vice-roi;Vizekönig;;Virrey;;;;;;;;;x
imperial_duchy_of;Minor Viceroyalty of;Vice-royauté mineure de;Minderes Vizekönigreich von;;Pequeño Virreinato de;;;;;;;;;x
imperial_kingdom_of;Viceroyalty of;Vice-royauté de;Vizekönigreich von;;Virreinato de;;;;;;;;;x
imperial_duke_female;Minor Vicereine;Vice-reine mineure;Geringere Vizekönigin;;Virreina secundaria;;;;;;;;;x
imperial_king_female;Vicereine;Vice-reine;Vizekönigin;;Virreina;;;;;;;;;x
imperial_duke_byzantine;Strategos;Strategos;Strategos;;Strategos;;;;;;;;;x
imperial_king_byzantine;Exarch;Exarque;Exarch;;Exarca;;;;;;;;;x
imperial_kingdom_of_byzantine;Exarchate of;Exarchat de;Exarchat von;;Exarcado de;;;;;;;;;x
imperial_duke_female_byzantine;Strategitissa;Strategitissa;Strategitissa;;Estratega;;;;;;;;;x
imperial_king_female_byzantine;Exarchessa;Exarque;Exarchessa;;Exarca;;;;;;;;;x
