# CK2CULTURE;EU4CULTURE;Custom Defined;Comment

# North Germanic

norse;norse;1;Norse
swedish;swedish;0;Swedish
norwegian;norwegian;0;Norwegian
danish;danish;0;Danish
old_saxon;hannoverian;0;Westphallian

# Central Germanic

german;german;1;German
suebi;suebi;1;Suebi
lombard;old_lombard;1;Old Lombard

# West Germanic

old_frankish;frankish;1;Frankish
english;english;0;English
saxon;anglo_saxon;1;Anglo-Saxon
dutch;dutch;0;Dutch
frisian;frisian;1;Frisian

# Latin

frankish;cosmopolitan_french;0;French
norman;normand;0;Norman
italian;italian;1;Italian
occitan;occitain;0;Occitan
roman;roman;1;Roman
dalmatian;dalmatian;1;Dalmatian
outremer;outremer;1;Outremer

# Iberian

basque;basque;0;Basque
castillan;castillian;0;Castillan
catalan;catalan;0;Catalan
portuguese;portugese;0;Portuguese
visigothic;visigothic;1;Visigothic

# Byzantine

armenian;armenian;0;Armenian
greek;greek;0;Greek
alan;alan;1;Alan
georgian;georgian;0;Georgian
assyrian;assyrian;1;Assyrian
crimean_gothic;goths;0;Gothic
coptic;coptic;1;Coptic

# Celtic

irish;irish;0;Irish
scottish;scottish;0;Scottish
pictish;pictish;1;Pictish
welsh;welsh;0;Welsh
breton;breton;0;Breton

# Finno-Ugric

finnish;finnish;0;Finnish
lappish;sapmi;0;Sapmi
ugricbaltic;estonian;0;Estonian
komi;komi;1;Komi
samoyed;samoyed;0;Samoyed
mordvin;mordvin;1;Mordvin
khanty;khanty;1;Khanty
meshchera;meshchera;1;Meshchera

# Baltic

lettigallish;latvian;0;Latvian
lithuanian;lithuanian;0;Lithuanian
prussian;old_prussian;1;Old Prussian

# Altaic

turkish;turkish;0;Turkish
pecheneg;pecheneg;1;Pecheneg
cuman;cuman;1;Cuman
khazar;khazar;1;Khazar
bolghar;bolghar;1;Bolghar
avar;avar;1;Avar
mongol;mongol;0;Mongol
kirghiz;kirgiz;0;Kirghiz
karluk;karluk;1;Karluk
uyghur;uyghur;0;Uyghur
khitan;khitan;1;Khitan
sogdian;sogdian;1;Sogdian
tocharian;tocharian;1;Tocharian
jurchen;manchu;0;Manchu

# Arabic

bedouin_arabic;bedouin_arabic;0;Bedouin Arabic
maghreb_arabic;berber;0;Berber
levantine_arabic;al_suryah_arabic;0;Levantine
egyptian_arabic;al_misr_arabic;0;Egyptian
andalusian_arabic;andalucian;0;Andalusian Arabic

# East Slavic

russian;russian_culture;1;Russian
ilmenian;ilmenian;1;Ilmenian
volhynian;volhynian;1;Volhynian
severian;severian;1;Severian

# West Slavic

pommeranian;pommeranian;0;Pommeranian
bohemian;czech;0;Bohemian
polish;polish;0;Polish

# South Slavic

croatian;croatian;0;Croatian
serbian;serbian;0;Serbian
romanian;romanian;0;Romanian
bulgarian;bulgarian;0;Bulgarian
carantanian;carantanian;1;Carantanian
bosnian;bosnian;1;Bosnian
arberian;albanian;0;Arberian

# Magyar

hungarian;hungarian;0;Hungarian

# Iranian

persian;persian;0;Persian
kurdish;kurdish;0;Kurdish
baloch;baluchi;0;Baloch
afghan;afghani;0;Afghan
saka;saka;1;Saka

# East African
nubian;nubian;0;Nubian
ethiopian;amhara;0;Ethiopian
somali;somali;0;Somali
daju;daju;1;Daju

# Central African
kanuri;kanuri;0;Kanuri
hausa;hausa;0;Hausa
zaghawa;zaghawa;1;Zaghawa

# West African
manden;mali;0;Manden
soninke;soninke;0;Soninke
songhay;songhai;0;Soninke

# Mesoamerican

nahuatl;aztek;0;Aztec

# Aryan Indian

bengali;bengali;0;Bengali
oriya;oriya;0;Oriya
assamese;assamese;0;Assamese
hindustani;avadhi;0;Avadhi
gujurati;gujarati;0;Gujurati
panjabi;panjabi;0;Panjabi
rajput;rajput;0;Rajput
sindhi;sindhi;0;Sindhi
marathi;marathi;0;Marathi
sinhala;sinhala;0;Sinhala


# Dravidian Indian

tamil;tamil;0;Tamil
telugu;telegu;0;Telugu
kannada;kannada;0;Kannada


# Tibetan
bodpa;tibetan;0;Tibetan
tangut;tangut;1;Tangut
zhangzhung;zhangzhung;1;Zhangzhung
sumpa;sumpa;1;Sumpa
nepali;nepali;0;Nepali

#Chinese
han;chihan;0;Chihan

# Israelite
ashkenazi;ashkenazi;1;Ashkenazi
sephardi;sephardi;1;Sephardi

# Misc
horse;equine;1;Equine
cat;cat;1;Cat
bear;bear;1;Bear
hedgehog_culture;hedgehog_culture;1;Hedgehog
duck_culture;duck_culture;1;Duck
dog_culture;dog_culture;1;Dog
elephant_culture;elephant_culture;1;Elephant
dragon_culture;dragon_culture;1;Dragon
red_panda;red_panda;1;Red Panda


# EMF+Vanilla

gothic;swedish;0;Swedish
icelandic;norwegian;0;Norwegian
norsegaelic;scottish;0;Scottish
sicilian;sicilian;0;Sicilian
