# CK2RELIGION;EU4RELIGION;Custom Defined;Comment

# Catholic Heresies
cathar;cathar;1;Cathar
fraticelli;fraticelli;1;Fraticelli
waldensian;waldensian;1;Waldensian
lollard;lollard;1;Lollard

# Orthodox Heresies
bogomilist;bogomilist;1;Bogomilist
monothelite;monothelite;1;Monothelite
iconoclast;iconoclast;1;Iconoclast
#paulician;paulician;1;Paulician

# Miaphysite Heresies
monophysite;monophysite;1;Monophysite

# Nestorian Heresies
messalian;messalian;1;Messalian

# Sunni Heresies
zikri;zikri;1;Zikri
#yazidi;yazidi;1;Yazidi

# Shiite Heresies
#druze;druze;1;Druze
hurufi;hurufi;1;Hurufi

# Ibadi Heresies
kharijite;kharijite;1;Kharijite

# Zoroastrianism
mazdaki;mazdaki;1;Mazdaki
#manichean;manichean;1;Manichean

# Judaism
samaritan;samaritan_faith;1;Samaritan
karaite;karaite_faith;1;Karaite


# EMF+Vanilla
adoptionist;adoptionist;1;Adoptionist
arian;arian;1;Arian
paulician;paulician;1;Paulician
tondrakian;tondrakian;1;Tondrakian
mahdiyya;mahdiyya;1;Mahdite
nabawiyya;nabawiyya;1;Nabawite
haruri;haruri;1;Haruri
waqifi;waqifi;1;Waqifite
ismaili;ismaili;1;Ismaili
qarmatian;qarmatian;1;Qarmatian
zurvanist;zurvanist;1;Zurvanist
mandaean;mandaean;1;Mandaean
