# CK2RELIGION;EU4RELIGION;Custom Defined;Comment

# Pagan

norse_pagan;animism;0;Norse
norse_pagan_reformed;norse_pagan_reformed;0;Reformed Norse
tengri_pagan;tengri_pagan_reformed;0;Tengri
tengri_pagan_reformed;tengri_pagan_reformed;0;Reformed Tengri
baltic_pagan;animism;0;Romuva
baltic_pagan_reformed;baltic_pagan_reformed;1;Reformed Romuva
finnish_pagan;animism;0;Suomenusko
finnish_pagan_reformed;finnish_pagan_reformed;1;Reformed Suomenusko
aztec;nahuatl;0;Nahuatl
aztec_reformed;nahuatl;0;Nahuatl
slavic_pagan;animism;0;Slavic
slavic_pagan_reformed;slavic_pagan_reformed;1;Reformed Slavic
west_african_pagan;shamanism;0;West African
west_african_pagan_reformed;west_african_pagan_reformed;1;Reformed West African
hellenic_pagan;hellenic_pagan;1;Hellenic
zun_pagan;zoroastrian;0;Zunist
zun_pagan_reformed;zun_pagan_reformed;1;Zunist

# Zoroastrianism

zoroastrian;zoroastrian;0;Zoroastrian
mazdaki;zoroastrian;0;Zoroastrian
manichean;zoroastrian;0;Zoroastrian

# Christianity

catholic;catholic;0;Catholic
cathar;catholic;0;Catholic
fraticelli;catholic;0;Catholic
waldensian;catholic;0;Catholic
lollard;catholic;0;Catholic
orthodox;orthodox;0;Orthodox
monophysite;coptic;0;Coptic
bogomilist;orthodox;0;Orthodox
nestorian;orthodox;0;Orthodox
monothelite;orthodox;0;Orthodox
iconoclast;orthodox;0;Orthodox
miaphysite;coptic;0;Coptic
messalian;orthodox;0;Orthodox

# Islam

sunni;sunni;0;Sunni
zikri;sunni;0;Sunni
#yazidi;sunni;0;Sunni
ibadi;ibadi;0;Ibadi
shiite;shiite;0;Shiite
druze;shiite;0;Shiite
hurufi;shiite;0;Shiite
kharijite;ibadi;0;Ibadi

# Judaism
jewish;jewish;0;Jewish
samaritan;jewish;0;Jewish
karaite;jewish;0;Jewish

# Indian
buddhist;buddhism;0;Buddhist
hindu;hinduism;0;Hindu
jain;jain;1;Jain

# EMF+Vanilla
adoptionist;catholic;0;Catholic
arian;catholic;0;Catholic
maronite;orthodox;0;Orthodox
apostolic;coptic;0;Coptic
paulician;coptic;0;Coptic
tondrakian;coptic;0;Coptic
mahdiyya;sunni;0;Sunni
nabawiyya;sunni;0;Sunni
haruri;ibadi;0;Ibadi
waqifi;shiite;0;Shiite
zaydi;zaydi;1;Zaydi
qarmatian;shiite;0;Shiite
zurvanist;zoroastrian;0;Zoroastrian
mandaean;zoroastrian;0;Zoroastrian
yazidi;yazidi;1;Yazidi
