#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
Yes;Yes;;;;Sí;;;;;;;;;x
No;No;;;;;;;;;;;;;x
meneth.0.desc;Our family has assimilated the local culture.;;;;Nuestra familia ha asimilado la cultura local.;;;;;;;;;x
meneth.0.a;Assimilate the local culture;;;;Asimilar la cultura local;;;;;;;;;x
meneth.0.b;Do nothing;;;;No hacer nada;;;;;;;;;x
meneth.1.desc;I've assimilated the local culture.;;;;He asimilado la cultura local.;;;;;;;;;x
meneth.1.a;Assimilate the local culture;;;;Asimilar la cultura local;;;;;;;;;x
meneth.1.b;Do nothing;;;;No hacer nada;;;;;;;;;x
meneth.100.desc;It's dangerous to go alone! Take this piety!;;;;¡Es peligroso estar solo! ¡Toma esta piedad!;;;;;;;;;x
meneth.100.a;Free piety! Thanks;;;;¿Piedad gratis? ¡Gracias!;;;;;;;;;x
meneth.101.desc;The great [Root.GetTitledName] and all [Root.GetHerHis] vassals have converted and embraced the Shiite faith!;;;;;;;;;;;;;x
meneth.201.desc;Sudden Death;;;;Muerte súbita;;;;;;;;;x
meneth.201.a;Seems I am no longer needed in this cruel world.;;;;Parece que ya no soy necesario en este mundo cruel.;;;;;;;;;x
pb_crusades.1.desc;I've just won a kingdom in a Crusade. I could choose to keep the kingdom for myself, or I could give it to someone else.;;;;Acabas de ganar un reino en una cruzada. Puedes elegir quedártelo o dárselo a alguien más.;;;;;;;;;x
pb_crusades.1.a;Keep it for myself.;;;;Quedármelo.;;;;;;;;;x
pb_crusades.1.b;You shouldn't be seeing this button; you're not a bot.;;;No deberías ver este botón si no eres un robot.;;;;;;;;;x
pb_crusades.1.c;Give it to my son.;;;;Dárselo a mi hijo.;;;;;;;;;x
pb_crusades.1.d;Give it to my brother.;;;;Dárselo a mi hermano.;;;;;;;;;x
pb_crusades.1.e;Give it to a close relative.;;;;Dárselo a un pariente cercano.;;;;;;;;;x
pb_crusades.1.f;Give it to a dynasty member.;;;;Dárselo a un miembro de mi dinastía.;;;;;;;;;x
pb_crusades.1.g;Give it to someone from my realm.;;;;Dárselo a alguien de mi reino.;;;;;;;;;x
meneth.205.desc;Feeling little loyalty to their far off ruler, the peasant rebels of [Root.GetName] desire to align with a nearby ruler instead!;;;;Sintiendo escasa lealtad por su lejano gobernante, los campesinos rebeldes de [Root.GetName] ¡desean unirse a un gobernante más próximo!;;;;;;;;;x
meneth.206.desc;The pious are rewarded for their efforts.;;;;Los píos serán recompensados por sus cuitas.;;;;;;;;;x
meneth.206.a;OK;;;;;;;;;;;;;x
