#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
tall;Tall;;;;Alto;;;;;;;;;x
tall_desc;This character is of considerable stature, taller than most.; This character is of considerable stature, taller than most.; This character is of considerable stature, taller than most.;;Este personaje tiene una altura considerable, más alto que la mayoría.;;;;;;;;;x
agile;Agile;;;;Ágil;;;;;;;;;x
agile_desc;This character is nimbler and quicker than most.;;;;Este personaje es más rápido y escurridizo que la mayoría.;;;;;;;;;x
perceptive;Perceptive;;;;Perspicaz;;;;;;;;;x
perceptive_desc;This character is sharp, possessing excellent senses and intuition.;;;;Este personaje es sagaz, y posee excelentes sentidos e intuición.;;;;;;;;;x
melodious_voice;Silver Tongue;;;;Lengua plateada;;;;;;;;;x
melodious_voice_desc;This character is said to have a pleasing voice, and can sing wonderfully. Somehow, when they talk, everyone simply listens.;;;;Este personaje tiene una voz placentera, y puede cantar maravillosamente. De alguna forma, cuando habla, los demás simplemente escuchan.;;;;;;;;;x
powerful_voice;Powerful Voice;;;;Voz poderosa;;;;;;;;;x
powerful_voice_desc;This character speaks in an imposing tone that can persuade friends, frighten enemies, and inspire subordinates.;This character speaks in an imposing tone that can persuade friends, frighten enemies, and inspire subordinates.;This character speaks in an imposing tone that can persuade friends, frighten enemies, and inspire subordinates.;;Este personaje habla con un tono imponente que logra persuadir amigos, asustar enemigos e inspirar a sus subordinados.;;;;;;;;;x
ambidextrous;Ambidextrous;;;;Ambidiestro;;;;;;;;;x
ambidextrous_desc;This character can naturally use both hands with equal skill. As a result, they are more efficient in whatever they do, whether it is swinging swords or writing letters.;;;;Este personaje es capaz de usar ambas manos con igual destreza. Como resultado, es más eficiente en cualquier tarea manual, como manejar la espada o escribir cartas.;;;;;;;;;x
lefthanded;Lefthanded;;;;Zurdo;;;;;;;;;x
lefthanded_desc;This character is better at using their left hand than their right hand. It offers them many advantages when dealing with others, but it is viewed as impious by religious authorities.;;;;Este personaje es más hábil con la izquierda que con la derecha. Le da mucha ventaja en sus enfrentamientos con los demás, pero es visto como impío por las autoridades religiosas.;;;;;;;;;x
wrymouth;Wrymouth;;;;Quijada deforme;;;;;;;;;x
wrymouth_desc;This character was born with an oddly-shaped chin or jaw – perhaps it is too big, or too small. Hopefully, this facial feature won’t spread with interbreeding.;;;;Este personaje ha nacido con la mandíbula o la barbilla excesivamente prominente o demasiado pequeña. Con algo de suerte este rasgo no se heredará.;;;;;;;;;x
absentminded;Absent-Minded;;;;Olvidadizo;;;;;;;;;x
absentminded_desc;This erratic character was born with a scatterbrained temperament. They tend to forget things easily, get distracted too easily, or both. This behavior may be endearing to some, but to others it is an annoyance.;;;;Este personaje ha nacido con un temperamento errático. Olvida las cosas con facilidad, se distrae a menudo, o ambas cosas. Este comportamiento puede parecer entrañable a algunos, pero es un incordio para otros.;;;;;;;;;x
deaf;Deaf;;;;Sordo;;;;;;;;;x
deaf_desc;This character is hard of hearing, or, worse, cannot hear at all. Such a disability limits their ability to function.;;;;A este personaje le cuesta escuchar o, peor aún, no oye nada.  Esta incapacidad reduce sus posibilidades de acción.;;;;;;;;;x
lip_reader;Lip-reader;;;;Lector de labios;;;;;;;;;x
lip_reader_desc;This character has overcome their deafness by learning how to read lips.;;;;Este personaje ha superado su sordera aprendiendo a leer los labios.;;;;;;;;;x
wrymouth_death;of health complications due to wrymouth;;;;de complicaciones de salud por quijada deforme;;;;;;;;;x
EVTDESC1000109212;I’ve been deaf for as long as I can remember. I can’t understand anything when people talk to me, and it’s a real hassle when I communicate with anybody. There must be a way for me to understand others’ speech. Perhaps I can try to watch the way their lips move…;;;;Recuerdo haber sido siempre sordo. No entiendo nada cuando la gente me habla, y es un auténtico lío comunicarme con cualquiera. Debe haber una forma de entender lo que dicen los demás. Tal vez pueda observar cómo mueven los labios...;;;;;;;;;x
EVTOPTA1000109212;Let’s try this!;;;;¡Intentémoslo!;;;;;;;;;x
EVTOPTB1000109212;I should carefully observe everyone’s lips when they speak.;;;;Debería observar cuidadosamente los labios de los demás cuando hablan.;;;;;;;;;x
EVTOPTC1000109212;I know a few tricks here and there that may help…;;;;Me conozco un par de trucos que podrían servir...;;;;;;;;;x
EVTDESC1000109046;Ever since I was born, I’ve been deaf. As a child, it was frustrating enough, but now, as a grown adult, it is unbearable. I can’t function in society as well as others, and my disability limits my ability in virtually every field. However, lately I’ve been trying to learn how to lip-read. It may be the only way I can overcome my deafness.;;;;He sido sordo desde que nací. De niño ya era lo bastante frustrante, pero ahora de adulto, es insoportable. No puedo vivir en sociedad tan bien como los demás, y mi incapacidad me limita en casi cualquier cosa que hago. Sin embargo, últimamente he estado aprendiendo a leer los labios, puede que sea la única manera de sobrellevar la sordera.;;;;;;;;;x
EVTOPTA1000109046;I can do this.;;;;Puedo hacerlo;;;;;;;;;x
EVTOPTB1000109046;Let me discern how mouths move when people speak.;;;;Déjame que estudie cómo se mueve la boca cuando la gente habla.;;;;;;;;;x
EVTOPTC1000109046;I can reason out a few clever approaches to this problem.;;;;Puedo darle un enfoque inteligente al problema para intentar solucionarlo.;;;;;;;;;x
EVTDESC1000109041;Being blinded was bad enough. Now I can’t even lip-read anymore.;;;;Por si no tuvieras bastante con ser sordo, ni siquiera eres capaz de leer los labios.;;;;;;;;;x
EVTOPTA1000109041;NOOOOOOOOOOOOOOOOOO…;;;;;;;;;;;;;x
nick_longshanks;Longshanks;;;;Zancudo;;;;;;;;;x
nick_wrymouth;Wrymouth;;;;Quijada deforme;;;;;;;;;x
nick_deaf;the Deaf;;;;[This.GetElLa] Sord[This.GetOA];;;;;;;;;x
nick_swift;the Swift;;;;[This.GetElLa] Veloz;;;;;;;;;x
nick_the_terrifying;the Terrifying;;;;[This.GetElLa] Terrorífic[This.GetOA];;;;;;;;;x
#creative;Creative;Creative;Creative;;Creativo;;;;;;;;;x
#creative_desc;This character is more imaginative than most, able to concoct innovative solutions and come up with exceptional, unexpected ideas.;;;;Este personaje tiene más imaginación que la mayoría, capaz de tramar soluciones innovadoras y aparecer con inesperadas y excepcionales ideas.;;;;;;;;;x
calm_voice;Calm Voice;;;;Voz calma;;;;;;;;;x
calm_voice_desc;This character's voice is naturally soothing. While it is neither powerful nor melodious, its mildness can calm even the angriest of people, and slyly persuade even the most skeptical of men.;;;;La voz de este personaje es naturalmente tranquilizadora. Sin ser poderosa ni melodiosa, su sonido apacigua al más enfadado y tímidamente persuade al más escéptico.;;;;;;;;;x
imposing;Imposing;;;;Imponente;;;;;;;;;x
imposing_desc;Whether because of their physical stature or just their typical complexion, this character has a striking posture and a commanding presence. To some, they are even terrifying at times.;;;;Ya sea por su estatura o por su complexión física, este personaje tiene una postura notable y una presencia dominante. Para algunos, es incluso terrorífico a veces.;;;;;;;;;x
fertile;Fertile;;;;Fértil;;;;;;;;;x
fertile_desc;This character has been blessed with a propensity for easily having children.;;;;Este personaje ha sido bendecido con la propensión de tener hijos fácilmente.;;;;;;;;;x
#INSULTS/COMPLIMENTS;;;;;;;;;;;;;;x
COMPL_GIANT;giant;;;;gigante;;;;;;;;;x
COMPL_FLEET_FOOT;fleet foot;;;;pie veloz;;;;;;;;;x
COMPL_SWIFT;swift;;;;ligero;;;;;;;;;x
INSULT_TWINKLE_TOES;twinkle toes;;;;dedos rápidos;;;;;;;;;x
INSULT_TWINKLE_TOED;twinkle toed;;;;dedos centelleantes;;;;;;;;;x
COMPL_SHARP;sharp;;;;ingenioso;;;;;;;;;x
COMPL_HONEY_VOICE;honey-voiced;;;;voz melosa;;;;;;;;;x
COMPL_MIGHTY_VOICE;mighty-voiced;;;;voz poderosa;;;;;;;;;x
INSULT_DOUBLE_HANDED;double-handed;;;;a dos manos;;;;;;;;;x
INSULT_LEFT_HANDED;left handed;;;;zurdo;;;;;;;;;x
INSULT_LEFT_HANDED_FREAK;left handed freak;;;;monstruo zurdo;;;;;;;;;x
COMPL_DEFT;deft;;;;habilidoso;;;;;;;;;x
INSULT_DROOLING;drooling;;;;baboso;;;;;;;;;x
INSULT_DEAF;deaf;;;;sordo;;;;;;;;;x
COMPL_DAYDREAMER;daydreamer;;;;soñador;;;;;;;;;x
INSULT_CUCKOOHEAD;cuckoohead;;;;cabeza de chorlito;;;;;;;;;x
INSULT_OBLIVIOUS;oblivious;;;;olvidadizo;;;;;;;;;x
COMPL_WELL_ENDOWED;well-endowed;;;;bien dotado;;;;;;;;;x
INSULT_PHALLUS;phallus;;;;falo;;;;;;;;;x
INSULT_COCKY;cocky;;;;engreído;;;;;;;;;x
INSULT_TITS;tits;;;;tetas;;;;;;;;;x
COMPL_IMPOSING;imposing;;;;imponente;;;;;;;;;x
INSULT_SCARY;scary;;;;asustadizo;;;;;;;;;x
INSULT_CREEP;creep;;;;asqueroso;;;;;;;;;x
#LE LIFESTYLE TRAITS;;;;;;;;;;;;;;x
loremaster;Loremaster;;;;Maestro cultural;;;;;;;;;x
loremaster_desc;This character knows much about the history, mythology, geography, and spirituality relevant to his or her people.;;;;Este personaje conoce mucho sobre la historia, mitología, geografía y espiritualidad de su gente.;;;;;;;;;x
herbalist;Herbalist;;;;Herbolario;;;;;;;;;x
herbalist_desc;This character is well-versed in local herbs, plants, fungi, minerals, and more, and has the knowledge - handed down from generation to generation - on how best to combine these to produce powerful concoctions.;;;;Este personaje está bien versado en el uso de hierbas, plantas, hongos y minerales, entre otros, y tiene el conocimiento -transmitido de generación en generación- para combinar estos materiales de la mejor manera y crear poderosos brebajes.;;;;;;;;;x
VIETtraits.0.desc;The [Root.Culture.GetName] elders know many things - the history of our people, the legends and heroes, the mysteries of nature. I've decided to take some time to learn from them, so that I may become wise and knowledgeable.;;;;Los ancianos saben muchas cosas: la historia de nuestra gente, los héroes y leyendas, y los misterios de la naturaleza. He decidido tomarme un tiempo y aprender de ellos, para llegar a ser igual de sabio.;;;;;;;;;x
VIETtraits.0.a;Tell me the secrets of the world.;;;;Cuéntame los secretos del mundo.;;;;;;;;;x
VIETtraits.1.tooltip;You study with the elders.;;;;Estudias con los ancianos.;;;;;;;;;x
VIETtraits.1.desc;I have learned so much from the elders. But there is so much to learn, so much wisdom handed down from generation to generation. I should focus on something, instead of trying to know everything.;;;;He aprendido mucho de los ancianos. Pero hay mucho más, tanta sabiduría transmitida de generación en generación. Debería centrarme en algo, en lugar de intentar aprenderlo todo.;;;;;;;;;x
VIETtraits.1.a;The mysteries of nature intrigue me.;;;;Los misterios de la naturaleza me intrigan.;;;;;;;;;x
VIETtraits.1.b;I feel attached to the history, legends, and myths of our people.;;;;Me siento atraído por la historia, leyendas y mitos de nuestra gente.;;;;;;;;;x
VIETtraits.2.tooltip;The elders teach you the arts of the herbalist.;;;;Los ancianos te enseñan el arte de la herboristería;;;;;;;;;x
VIETtraits.2.tooltip.a;You switch focus to studying herbs and plants.;;;;Centras tu interés en el estudio de las hierbas y plantas.;;;;;;;;;x
VIETtraits.2.desc;Spending time outside with the elders has been very informative. They have told me of the herbs, nuts, fruits, mushrooms, and so on that provide us with nourishment and heal us, and the ones that deplete our spirit and harm us. I now have a better understanding of nature based on this ancient [Root.Culture.GetName] wisdom.;;;;Pasar tiempo con los ancianos ha sido muy instructivo. Me han contado sobre hierbas, nueces, frutas, setas, y todo aquello que nos alimenta y nos cura, y también de aquello que nos debilita y nos hiere. Ahora tengo un mejor conocimiento de la naturaleza según la sabiduría [Root.Culture.GetName];;;;;;;;;x
VIETtraits.2.a;I will further improve my knowledge!;;;;¡Profundizaré aún más en el conocimiento!;;;;;;;;;x
VIETtraits.2.b;I'm losing interest. Why don't I learn about our glorious past instead?;;;;Estoy peridendo interés. ¿Por qué no me centro en el estudio de nuestro glorioso pasado?;;;;;;;;;x
VIETtraits.3.tooltip;The elders teach you the lore of your people.;;;;Los ancianos te han hablado de las tradiciones de tu gente.;;;;;;;;;x
VIETtraits.3.tooltip.a;You switch focus to studying lore.;;;;Centras tu interés en el estudio de las tradiciones.;;;;;;;;;x
VIETtraits.3.desc;The elders tell me about the glorious heroes, the dastardly tricksters, the epic tales that the [Root.Culture.GetName] people have cherished since time immemorial. I can now recount the achievements of the gods, the struggles of our ancestors, and more. My knowledge of history, mythology, geography, spirituality, and more grow day by day.;;;;Los ancianos me han contado sobre gloriosos heroes, cobardes embusteros, y leyendas épicas que la gente [Root.Culture.GetName] ha idolatrado desde tiempos immemoriales. Ahora puedo tomar cuenta de los logros de los dioses, las dificultades de nuestros ancestros, y mucho más. Mi conocimiento de la historia, la mitología, la geografía y la espiritualidad crecen día a día.;;;;;;;;;x
VIETtraits.3.a;I will continue learning this ancient wisdom.;;;;Continauré aprendiendo esta sabiduría ancestral.;;;;;;;;;x
VIETtraits.3.b;While this is interesting, I feel like I want to study nature instead.;;;;Aunque esto parece interesante, parece que prefiero centrarme en el estudio de la naturaleza.;;;;;;;;;x
VIETtraits.4.tooltip;You learn much in the coming days.;;;;Has aprendido mucho estos días.;;;;;;;;;x
VIETtraits.4.desc;At last, after spending a lot of time studying the various plants and elements, I now know how to procure concoctions can do anything - bottle fame, brew glory, even put a stopper on death!;;;;Por fin, tras gastar mucho tiempo en el estudio de las plantas y los elementos, ahora sé como preparar brebajes para todo: embotellar la fama, fermentar la gloria, ¡podría incluso parar a la muerte!;;;;;;;;;x
VIETtraits.4.a;This knowledge will serve me greatly.;;;;Este conocimiento me servirá maravillosamente.;;;;;;;;;x
VIETtraits.5.tooltip;Your knowledge expands.;;;;Tu conocimiento se expande.;;;;;;;;;x
VIETtraits.5.desc;I've learned so much about our legends and heritage, and I feel as if I better understand why we must do the things we do. People have already come to me for advice and to ask questions about our way of life.;;;;He aprendido mucho sobre nuestras leyendas y legado, y siento que comprendo mejor por qué debemos hacer lo que hacemos. La gente ya acude a mí en busca de consejo y respuestas sobre su modo de vida.;;;;;;;;;x
VIETtraits.5.a;I am respected by many for my knowledge of [Root.Culture.GetName] lore.;;;;Soy respetado por muchos por mi conocimiento de las tradiciones [Root.Culture.GetName];;;;;;;;;x
VIETtraits.6.desc;Longshanks;;;;Zancudo;;;;;;;;;x
