#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#### EVENTS #####
emf_ambitions.0.desc;I can feel their eyes upon me everywhere I go: disappointment, despise. I gathered my vassals and, upon my honor, pledged peace for my realm. Now, I've broken that pledge. My reasons be damned: they won't listen, and my reputation amongst them and the greater realm will suffer for my trespass.;;;;Puedo sentir su mirada allá donde vaya: decepción, desprecio. Reuní a mis vassallos y juré, sobre mi honor, que habría paz en el reino. Ahora, he roto mi juramento. Malditas sean mis razones: no me escucharán, y mi reputación se verá afectada por todo el reino.;;;;;;;;;x
emf_ambitions.0.opt.a;I suppose that's the price I must pay.;;;;Supongo que ese es el precio a pagar.;;;;;;;;;x
emf_ambitions.1.desc;Thanks in part to my own efforts, the majority of the population in [emf_province.GetName] has finally begun to adopt the customs and language of my native culture. This will make it easier to manage [emf_province.GetName] and allow it to enjoy higher tax and military efficiency.;;;;Gracias en parte a mis esfuerzos, la mayoría de la población en [emf_province.GetName] ha comenzado a adoptar mis costumbres y mi lengua. Esto hará más fácil gobernar [emf_province.GetName] y me permitirán disfrutar de una mayor recaudación y ejército.;;;;;;;;;x
emf_ambitions.1.opt.a;Excellent! Eventually, the world will speak [Root.Culture.GetName]...;;;;¡Excelente! Finalmente el mundo hablará [Root.Culture.GetName]...;;;;;;;;;x
emf_ambitions.1.opt.b;While I appreciate the world's many cultures, this will serve me.;;;;Aunque aprecio mucho las culturas del mundo, esto me servirá.;;;;;;;;;x
emf_ambitions.2.desc;Your time and effort spent upon converting a province to the [Root.Religion.GetName] Faith has taught you a thing or two along the way.;;;;El tiempo y esfuerzo que has invertido convirtiendo una provincia a la fe [Root.Religion.GetName] te ha enseñado una o dos cosas.;;;;;;;;;x
#### OBJECTIVES #####
obj_become_duke_title;Become Duke;;;;Convertirse en Duque;;;;;;;;;x
obj_become_duke_desc;[This.GetTitledFirstName] wants to rule over [This.GetHerHis] own duchy.;;;;[This.GetTitledFirstName] quiere gobernar sobre su propio ducado.;;;;;;;;;x
obj_become_emperor_title;Become Emperor;;;;Convertirse en Emperador;;;;;;;;;x
obj_become_emperor_desc;[This.GetTitledFirstName] shall hold the most prestigious of titles and become an emperor.;;;;[This.GetTitledFirstName] tendrá el más prestigioso título y se convertirá en emperador;;;;;;;;;x
obj_become_superduke_title;Become a Great Duke;;;;Convertirse en Gran Duque;;;;;;;;;x
obj_become_superduke_desc;[This.GetTitledFirstName] is not content with a single duchy title, and [This.GetSheHe] wants another.;;;;[This.GetTitledFirstName] no se conforma con un ducado, y quiere otro.;;;;;;;;;x
obj_civilize_province_desc;[This.GetTitledFirstName] wants to convert a province in his realm to [This.GetHerHis] culture.;;;;[This.GetTitledFirstName] quiere convertir una provincia del reino a su cultura.;;;;;;;;;x
obj_civilize_province_title;Change a Province's Culture;;;;Cambiar la cultura de una provincia;;;;;;;;;x
obj_fifteen_children_title;Have Fifteen Children;;;;Tener quince hijos;;;;;;;;;x
obj_fifteen_children_desc;[This.GetTitledFirstName] wants a very large family and many children to carry on [This.GetHerHis] legacy.;;;;[This.GetTitledFirstName] quiere una familia numerosa con muchos hijos que transmitan su legado.;;;;;;;;;x
obj_find_hobby_title;Find a Hobby;;;;Encontrar una afición;;;;;;;;;x
obj_find_hobby_desc;[This.GetTitledFirstName] desires to get involved in some sort of hobby.;;;;[This.GetTitledFirstName] desea poder encontrar un pasatiempo.;;;;;;;;;x
obj_five_children_title;Have Five Children;;;;Tener cinco hijos;;;;;;;;;x
obj_five_children_desc;[This.GetTitledFirstName] wants many children to carry on [This.GetHerHis] legacy.;;;;[This.GetTitledFirstName] quiere muchos hijos para transmitir su legado.;;;;;;;;;x
obj_go_crusade_desc;[This.GetTitledFirstName] wants to join the Crusade and prove [This.GetHerHis] zeal against the Infidel.;;;;[This.GetTitledFirstName] quiere unirse a la Cruzada y probar su fervor contra el infiel.;;;;;;;;;x
obj_go_crusade_title;Become a Crusader;;;;Convertirse en Cruzado;;;;;;;;;x
obj_go_jihad_desc;[This.GetTitledFirstName] wants to join the Jihad and prove [This.GetHerHis] zeal against the Infidel.;;;;[This.GetTitledFirstName] quiere unirse a la Jihad y probar su fervor contra el infiel.;;;;;;;;;x
obj_go_jihad_title;Become a Mujahidun;;;;Convertirse en Muyahidín;;;;;;;;;x
obj_great_council_title;Assemble a Great Council;;;;Reunir un Gran Consejo;;;;;;;;;x
obj_great_council_desc;[This.GetTitledFirstName] wants to unite the greatest minds in the known world so that they may serve on [This.GetHerHis] council.;;;;[This.GetTitledFirstName] quiere reunir a las mentes más fantásticas del mundo conocido y que sirvan en su consejo.;;;;;;;;;x
obj_increase_demesne_1_title;Increase Size of Demesne;;;;Aumentar el tamaño de la heredad;;;;;;;;;x
obj_increase_demesne_1_desc;[This.GetTitledFirstName] wishes to grow the size of [This.GetHerHis] demesne.;;;;[This.GetTitledFirstName] desea aumentar el tamaño de su heredad.;;;;;;;;;x
obj_increase_demesne_2_title;Increase Size of Demesne;;;;Aumentar el tamaño de la heredad;;;;;;;;;x
obj_increase_demesne_2_desc;[This.GetTitledFirstName] wishes to grow the size of [This.GetHerHis] demesne.;;;;[This.GetTitledFirstName] desea aumentar el tamaño de su heredad.;;;;;;;;;x
obj_increase_demesne_3_title;Increase Size of Demesne;;;;Aumentar el tamaño de la heredad;;;;;;;;;x
obj_increase_demesne_3_desc;[This.GetTitledFirstName] wishes to grow the size of [This.GetHerHis] demesne.;;;;[This.GetTitledFirstName] desea aumentar el tamaño de su heredad.;;;;;;;;;x
obj_increase_demesne_4_title;Increase Size of Demesne;;;;Aumentar el tamaño de la heredad;;;;;;;;;x
obj_increase_demesne_4_desc;[This.GetTitledFirstName] wishes to grow the size of [This.GetHerHis] demesne.;;;;[This.GetTitledFirstName] desea aumentar el tamaño de su heredad.;;;;;;;;;x
obj_increase_demesne_5_title;Increase Size of Demesne;;;;Aumentar el tamaño de la heredad;;;;;;;;;x
obj_increase_demesne_5_desc;[This.GetTitledFirstName] wishes to grow the size of [This.GetHerHis] demesne.;;;;[This.GetTitledFirstName] desea aumentar el tamaño de su heredad.;;;;;;;;;x
obj_increase_demesne_6_title;Increase Size of Demesne;;;;Aumentar el tamaño de la heredad;;;;;;;;;x
obj_increase_demesne_6_desc;[This.GetTitledFirstName] wishes to grow the size of [This.GetHerHis] demesne.;;;;[This.GetTitledFirstName] desea aumentar el tamaño de su heredad.;;;;;;;;;x
obj_increase_demesne_7_title;Increase Size of Demesne;;;;Aumentar el tamaño de la heredad;;;;;;;;;x
obj_increase_demesne_7_desc;[This.GetTitledFirstName] wishes to grow the size of [This.GetHerHis] demesne.;;;;[This.GetTitledFirstName] desea aumentar el tamaño de su heredad.;;;;;;;;;x
obj_increase_demesne_8_title;Increase Size of Demesne;;;;Aumentar el tamaño de la heredad;;;;;;;;;x
obj_increase_demesne_8_desc;[This.GetTitledFirstName] wishes to grow the size of [This.GetHerHis] demesne.;;;;[This.GetTitledFirstName] desea aumentar el tamaño de su heredad.;;;;;;;;;x
obj_increase_demesne_9_title;Increase Size of Demesne;;;;Aumentar el tamaño de la heredad;;;;;;;;;x
obj_increase_demesne_9_desc;[This.GetTitledFirstName] wishes to grow the size of [This.GetHerHis] demesne.;;;;[This.GetTitledFirstName] desea aumentar el tamaño de su heredad.;;;;;;;;;x
obj_increase_demesne_10_title;Increase Size of Demesne;;;;Aumentar el tamaño de la heredad;;;;;;;;;x
obj_increase_demesne_10_desc;[This.GetTitledFirstName] wishes to grow the size of [This.GetHerHis] demesne.;;;;[This.GetTitledFirstName] desea aumentar el tamaño de su heredad.;;;;;;;;;x
obj_increase_demesne_11_title;Increase Size of Demesne;;;;Aumentar el tamaño de la heredad;;;Aumentar el tamaño de la heredad;;;;;;x
obj_increase_demesne_11_desc;[This.GetTitledFirstName] wishes to grow the size of [This.GetHerHis] demesne.;;;;[This.GetTitledFirstName] desea aumentar el tamaño de su heredad.;;;;;;;;;x
obj_increase_demesne_12_title;Increase Size of Demesne;;;;Aumentar el tamaño de la heredad;;;;;;;;;x
