#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#### DECISIONS ####
emf_autolander;Grant Recently Acquired Land;;;;Otorgar tierras recién adquiridas;;;;;;;;;x
emf_autolander_desc;For each recently-acquired province in your demesne that is not within your capital duchy, you will be prompted about whether to automatically distribute its titles. You may individually skip any such province in the process, leaving manual management of the province to you. No titles higher than count-tier will ever be distributed.;;;;Se te preguntará, por cada provincia recientemente adquirida en tu heredad que no forme parte de tu ducado principal, si quieres distribuirlas automáticamente. Puedes omitir individualmente cada provincia en el proceso, para administrarla de forma manual. No se distribuirá ningún título superior al nivel de condado.;;;;;;;;;x
emf_autolander_low_prio;Grant Recently Acquired Land;;;;Otorgar tierras recién adquiridas;;;;;;;;;x
emf_autolander_low_prio_desc;For each recently-acquired province in your demesne that is not within your capital duchy, you will be prompted about whether to automatically distribute its titles. You may individually skip any such province in the process, leaving manual management of the province to you. No titles higher than count-tier will ever be distributed.;;;;Se te preguntará, por cada provincia recientemente adquirida en tu heredad que no forme parte de tu ducado principal, si quieres distribuirlas automáticamente. Puedes omitir individualmente cada provincia en el proceso, para administrarla de forma manual. No se distribuirá ningún título superior al nivel de condado.;;;;;;;;;x
emf_autolander_auto;Grant Recently Acquired Land;;;;Otorgar tierras recién adquiridas;;;;;;;;;x
emf_autolander_auto_desc;For each recently-acquired province in your demesne that is not within your capital duchy, automatically grant the province's titles to new, [Root.Culture.GetName]-[Root.Religion.GetName] characters until you no longer exceed your demesne limit. If you want to keep granting beyond that point (below your demesne limit), invoke the decision again. Note that this automatic behavior is specific to multiplayer: in singleplayer, among numerous other differences, you are prompted about each province before granting it.;;;;Por cada provincia recientemente adquirida en tu heredad que no forme parte de tu ducado principal, se entregará automáticamente cada una a un nuevo [Root.Culture.GetName]-[Root.Religion.GetName] hasta que no excedas el límite de heredad. Si quieres continuar a partir de ese punto (por debajo del límite), recurre otra vez a esta decisión. Este comportamiento es específico al multijugador: en modo individual, entre otras diferencias, se te preguntará por cada provincia antes de otorgarla.;;;;;;;;;x
emf_autolander_auto_low_prio;Grant Recently Acquired Land (All);;;;Otorgar tierras recién adquiridas (Todo);;;;;;;;;x
emf_autolander_auto_low_prio_desc;For each recently-acquired province in your demesne that is not within your capital duchy, automatically grant the province's titles to new, [Root.Culture.GetName]-[Root.Religion.GetName] characters (regardless of excess demesne capacity). Note that this automatic behavior is specific to multiplayer: in singleplayer, among numerous other differences, you are prompted about each province before granting it.;;;;Por cada provincia recientemente adquirida en tu heredad que no forme parte de tu ducado principal, se entregará automáticamente cada una a un nuevo [Root.Culture.GetName]-[Root.Religion.GetName] hasta que no sobrepases el límite de heredad. Si quieres continuar a partir de ese punto (por debajo del límite), recurre otra vez a esta decisión. Este comportamiento es específico al multijugador: en modo individual, entre otras diferencias, se te preguntará por cada provincia antes de otorgarla.;;;;;;;;;x
emf_autolander_auto_locals;Grant Recently Acquired Land to Locals;;;;Otorgar tierras recién adquiridas a locales;;;;;;;;;x
emf_autolander_auto_locals_desc;For each recently-acquired province in your demesne that is not within your capital duchy, automatically grant the province's titles to new characters, each a local to the province being given out, until you no longer exceed your demesne limit. If you want to keep granting beyond that point (below your demesne limit), invoke the decision again. Note that this automatic behavior is specific to multiplayer: in singleplayer, among numerous other differences, you are prompted about each province before granting it.;;;;Por cada provincia recientemente adquirida en tu heredad que no forme parte de tu ducado principal, se te preguntará si quieres otorgarla a un nuevo personaje local, hasta que no excedas el límite de heredad. Si quieres continuar a partir de ese punto (por debajo del límite), recurre otra vez a esta decisión. Este comportamiento es específico al multijugador: en modo individual, entre otras diferencias, se te preguntará por cada provincia antes de otorgarla.;;;;;;;;;x
emf_autolander_auto_locals_low_prio;Grant Recently Acquired Land to Locals (All);;;;Otorgar tierras recién adquiridas a locales (Todo);;;;;;;;;x
