#CODE;ENGLISH;;;;;;;;;;;;;x
#
# HOLDINGS MAIN
#
action_settle_tribe;Settle Province;;;;Asentarse en la provincia;;;;;;;;;x
action_settle_tribe_desc;Assign your [GetTreasurerName] to bring more of your people into the province to settle its lands, increasing the chance its culture will change to §Y[Culture.GetName]§!, if it is not already, or that a city will be built there if it is. (NOTE: The latter is only available to Tribal rulers.);;;;Asigna a tu [GetTreasurerName] para atraer más gente y asentarse en estas tierras, aumentando la posibilidad de que la cultura cambie a §Y[Culture.GetName]§!, si no lo es ya, o que se construya una ciudad. (NOTA: Esto último solo está disponible para gobiernantes tribales.);;;;;;;;;x
#
# HOLDINGS MODIFIERS
#
building_new_city;New City Construction;;;;Construir ciudad;;;;;;;;;x
building_new_city_desc;The people and merchants of the province are working to build a city, a process that could take up to ten years or more to complete.;;;;La gente y los mercaderes de esta provincia estan construyendo una nueva ciudad, un proceso que puede llevar diez años o más completar.;;;;;;;;;x
building_new_temple;New Temple Construction;;;;Construir templo;;;;;;;;;x
building_new_temple_desc;The people of the province are working to build a new temple, a process that could take anywhere up to twenty years to complete.;;;;La gente de esta provincia está construyendo un nuevo templo, un proceso que puede llevar hasta veinte años completar.;;;;;;;;;x
opinion_helped_temple;Helped Temple Construction;;;;Ha ayudado a construir un templo;;;;;;;;;x
opinion_refused_temple;Refused to Help Temple;;;;Ha rechazado ayudar a construir un templo;;;;;;;;;x
planning_new_temple;Building New Temple;;;;Construyendo templo nuevo;;;;;;;;;x
planning_new_temple_desc;This character is in the midst of building a new temple, a task that could take up to twenty years...if it ever gets completed.;;;;Este personaje está construyendo un nuevo templo, una tarea que puede llevar hasta veinte años... si esque alguna vez se completa.;;;;;;;;;x
#
# HOLDINGS TOOLTIPS
#
INFORM_LIEGE_BUILD_CITY;Inform [Root.Liege.GetHerHim] of the chance to build a city in [Root.Location.GetName];;;;Informarl[Root.Liege.GetEA] de la posibilidad de construir una ciudad en [Root.Location.GetName];;;;;;;;;x
TEMPLE_CONSTRUCTION_CONTINUES;[From.GetTitledFirstName] decides to use [From.GetHerHis] own wealth to fund the temple\n;;;;[From.GetTitledFirstName] decide usar su riqueza para fundar un templo\n;;;;;;;;;x
TEMPLE_CONSTRUCTION_HALTS;[From.GetTitledFirstName] abandons [From.GetHerHis] dream...\n;;;;[From.GetTitledFirstName] abandona su sueño...\n;;;;;;;;;x
WILL_CONTINUE_BUILDING_TEMPLE;Will continue building the temple\n;;;;Continua construyendo el templo\n;;;;;;;;;x
WORK_ON_CITY_CONTINUES;Work on the city construction will continue.\n;;;;El trabajo de construcción en la ciudad continúa.\n;;;;;;;;;x
WORK_ON_CITY_DELAYED;Work on the city construction will be delayed considerably.\n;;;;El trabajo de construcción en la ciuad se demorará considerablemente.\n;;;;;;;;;x
#
# HOLDINGS DECISIONS/EVENTS
#
EVTDESC_emf_holdings_1402;[From.GetTitledFirstName] has asked for an audience with you: 'My [Root.GetLordLady], a vision of [Root.Religion.GetRandomGodName] came to me and commanded I build a temple in [temple_province.GetName]. I will need your help, however, for I'm uncertain I can complete this grand project on my own.';;;;[From.GetTitledFirstName] ha solicitado una audiencia: Mi [Root.GetLordLady], se me apareció [Root.Religion.GetRandomGodName] y me ordenó construir un nuevo templo en [temple_province.GetName]. Pero necesitaré tu ayuda, pues es un proyecto ambicioso y no sé si podré llevarlo a cabo yo sol[From.GetOA];;;;;;;;;x
EVTOPTA_emf_holdings_1402;Take this, and my blessing;;;;Toma esto, y mi bendición;;;;;;;;;x
EVTOPTB_emf_holdings_1402;I shall appeal to the [Root.Religion.GetName] faithful on your behalf;;;;Me dirijiré a los fieles [Root.Religion.GetName] en tu nombre;;;;;;;;;x
EVTOPTC_emf_holdings_1402;The lords and ladies of [Root.PrimaryTitle.GetName] will all help you;;;;Los señores y señoras de [Root.PrimaryTitle.GetName] te ayudarán;;;;;;;;;x
