#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#### CUSTOM LOCALISATION ####
EMF_String_ParentDynastyStatus;\nParent Dynasty: §Y[This.pet_parent_dyn.GetOnlyDynastyName]§!;;;;;;;;;;;;;x
EMF_String_GrandParentDynastyStatus;\nGrandparent Dynasty: §Y[This.pet_parent_dyn.pet_parent_dyn.GetOnlyDynastyName]§!;;;;;;;;;;;;;x
EMF_String_GetCadetParentHouse_alive;§YHouse [pet_parent_dyn.GetOnlyDynastyName]§!;;;;;;;;;;;;;x
EMF_String_GetCadetParentHouse_dead;another dynasty;;;;;;;;;;;;;x
#### EVENTS ####
emf_cadet.200.desc;My [GetFromRelation], [From.GetTitledName], was once a scion of House [emf_old_dynasty.GetOnlyDynastyName] with nothing to inherit. [From.GetSheHeCap] has since forged [From.GetPossPronoun] own path as a ruler. Thus, [From.GetSubjectPronoun] has established a cadet branch of [From.GetPossPronoun] former dynasty. From now onward, [From.GetSubjectPronoun] and all [From.GetPossPronoun] progeny will be known as House [From.GetOnlyDynastyName].;;;;;;;;;;;;;x
emf_cadet.201.desc;My dynastic kin, [From.GetTitledName], was once a scion of our House [emf_old_dynasty.GetOnlyDynastyName] with nothing to inherit. [From.GetSheHeCap] has since forged [From.GetPossPronoun] own path as a ruler. Thus, [From.GetSubjectPronoun] has established a cadet branch of our dynasty. From now onward, [From.GetSubjectPronoun] and all [From.GetPossPronoun] progeny will be known as House [From.GetOnlyDynastyName].;;;;;;;;;;;;;x
emf_cadet.201.opt.wish_luck;I wish them luck, and if it will help...;;;;;;;;;;;;;x
emf_cadet.201.opt.we_dont_need_them_anyway;We don't need them anyway.;;;;;;;;;;;;;x
emf_cadet.202.desc;My [GetFromRelation], [From.GetTitledName], was once a scion of House [emf_old_dynasty.GetOnlyDynastyName] with nothing to inherit. [From.GetSheHeCap] has since forged [From.GetPossPronoun] own path as a ruler. Thus, [From.GetSubjectPronoun] has established a cadet branch of our former dynasty. From now onward, we will be known as House [From.GetOnlyDynastyName].;;;;;;;;;;;;;x
emf_cadet.202.opt.toast_to_house;To House [From.GetOnlyDynastyName]!;;;;;;;;;;;;;x
emf_cadet.203.desc;It is no longer enough for me to be a member of House [emf_old_dynasty.GetOnlyDynastyName]. That legacy belongs to my elders, whilst I was expected to have a lesser fate. Now that I am the [From.PrimaryTitle.GetRulerTitle] of [From.PrimaryTitle.GetName], it is time to establish my own legacy--my own dynasty. From now onward, my progeny and I will be known as House [From.GetOnlyDynastyName]!;;;;;;;;;;;;;x
emf_cadet.203.opt.toast_to_house;To House [From.GetOnlyDynastyName]!;;;;;;;;;;;;;x
#### TRAITS ####
emf_cadet_dynasty_founder;Founder of Cadet House [Root.GetOnlyDynastyName];;;;;;;;;;;;;x
emf_cadet_dynasty_founder_desc;§Y[Root.GetTitledFirstNameWithNick]§! was once a scion of [Root.EMF_GetCadetParentHouse] with no titles to inherit, but [Root.GetSubjectPronoun] forged [Root.GetPossPronoun] own path and managed to become a prominent ruler anyway. Disconnected as [Root.GetSheHe] was from the main dynastic line and having come to prominence on [Root.GetPossPronoun] own, [Root.GetSubjectPronoun] founded the cadet §YHouse [Root.GetOnlyDynastyName]§!.;;;;;;;;;;;;;x
emf_cadet_immortal;Cadet Immortal;;;;;;;;;;;;;x
emf_cadet_immortal_desc;Hidden trait to reduce the odds of silly stuff happening with this special character that's important to the code.;;;;;;;;;;;;;x
