#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
########################################################################
# NOTE: This file is code-generated and should NOT be edited manually. #
########################################################################
glorious_charge_tactic;Glorious Closing Charge Tactic;;;;;;;;;;;;;x
good_charge_tactic;Devastating Closing Charge Tactic;;;;;;;;;;;;;x
charge_tactic;Closing Charge Tactic;;;;;;;;;;;;;x
bad_charge_tactic;Failed Closing Charge Tactic;;;;;;;;;;;;;x
deceitful_charge_tactic;Deceitful Closing Charge Tactic;;;;;;;;;;;;;x
flexible_charge_tactic;Flexible Closing Charge Tactic;;;;;;;;;;;;;x
glorious_closing_advance_tactic;Glorious Closing Advance Tactic;;;;;;;;;;;;;x
good_closing_advance_tactic;Devastating Closing Advance Tactic;;;;;;;;;;;;;x
closing_advance_tactic;Closing Advance Tactic;;;;;;;;;;;;;x
bad_closing_advance_tactic;Failed Closing Advance Tactic;;;;;;;;;;;;;x
deceitful_closing_advance_tactic;Deceitful Closing Advance Tactic;;;;;;;;;;;;;x
flexible_closing_advance_tactic;Flexible Closing Advance Tactic;;;;;;;;;;;;;x
glorious_harass_tactic;Glorious Harass Tactic;;;;;;;;;;;;;x
good_harass_tactic;Devastating Harass Tactic;;;;;;;;;;;;;x
harass_tactic;Harass Tactic;;;;;;;;;;;;;x
bad_harass_tactic;Failed Harass Tactic;;;;;;;;;;;;;x
deceitful_harass_tactic;Deceitful Harass Tactic;;;;;;;;;;;;;x
flexible_harass_tactic;Flexible Harass Tactic;;;;;;;;;;;;;x
glorious_volley_tactic;Glorious Volley Tactic;;;;;;;;;;;;;x
good_volley_tactic;Devastating Volley Tactic;;;;;;;;;;;;;x
volley_tactic;Volley Tactic;;;;;;;;;;;;;x
bad_volley_tactic;Failed Volley Tactic;;;;;;;;;;;;;x
deceitful_volley_tactic;Deceitful Volley Tactic;;;;;;;;;;;;;x
flexible_volley_tactic;Flexible Volley Tactic;;;;;;;;;;;;;x
glorious_swarm_tactic;Glorious Swarm Tactic;;;;;;;;;;;;;x
good_swarm_tactic;Devastating Swarm Tactic;;;;;;;;;;;;;x
swarm_tactic;Swarm Tactic;;;;;;;;;;;;;x
bad_swarm_tactic;Failed Swarm Tactic;;;;;;;;;;;;;x
deceitful_swarm_tactic;Deceitful Swarm Tactic;;;;;;;;;;;;;x
flexible_swarm_tactic;Flexible Swarm Tactic;;;;;;;;;;;;;x
glorious_pike_square_tactic;Glorious Pike Square Tactic;;;;;;;;;;;;;x
good_pike_square_tactic;Devastating Pike Square Tactic;;;;;;;;;;;;;x
pike_square_tactic;Pike Square Tactic;;;;;;;;;;;;;x
bad_pike_square_tactic;Failed Pike Square Tactic;;;;;;;;;;;;;x
deceitful_pike_square_tactic;Deceitful Pike Square Tactic;;;;;;;;;;;;;x
flexible_pike_square_tactic;Flexible Pike Square Tactic;;;;;;;;;;;;;x
glorious_shieldwall_tactic;Glorious Shieldwall Tactic;;;;;;;;;;;;;x
