#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#### CHARACTER/PROVINCE MODIFIERS ####
do_not_disturb;Currently Busy;;;;;;;;;;;;;x
emf_levy_boost_local;Levy Boost;;;;;;;;;;;;;x
emf_levy_boost_local_desc;;;;;;;;;;;;;;x
emf_mod_recent_succession;Recent Succession;;;;;;;;;;;;;x
emf_mod_recent_succession_desc;This character has recently undergone succession.;;;;;;;;;;;;;x
emf_mod_recent_succession_t1;Recent Succession (Tier 1);;;;;;;;;;;;;x
emf_mod_recent_succession_t2;Recent Succession (Tier 2);;;;;;;;;;;;;x
emf_mod_recent_succession_t3;Recent Succession (Tier 3);;;;;;;;;;;;;x
emf_mod_recent_succession_t4;Recent Succession (Tier 4);;;;;;;;;;;;;x
emf_mod_recent_succession_t1_desc;;;;;;;;;;;;;;x
emf_mod_recent_succession_t2_desc;;;;;;;;;;;;;;x
emf_mod_recent_succession_t3_desc;;;;;;;;;;;;;;x
emf_mod_recent_succession_t4_desc;;;;;;;;;;;;;;x
emf_war_costs;Costs of War;;;;;;;;;;;;;x
#### DECISIONS ####
convert_tribal_to_castle_desc;I can upgrade the [Root.GetFullName] to a proper castle settlement.;;;;;;;;;;;;;x
convert_tribal_to_city_desc;I can upgrade the [Root.GetFullName] to a proper city settlement.;;;;;;;;;;;;;x
emf_bring_child_home;Bring Child Home;;;;;;;;;;;;;x
emf_bring_child_home_desc;Bring a wayward child home.;;;;;;;;;;;;;x
emf_bring_child_home_named;Bring [Root.GetFirstName] home.;;;;;;;;;;;;;x
emf_convert_tribal_to_temple;Upgrade to Temple;;;;;;;;;;;;;x
emf_convert_tribal_to_temple_named;Upgrade [Root.GetName] to a Temple;;;;;;;;;;;;;x
emf_convert_tribal_to_temple_desc;I can upgrade the [Root.GetFullName] to a proper temple settlement.;;;;;;;;;;;;;x
emf_toggle_customization;Toggle Customization Decisions;;;;;;;;;;;;;x
emf_toggle_customization_desc;Hide/show various customization decisions.;;;;;;;;;;;;;x
emf_toggle_employment;Toggle Employment Decisions;;;;;;;;;;;;;x
emf_toggle_employment_desc;Hide/show character employment decisions.;;;;;;;;;;;;;x
emf_employ_soldier;Invite Soldier to Court;;;;Invita a un soldado a la corte;;;;;;;;;x
emf_employ_soldier_desc;Invite a promising soldier to court, to aid with military matters.;;;;Invita a un soldado prometedor a tu corte para ayudar en cuestiones militares.;;;;;;;;;x
emf_employ_spy;Invite Spy to Court;;;;Invita a un espía a la corte;;;;;;;;;x
emf_employ_spy_desc;Invite a promising spy to court, to aid with matters of intrigue.;;;;Invita a un espía prometedor a la corte para ayudar con asuntos de intriga;;;;;;;;;x
