#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
NEEDS_5_GOLD_COST;Can afford cost of §R5.0§!¤\n;;;;;;;;;;;;;x
HOLDER_NEEDS_5_GOLD_COST;Holder can afford cost of §R5.0§!¤\n;;;;;;;;;;;;;x
NEEDS_5_PIETY_COST;Can afford cost of §R5.0§! [This.Religion.GetPietyName]\n;;;;;;;;;;;;;x
HOLDER_NEEDS_5_PIETY_COST;Holder can afford cost of §R5.0§! [This.Holder.Religion.GetPietyName]\n;;;;;;;;;;;;;x
NEEDS_5_PRESTIGE_COST;Can afford cost of §R5.0§! Prestige\n;;;;;;;;;;;;;x
HOLDER_NEEDS_5_PRESTIGE_COST;Holder can afford cost of §R5.0§! Prestige\n;;;;;;;;;;;;;x
NEEDS_10_GOLD_COST;Can afford cost of §R10.0§!¤\n;;;;;;;;;;;;;x
HOLDER_NEEDS_10_GOLD_COST;Holder can afford cost of §R10.0§!¤\n;;;;;;;;;;;;;x
NEEDS_10_PIETY_COST;Can afford cost of §R10.0§! [This.Religion.GetPietyName]\n;;;;;;;;;;;;;x
HOLDER_NEEDS_10_PIETY_COST;Holder can afford cost of §R10.0§! [This.Holder.Religion.GetPietyName]\n;;;;;;;;;;;;;x
NEEDS_10_PRESTIGE_COST;Can afford cost of §R10.0§! Prestige\n;;;;;;;;;;;;;x
HOLDER_NEEDS_10_PRESTIGE_COST;Holder can afford cost of §R10.0§! Prestige\n;;;;;;;;;;;;;x
NEEDS_15_GOLD_COST;Can afford cost of §R15.0§!¤\n;;;;;;;;;;;;;x
HOLDER_NEEDS_15_GOLD_COST;Holder can afford cost of §R15.0§!¤\n;;;;;;;;;;;;;x
NEEDS_15_PIETY_COST;Can afford cost of §R15.0§! [This.Religion.GetPietyName]\n;;;;;;;;;;;;;x
HOLDER_NEEDS_15_PIETY_COST;Holder can afford cost of §R15.0§! [This.Holder.Religion.GetPietyName]\n;;;;;;;;;;;;;x
NEEDS_15_PRESTIGE_COST;Can afford cost of §R15.0§! Prestige\n;;;;;;;;;;;;;x
HOLDER_NEEDS_15_PRESTIGE_COST;Holder can afford cost of §R15.0§! Prestige\n;;;;;;;;;;;;;x
NEEDS_20_GOLD_COST;Can afford cost of §R20.0§!¤\n;;;;;;;;;;;;;x
HOLDER_NEEDS_20_GOLD_COST;Holder can afford cost of §R20.0§!¤\n;;;;;;;;;;;;;x
NEEDS_20_PIETY_COST;Can afford cost of §R20.0§! [This.Religion.GetPietyName]\n;;;;;;;;;;;;;x
HOLDER_NEEDS_20_PIETY_COST;Holder can afford cost of §R20.0§! [This.Holder.Religion.GetPietyName]\n;;;;;;;;;;;;;x
NEEDS_20_PRESTIGE_COST;Can afford cost of §R20.0§! Prestige\n;;;;;;;;;;;;;x
HOLDER_NEEDS_20_PRESTIGE_COST;Holder can afford cost of §R20.0§! Prestige\n;;;;;;;;;;;;;x
NEEDS_25_GOLD_COST;Can afford cost of §R25.0§!¤\n;;;;;;;;;;;;;x
HOLDER_NEEDS_25_GOLD_COST;Holder can afford cost of §R25.0§!¤\n;;;;;;;;;;;;;x
NEEDS_25_PIETY_COST;Can afford cost of §R25.0§! [This.Religion.GetPietyName]\n;;;;;;;;;;;;;x
HOLDER_NEEDS_25_PIETY_COST;Holder can afford cost of §R25.0§! [This.Holder.Religion.GetPietyName]\n;;;;;;;;;;;;;x
NEEDS_25_PRESTIGE_COST;Can afford cost of §R25.0§! Prestige\n;;;;;;;;;;;;;x
HOLDER_NEEDS_25_PRESTIGE_COST;Holder can afford cost of §R25.0§! Prestige\n;;;;;;;;;;;;;x
NEEDS_30_GOLD_COST;Can afford cost of §R30.0§!¤\n;;;;;;;;;;;;;x
HOLDER_NEEDS_30_GOLD_COST;Holder can afford cost of §R30.0§!¤\n;;;;;;;;;;;;;x
NEEDS_30_PIETY_COST;Can afford cost of §R30.0§! [This.Religion.GetPietyName]\n;;;;;;;;;;;;;x
HOLDER_NEEDS_30_PIETY_COST;Holder can afford cost of §R30.0§! [This.Holder.Religion.GetPietyName]\n;;;;;;;;;;;;;x
NEEDS_30_PRESTIGE_COST;Can afford cost of §R30.0§! Prestige\n;;;;;;;;;;;;;x
HOLDER_NEEDS_30_PRESTIGE_COST;Holder can afford cost of §R30.0§! Prestige\n;;;;;;;;;;;;;x
NEEDS_40_GOLD_COST;Can afford cost of §R40.0§!¤\n;;;;;;;;;;;;;x
HOLDER_NEEDS_40_GOLD_COST;Holder can afford cost of §R40.0§!¤\n;;;;;;;;;;;;;x
NEEDS_40_PIETY_COST;Can afford cost of §R40.0§! [This.Religion.GetPietyName]\n;;;;;;;;;;;;;x
HOLDER_NEEDS_40_PIETY_COST;Holder can afford cost of §R40.0§! [This.Holder.Religion.GetPietyName]\n;;;;;;;;;;;;;x
NEEDS_40_PRESTIGE_COST;Can afford cost of §R40.0§! Prestige\n;;;;;;;;;;;;;x
HOLDER_NEEDS_40_PRESTIGE_COST;Holder can afford cost of §R40.0§! Prestige\n;;;;;;;;;;;;;x
NEEDS_50_GOLD_COST;Can afford cost of §R50.0§!¤\n;;;;;;;;;;;;;x
HOLDER_NEEDS_50_GOLD_COST;Holder can afford cost of §R50.0§!¤\n;;;;;;;;;;;;;x
NEEDS_50_PIETY_COST;Can afford cost of §R50.0§! [This.Religion.GetPietyName]\n;;;;;;;;;;;;;x
HOLDER_NEEDS_50_PIETY_COST;Holder can afford cost of §R50.0§! [This.Holder.Religion.GetPietyName]\n;;;;;;;;;;;;;x
NEEDS_50_PRESTIGE_COST;Can afford cost of §R50.0§! Prestige\n;;;;;;;;;;;;;x
HOLDER_NEEDS_50_PRESTIGE_COST;Holder can afford cost of §R50.0§! Prestige\n;;;;;;;;;;;;;x
NEEDS_60_GOLD_COST;Can afford cost of §R60.0§!¤\n;;;;;;;;;;;;;x
HOLDER_NEEDS_60_GOLD_COST;Holder can afford cost of §R60.0§!¤\n;;;;;;;;;;;;;x
NEEDS_60_PIETY_COST;Can afford cost of §R60.0§! [This.Religion.GetPietyName]\n;;;;;;;;;;;;;x
HOLDER_NEEDS_60_PIETY_COST;Holder can afford cost of §R60.0§! [This.Holder.Religion.GetPietyName]\n;;;;;;;;;;;;;x
NEEDS_60_PRESTIGE_COST;Can afford cost of §R60.0§! Prestige\n;;;;;;;;;;;;;x
HOLDER_NEEDS_60_PRESTIGE_COST;Holder can afford cost of §R60.0§! Prestige\n;;;;;;;;;;;;;x
NEEDS_70_GOLD_COST;Can afford cost of §R70.0§!¤\n;;;;;;;;;;;;;x
HOLDER_NEEDS_70_GOLD_COST;Holder can afford cost of §R70.0§!¤\n;;;;;;;;;;;;;x
NEEDS_70_PIETY_COST;Can afford cost of §R70.0§! [This.Religion.GetPietyName]\n;;;;;;;;;;;;;x
HOLDER_NEEDS_70_PIETY_COST;Holder can afford cost of §R70.0§! [This.Holder.Religion.GetPietyName]\n;;;;;;;;;;;;;x
NEEDS_70_PRESTIGE_COST;Can afford cost of §R70.0§! Prestige\n;;;;;;;;;;;;;x
HOLDER_NEEDS_70_PRESTIGE_COST;Holder can afford cost of §R70.0§! Prestige\n;;;;;;;;;;;;;x
