#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
war_voting_power;Diplomacy;Diplomatie;Diplomatie;;Diplomacia;;;;;;;;;x
war_voting_power_desc;The Council's ability to influence Diplomacy.;La capacité du conseil à influencer la diplomatie.;Die Möglichkeit des Rates, die Diplomatie zu beeinflussen.;;La capacidad del Consejo para influir en la diplomacia.;;;;;;;;;x
war_voting_power_0;Ruler Diplomatic Sovereignty;Souveraineté du dirigeant concernant la diplomatie;Herrscher entscheidet über die Diplomatie;;Soberanía del dirigente en asuntos diplomáticos;;;;;;;;;x
war_voting_power_0_desc;The Ruler has full authority on Diplomatic actions.\n;L'autorité du dirigeant en matière de diplomatie est totale.\n;Der Herrscher hat bei diplomatische Aktionen die volle Entscheidungsbefugnis.\n;;El dirigente tiene total autoridad en asuntos diplomáticos.\n;;;;;;;;;x
war_voting_power_1;Diplomacy Committee;Comité diplomatique;Diplomatie-Komitee;;Comisión diplomática;;;;;;;;;x
war_voting_power_1_desc;Council members vote on Diplomatic actions.\n;Les membres du conseil votent pour les décisions diplomatiques.\n;Ratsmitglieder stimmen über diplomatische Aktionen ab.\n;;Los miembros del Consejo votan en los asuntos diplomáticos.\n;;;;;;;;;x
#######################################################################################################################################
justice_voting_power;Justice;Justice;Inhaftierung;;Justicia;;;;;;;;;x
justice_voting_power_desc;The Council's ability to influence imprisonment, executions, and treatment of prisoners.;La capacité du Conseil à influencer l'emprisonnement, les exécutions et le traitement des détenus.;Die Möglichkeit des Rates, Haftstrafen, Hinrichtungen und die Behandlung von Gefangenen zu beeinflussen.;;Capacidad del Consejo para influir en el encarcelamiento, las ejecuciones y el tratamiento de los prisioneros.;;;;;;;;;x
justice_voting_power_0;Ruler Justice Sovereignty;Souveraineté du dirigeant pour la justice;Herrscher entscheidet über Inhaftierungen;;Soberanía de justicia del gobernador;;;;;;;;;x
justice_voting_power_0_desc;The Ruler has full authority on imprisonment, executions, and treatment of prisoners.\n;Le dirigeant décide seul de l'emprisonnement, les exécutions et le traitement des détenus.\n;Der Herrscher hat bei Haftstrafen, Hinrichtungen und die Behandlung von Gefangenen die volle Entscheidungsbefugnis.\n;;El gobernante tiene plena autoridad sobre el encarcelamiento, las ejecuciones y el tratamiento de los prisioneros.\n;;;;;;;;;x
justice_voting_power_0_option;Ruler;Dirigeant;Herrscher;;Gobernante;;;;;;;;;x
justice_voting_power_1;Justice Committee;Comité de Justice;Inhaftierungskomitee;;Comité de justicia;;;;;;;;;x
justice_voting_power_1_desc;Council members vote on imprisonment, executions, and treatment of prisoners.\n;Les membres du Conseil votent sur l'emprisonnement, les exécutions et le traitement des détenus.\n;Ratsmitglieder stimmen über Haftstrafen, Hinrichtungen und die Behandlung von Gefangenen ab.\n;;Miembros del consejo votan sobre el encarcelamiento, las ejecuciones y el tratamiento de los prisioneros.\n;;;;;;;;;x
justice_voting_power_1_option;Council;Conseil;Rat;;Consejo;;;;;;;;;x
#######################################################################################################################################
titles_voting_power;Titles & Offices;Titre et offices;Titelvergabe;;Títulos y cargos;;;;;;;;;x
titles_voting_power_desc;The Council's ability to influence issues related to Titles, Offices, and Feudal contracts.;La capacité du conseil à influencer les questions de titres, d'offices et de contrats féodaux.;Die Möglichkeit des Rates, die Vergabe von Titeln zu beeinflussen.;;La capacidad del Consejo para influir en los asuntos de los títulos, cargos y contratos feudales.;;;;;;;;;x
titles_voting_power_0;Ruler Titles Sovereignty;Souveraineté du dirigeant pour des titres;Herrscher entscheidet über Titeln;;Soberanía del dirigente para los títulos;;;;;;;;;x
titles_voting_power_0_desc;The ruler has full authority on management of Titles, Offices, and Feudal contracts.;L'autorité du dirigeant en matière de titres, d'offices et de contrats féodaux.;Der Herrscher hat bei der Vergabe von Titeln die volle Entscheidungsbefugnis.;;El gobernante tiene plena autoridad sobre la concesión de títulos.;;;;;;;;;x
titles_voting_power_0_option;Ruler;Dirigeant;Herrscher;;Dirigente;;;;;;;;;x
