#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#### EVENTS;;;;;;;;;;;;;;x
# Former religion head was sacrificed by other faith
emf_crier.50.title;The [FromFrom.RelHead.GetTitle] is Dead;;;;El [FromFrom.RelHead.GetTitle] ha muerto;;;;;;;;;x
emf_crier.50.desc_norse_killer;[FromFrom.GetFirstName], the former head of the [FromFrom.Religion.GetName] faith, hangs from a branch, [FromFrom.GetPossPronoun] lifeless eyes bulging. Some children steal [FromFrom.GetPossPronoun] preposterous hat and laugh as they pass it around. Overhead ravens are already circling, preparing for their own part in the feast.\n\nWhat will the other [FromFrom.Religion.GetGroupName]s think when they learn of this glorious victory for your faith, when they learn you have killed their spiritual leader? Will they shake with fear at the sound of the Allfather's name? As you ponder these questions, the ravens descend and begin their bloody work...;;;;[FromFrom.GetFirstName], [FromFrom.GetElLa] antiguo líder de la religión [FromFrom.Religion.GetName], cuelga de un árbol, con los ojos hinchados. Algunos críos han robado su gorro absurdo y ríen mientras se lo pasan. En las alturas, los cuervos vuelan ya en círculos, esperando su parte del festín.\n\n¿Qué pensarán los otros [FromFrom.Religion.GetGroupName]s cuando sepan de esta victoria para tu fe, cuando sepan que has matado su líder espiritual? ¿Temblarán de miedo cuando escuchen el nombre de Odín? Mientras reflexionas, los cuervos descienden y empiezan su sangriento trabajo...;;;;;;;;;x
emf_crier.50.desc_norse_faith;[Root.GetBestName] has sacrificed the [FromFrom.Religion.GetName] [FromFrom.RelHead.GetTitle] at a Blot. Even now the so-called holy [FromFrom.GetManWoman] hangs from a tree branch, [FromFrom.GetPossPronoun] corpse torn by ravens.\n\nDoes this auspicious occasion mean the eventual triumph of your [Root.Religion.GetName] faith? Or will the other [FromFrom.Religion.GetGroupName]s be inspired to strike back against those they hold responsible?;;;;[Root.GetBestName] ha sacrificado al [FromFrom.RelHead.GetTitle] [FromFrom.Religion.GetName] en el banquete. El así llamado [FromFrom.GetManWoman] sagrado cuelga ahora de un árbol, con el cuerpo despedazado por los cuervos.\n\n¿Significa este auspicioso hecho el triunfo de tu fe [Root.Religion.GetName]? ¿O inspirará a los otros [FromFrom.Religion.GetGroupName]s a vengarse contra los responsables?;;;;;;;;;x
emf_crier.50.desc_hindu_killer;The body of the former [FromFrom.Religion.GetName] [FromFrom.RelHead.GetTitle] lies on the temple floor, its throat cut. The collected blood has already been passed around among the guests and many have tasted it, their lips unnaturally red, chins flecked, mustaches dripping. The statue of Kali looms over everything, including the corpse of poor [FromFrom.GetFirstName]. Kali's expression is, as always, one of rage—her eyes fierce, her mouth ready to devour.\n\nWill the other [FromFrom.Religion.GetGroupName]s tremble in fear when they learn of this act? Will they be humbled, as they should be? And will Kali see fit to spare any soul, even yours? With these thoughts swirling in your mind, you take the skull cup, still full of blood, and set it to your lips...;;;;El cuerpo del antiguo [FromFrom.RelHead.GetTitle] [FromFrom.Religion.GetName] está tirado en el suelo del templo, con la garganta cortada. La sangre recogida se ha compartido entre los invitados y muchos la han probado, sus labios rojos, las mejillas moteadas y los bigotes goteantes. La estatua de Kali se cierne sobre todos, incluyendo el cuerpo del pobre [FromFrom.GetFirstName]. La expresión de Kali es, como siempre, rabiosa, lista para devorar.\n\n¿Temblarán el resto de [FromFrom.Religion.GetGroupName]s cuando sepan de este hecho? ¿Estarán humillados, como deberían? ¿Considerará Kali perdonar alguna alma? Con estos pensamientos rondando tu mente, coges la copa de cráneo, llena de sangre, y la acercas a tus labios...;;;;;;;;;x
emf_crier.50.desc_hindu_faith;[Root.GetBestName] has sacrificed the [FromFrom.Religion.GetName] [FromFrom.RelHead.GetTitle] at a Kali Puja feast. At this moment the so-called holy [FromFrom.GetManWoman] lies dead, [FromFrom.GetPossPronoun] throat cut, [FromFrom.GetPossPronoun] blood served to guests.\n\nIs this momentous occasion proof that your [Root.Religion.GetName] faith is superior? Or will the other [FromFrom.Religion.GetGroupName]s find a new motivation to wage war against those they hold responsible?;;;;[Root.GetBestName] ha sacrificado al [FromFrom.RelHead.GetTitle] [FromFrom.Religion.GetName] en el banquete a Kali Puja. En estos momentos, [FromFrom.GetElLa] Sant[FromFrom.GetOA] [FromFrom.GetManWoman] yace muerto, con la garganta cortada, y su sangre servida a los invitados.\n\n¿Es esto una prueba de que tu religión [Root.Religion.GetName] es superior? ¿O encontrarán los otros [FromFrom.Religion.GetGroupName]s una motivación para declarar la guerra a los responsables?;;;;;;;;;x
emf_crier.50.desc_zun_killer;[FromFrom.GetFirstName], once the [FromFrom.Religion.GetName] [FromFrom.RelHead.GetTitle], has succumbed to the judgment of [Root.Religion.GetHighGodName]. [FromFrom.GetPossPronounCap] lifeless body, still in the sand where [FromFrom.GetSubjectPronoun] was half-buried, is burned red, [FromFrom.GetPossPronoun] lips dried and cracked. Flies swarm about [FromFrom.GetPossPronoun] exposed head. Vultures watch from nearby perches, waiting for their chance at the corpse.\n\nThrough this act, it appears as though [Root.Religion.GetHighGodName] has actually delivered judgment upon all the other [FromFrom.Religion.GetGroupName]s. How else could such an event be interpreted? Why did their [FromFrom.Religion.GetHighGodName] not deliver this supposed holy [FromFrom.GetManWoman]? And truly, how bright can their god be compared to the Sun itself? With these thoughts in your mind, you retreat and let the desert scavengers do what they will...;;;;[FromFrom.GetFirstName], una vez [FromFrom.GetElLa] [FromFrom.RelHead.GetTitle] [FromFrom.Religion.GetName], ha sucumbido al juicio de [Root.Religion.GetHighGodName]. Su cuerpo sin vida, aún en la arena medio enterrado, está quemado por el Sol, sus labios secos y agrietados. Las moscas revolotean sobre su cabeza. Los buitres observan desde lo alto, esperando su oportunidad.\n\nCon este acto, parece que [Root.Religion.GetHighGodName] ha obrado justicia sobre los [FromFrom.Religion.GetGroupName]s. ¿De qué otra forma se puede interpretar? ¿Por qué [FromFrom.Religion.GetHighGodName] no liberó a su [FromFrom.GetManWoman] Sant[FromFrom.GetOA]? ¿Y cómo puede compararse su dios con el mismísimo Sol? Con estos pensamientos te retiras y dejas que las bestias del desierto jueguen con el cuerpo...;;;;;;;;;x
emf_crier.50.desc_zun_faith;[Root.GetBestName] has submitted the [FromFrom.Religion.GetName] [FromFrom.RelHead.GetTitle] to the judgment of [Root.Religion.GetHighGodName], and the Sun has not been merciful. The so-called holy [FromFrom.GetManWoman] is dead, [FromFrom.GetPossPronoun] corpse picked apart by desert scavengers.\n\nDoes this mean [Root.Religion.GetHighGodName] will lead you to victory against the other [FromFrom.Religion.GetGroupName]s? Or will the heathens instead muster their armies and do battle with those they hold responsible?;;;;[Root.GetBestName] ha entregado [FromFrom.GetAlAla] [FromFrom.RelHead.GetTitle] [FromFrom.Religion.GetName] al juicio de [Root.Religion.GetHighGodName], y el Sol no ha sido clemente. [FromFrom.GetElLaCap] así llamad[FromFrom.GetOA] sant[FromFrom.GetOA] está muert[FromFrom.GetOA], con el cuerpo despedazado por las bestias.\n\n¿Significa esto que [Root.Religion.GetHighGodName] te llevará a la victoria contra los demás [FromFrom.Religion.GetGroupName]s? ¿O llevarán estos paganos sus ejércitos a la batalla contra los responsables?;;;;;;;;;x
emf_crier.50.desc_aztec_killer;The body of [FromFrom.GetFirstName], the [FromFrom.GetManWoman] who called [FromFrom.GetReflexivePronoun] the [FromFrom.RelHead.GetTitle], rolls down the temple steps and comes to a stop in a broken heap. A trail of blood marks the path of [FromFrom.GetPossPronoun] descent. At the top of the temple a [Root.Religion.GetPriestTitle] stands with a human heart in one hand and an obsidian knife in the other, both still dripping blood. Mighty [Root.Culture.GetName] warriors cheer at the sight, comforted by the knowledge that [Root.Religion.GetRandomGodName] will subsist and the heavens will keep turning.\n\nWill these [FromFrom.Religion.GetName] weaklings now cower in fear at the might of the [Root.PrimaryTitle.GetFullName]? Or will they persist in their struggles against you? Either way, you know many of them will meet the same fate as their [FromFrom.RelHead.GetTitle]...;;;;El cuerpo de [FromFrom.GetFirstName], [FromFrom.GetElLa] [FromFrom.GetManWoman] que se hacía llamar [FromFrom.RelHead.GetTitle], rueda por el templo escalones abajo. Un rastro de sangre marca el camino de su descenso. En lo alto del templo, un [Root.Religion.GetPriestTitle] se alza con un corazón en una mano y un cuchillo de obsidiana en la otra, aún goteando sangre. Fuertes guerreros [Root.Culture.GetName]s aplauden, confortados por saber que [Root.Religion.GetRandomGodName] perdurará y los cielos seguirán girando.\n\n¿Se encogerán de miedo estos [FromFrom.Religion.GetName] ante el poder de [Root.PrimaryTitle.GetFullName]? ¿O continuarán resistiéndose a tu autoridad? De cualquiera de las maneras, sabes que muchos tendrán el mismo destino que su [FromFrom.RelHead.GetTitle]...;;;;;;;;;x
emf_crier.50.desc_aztec_faith;[Root.GetBestName] has sacrificed the [FromFrom.Religion.GetName] [FromFrom.RelHead.GetTitle] to the Gods. The supposed holy [FromFrom.GetManWoman] lies at the foot of an [Root.Religion.GetName] temple, [FromFrom.GetPossPronoun] heart cut from [FromFrom.GetPossPronoun] chest.\n\nAnd yet it is not enough—many others must be sacrificed, if the cosmos is to be sustained. The other [FromFrom.Religion.GetGroupName]s will surely resist your efforts.;;;;[Root.GetBestName] ha sacrificado [FromFrom.GetAlAla] [FromFrom.RelHead.GetTitle] [FromFrom.Religion.GetName] a los Dioses. [FromFrom.GetElLa] supuest[FromFrom.GetOA] [FromFrom.GetManWoman] sant[FromFrom.GetOA] yace a los pies del templo [Root.Religion.GetName], con el corazón arrancado del pecho.\n\nY aún así, no se han sacrificado a los suficientes si tiene que mantenerse el orden del cosmos. Los otros [FromFrom.Religion.GetGroupName]s se resistirán a tus esfuerzos.;;;;;;;;;x
emf_crier.50.desc_sacrifice;Word has arrived that a [GetFromRootInsult] by the name of [Root.GetBestName] has captured [FromFrom.GetBestName] and then sacrificed [FromFrom.GetObjectPronoun] at a heathen ritual. While you don't know the details of it, the monstrousness of the action is clear. The former [FromFrom.RelHead.GetTitle] has been debased, desecrated, used like an animal.\n\nWhy has [FromFrom.Religion.GetHighGodName] allowed this to happen? Is this evidence that all [FromFrom.Religion.GetGroupName]s have been forsaken? Surely something must be done about these barbaric [Root.Religion.GetName]s. Such a profane act cannot go unpunished!;;;;Llegan rumores de que un [GetFromRootInsult] con el nombre de [Root.GetBestName] ha capturado a [FromFrom.GetBestName] y después lo ha sacrificado en un ritual pagano. Aunque desconoces los detalles, la monstruosidad del acto es claro. [FromFrom.GetElLa] antigu[FromFrom.GetOA] [FromFrom.RelHead.GetTitle] ha sido degradado, profanado y usado como un animal.\n\n¿Por qué ha permitido [FromFrom.Religion.GetHighGodName] que pase ésto? ¿Significa que todos los [FromFrom.Religion.GetGroupName]s han sido olvidados? De todos modos, estos bárbaros [Root.Religion.GetName]s deben ser castigados. ¡Un acto tan blasfemo no puede salir impune!;;;;;;;;;x
emf_crier.50.desc_group;Word has arrived that a [GetFromRootInsult] by the name of [Root.GetBestName] has captured [FromFrom.GetBestName] of the [FromFrom.Religion.GetName] faith and sacrificed [FromFrom.GetObjectPronoun] at a barbaric ritual. While it doesn't directly concern your own faith, it is still a worrying development.\n\nAre any good [FromFrom.Religion.GetGroupName]s safe from these foreign predations? Who else will be made victims of profane rites performed for heathen gods? Perhaps something must be done.;;;;Llegan rumores de que un [GetFromRootInsult] con el nombre de [Root.GetBestName] ha capturado a [FromFrom.GetBestName] de la fe [FromFrom.Religion.GetName] y lo ha sacrificado en un ritual sanguinario. Aunque no afecta directamente a tu religión, es preocupante.\n\n¿Están los buenos [FromFrom.Religion.GetGroupName]s a salvo de estos depredadores extranjeros? ¿Quién más serán víctimas de sus rituales profanos? A lo mejor debemos hacer algo.;;;;;;;;;x
