#CODE;ENGLISH;;;;;;;;;;;;;x
#
# HERESY MAIN
#
#
CRUSADE_ADVENTURE;[Root.GetTitledFirstName]'s Crusaders;;;;Cruzados de [Root.GetTitledFirstName];;;;;;;;;x
CRUSADE_ADVENTURE_MUSLIM;[Root.GetTitledFirstName]'s Jihadists;;;;Yihadistas de [Root.GetTitledFirstName];;;;;;;;;x
CRUSADE_ADVENTURE_OTHER;[Root.GetTitledFirstName]'s Holy Warriors;;;;Guerreros Sagrados de [Root.GetTitledFirstName];;;;;;;;;x
# HERESY MODIFIERS
#
#
# HERESY TOOLTIPS
#
CRUSADE_DESC_DRO_3;Since the Crown of §Y$TITLE$§! is not held by a $RELIGION$ ruler, all gains will be handed over to the ruler who contributes the most to the $CRUSADE$.;;;;Dado que la corona de §Y$TITLE$§! no está en manos de un gobernante $RELIGION$, todas las ganancias se entregarán al gobernante que más contribuya a la $CRUSADE$.;;;;;;;;;x
CRUSADE_ADD_ALLIANCE;Will enter into an alliance with §Y[Root.GetTitledFirstName]§!\n;;;;Formará una alianza con §Y[Root.GetTitledFirstName]§!\n;;;;;;;;;x
CRUSADE_KEEP_TITLES;[Root.GetTitledFirstName] will become the independent ruler of §Yall lands taken in the Crusade§!.\n;;;;[Root.GetTitledFirstName] se convertirá en gobernante independiente de §Ytodas las tierras tomadas en la Cruzada§!.;;;;;;;;;x
CRUSADE_RELINQUISH_TITLES;[Root.GetTitledFirstName] will relinquish [Root.GetHerHis] §Yprevious holdings§! and become the independent ruler of §Yall lands taken in the Crusade§!.\n;;;;[Root.GetTitledFirstName] renunciará a sus §Yantiguas posesiones§! y se convertirá en gobernante independiente de §Ytodas las tierras tomadas en la Cruzada§!.;;;;;;;;;x
GRANTED_CRUSADE_FIEF;Might be granted a fief in the captured lands\n;;;;Se le podría conceder un feudo en las tierras capturadas\n;;;;;;;;;x
RANDOM_WILL_INHERIT_CRUSADE_KINGDOM;A landless knight will become the independent ruler of §Yall lands taken in the Crusade§!.\n;;;;Un caballero sin tierras podría convertirse en el gobernante independiente de §Ytodas las tierras tomadas en la Cruzada§!.;;;;;;;;;x
WILL_INHERIT_CRUSADE_KINGDOM;§Y[This.GetTitledFirstName]§! will become the independent ruler of §Yall lands taken in the Crusade§!.\n;;;;§Y[This.GetTitledFirstName]§! se convertirá en gobernante independiente de §Ytodas las tierras tomadas en la Cruzada§!.;;;;;;;;;x
#
# HERESY DECISIONS
#
#
# HERESY EVENTS
#
EVTDESC_emf_crusades_2;It is through the grace of [Root.Religion.GetHighGodName] that the [crusade_title.GetFullName] has finally been conquered. Now I must consider who shall rule this new land.;;;;Ha sido por la gracia de [Root.Religion.GetHighGodName] que [crusade_title.GetFullName] ha sido conquistado. Ahora debo considerar quién reinará en esta nueva tierra.;;;;;;;;;x
EVTOPTA_emf_crusades_2;One of my children;;;;Uno de mis hijos;;;;;;;;;x
EVTOPTB_emf_crusades_2_brother;My brother;;;;Mi hermano;;;;;;;;;x
EVTOPTB_emf_crusades_2_sister;My sister;;;;Mi hermana;;;;;;;;;x
EVTOPTC_emf_crusades_2;A capable relative;;;;Un familiar capacitado;;;;;;;;;x
EVTOPTD_emf_crusades_2;A valiant [Root.Culture.GetName] retainer;;;;Un valiente partidario [Root.Culture.GetName];;;;;;;;;x
EVTOPTE_emf_crusades_2;Myself, of course!;;;;¡Yo, por supuesto!;;;;;;;;;x
EVTDESC_emf_crusades_4;It is through the grace of [Root.Religion.GetHighGodName] that the [crusade_title.GetFullName] has been finally conquered. Perhaps it is worth considering whether I should request to [From.GetTitledFirstName] that a fief be granted to someone in return for my contribution to the cause?;;;;Ha sido por la gracia de [Root.Religion.GetHighGodName] que [crusade_title.GetFullName] ha sido conquistado. ¿A lo mejor merezco solicitar un feudo a [From.GetTitledFirstName] por mi contribución a la causa?;;;;;;;;;x
EVTOPTA_emf_crusades_4;Request a fief for my son;;;;Solicitar un feudo para mi hijo;;;;;;;;;x
EVTOPTB_emf_crusades_4;Request a fief for my brother;;;;Solicitar un feudo para mi hermano;;;;;;;;;x
EVTOPTC_emf_crusades_4;Request a fief for a relative;;;;Solicitar un feudo para mi pariente;;;;;;;;;x
EVTOPTD_emf_crusades_4;Request a fief for a valiant retainer;;;;Solicitar un feudo para mi partidario;;;;;;;;;x
EVTOPTE_emf_crusades_4;Request a fief for myself;;;;Solicitar un feudo para mí.;;;;;;;;;x
EVTOPTF_emf_crusades_4;No, our victory belongs to [Root.Religion.GetHighGodName];;;;No, nuestra victoria pertenece a [Root.Religion.GetHighGodName];;;;;;;;;x
EVTDESC_emf_crusades_22;[From.GetTitledFirstName] is determined to join the [From.Religion.GetCrusadeName] and has gathered together a large number of recruits in [liege_capital.GetName] under [From.GetHerHis] banner. They have already begun their march to support [From.RelHead.GetTitledFirstName].;;;;[From.GetTitledFirstName] está empecinado en unirse a la [From.Religion.GetCrusadeName] y ha reunido un gran ejército en [liege_capital.GetName] bajo su estandarte. Ya han empezado a marchar para apoyar [From.GetAlAla] [From.RelHead.GetTitledFirstName].;;;;;;;;;x
EVTDESC_emf_crusades_24;The [Root.Religion.GetCrusadeName] is over and I have nothing to show for my struggles. What shall become of me now?;;;;La [Root.Religion.GetCrusadeName] ha terminado y no he conseguido nada en la batalla. ¿Qué será de mí ahora?;;;;;;;;;x
EVTOPTA_emf_crusades_24;Return home;;;;Regresar a casa;;;;;;;;;x
EVTOPTB_emf_crusades_24;Become a mercenary;;;;Convertirse en mercenario;;;;;;;;;x
