#CODE;ENGLISH;;;;;;;;;;;;;x
#
# CUSTOMIZER MAIN
#
emf_customize_ruler;Customize Ruler Dynasty;;;;Personalizar dinastía del gobernante;;;;;;;;;x
emf_customize_ruler_desc;If selected using the Ruler Designer, you will be able to select any character of your culture and assign their relation to you, if one is valid, or just assume their dynasty as a 'distant relation', provided you are not also a bastard (in which case you will keep your current dynasty). To do so, right-click on their portrait and select the 'Assume Dynasty' decision in their diplomatic menu. You will have the option to back out, if you so choose, and you may only use this option within the first 15 days of the game. After that, the trait is useless.;;;;Si seleccionas el rasgo usando el Diseñador de Gobernantes, podrás escoger cualquier personaje de tu cultura y asignar una relación de parentesco, o asumir su dinastía como "relación lejana", en caso de que no seas un bastardo (en cuyo caso mantendrás tu dinastía actual). Para hacerlo, haz click derecho en el retrato y selecciona la decisión "Asumir Dinastía". Tendrás la opción de retractarte, y solo podrás usar esta opción en los primeros 15 días de juego. Después de eso, el rasgo es inútil.;;;;;;;;;x
emf_customize_ruler_dynasty;Set As Relative;;;;Escoger pariente;;;;;;;;;x
emf_customize_ruler_dynasty_desc;If you proceed, you will be prompted to select your relation to [Root.GetTitledFirstName], if a relation is valid, which will mean assuming [Root.GetHerHis] dynasty (unless you are a bastard). This includes being a 'distant relative'. You will have the chance to back out of the decision, if you so desire.;;;;Si aceptas, deberás escoger la relación con [Root.GetTitledFirstName], si es válida, lo que supondrá formar parte de su dinastía (a no ser que seas un bastardo). Esto incluye ser un "pariente lejano". Tendrás opción de retractarte si lo deseas.;;;;;;;;;x
emf_clear_child_focus;Clear Childhood Focus;;;;Limpiar enfoque de niñez;;;;;;;;;x
emf_clear_child_focus_desc;If you have ruled for less than a year, you may clear the focus of any children in your court once (and once only).;;;;Si has gobernado por menos de un año, puedes quitar el enfoque de cualquier niño en tu corte una vez (y solo una).;;;;;;;;;x
#
# CUSTOMIZER TOOLTIPS
#
CUSTOMIZE_RULER_BASTARD;As a bastard, you will remain part of the §Y[From.GetOnlyDynastyName]§! dynasty, but you can make [Root.GetTitledFirstName] a relative, if you choose;;;;Como bastardo, continuarás formando parte de la dinastía §Y[From.GetOnlyDynastyName]§!, pero puedes ser pariente de [Root.GetTitledFirstName] si continúas.;;;;;;;;;x
CUSTOMIZE_RULER_CHECK;You will become part of the §Y[Root.GetOnlyDynastyName]§! dynasty, once you select your relation to [Root.GetTitledFirstName];;;;Formarás parte de la dinastía §Y[Root.GetOnlyDynastyName]§!, una vez selecciones tu relación con [Root.GetTitledFirstName];;;;;;;;;x
THIS_WILL_BECOME_FATHER;§Y[This.GetBestName]§! will become your new father\n;;;;§Y[This.GetBestName]§! se convertirá en tu nuevo padre\n;;;;;;;;;x
THIS_WILL_BECOME_MOTHER;§Y[This.GetBestName]§! will become your new mother\n;;;;§Y[This.GetBestName]§! se convertirá en tu nueva madre\n;;;;;;;;;x
WILL_BECOME_FATHER;will become your new father\n;;;;se convertirá en tu nuevo padre\n;;;;;;;;;x
WILL_BECOME_MOTHER;will become your new mother\n;;;;se convertirá en tu nueva madre\n;;;;;;;;;x
HAS_CHILDHOOD_FOCUS;Has a childhood Focus\n;;;;Tiene un enfoque de niñez\n;;;;;;;;;x
HAS_NOT_CHANGED_CHILDHOOD_FOCUS;Has not had childhood Focus already cleared\n;;;;No se ha limpiado el enfoque anteriormente\n;;;;;;;;;x
CHILDHOOD_FOCUS_CLEARED;Childhood Focus will be cleared (and must be manually re-set)\n;;;;Se quitará el enfoque de niñez (y deberá ser puesto manualmente)\n;;;;;;;;;x
#
# CUSTOMIZER EVENTS
#
EVTDESC_emf_startup_1000;You have chosen to become part of the [From.GetOnlyDynastyName] dynasty. What relation will [From.GetTitledFirstName] be to you?;;;;Has elegido formar parte de la dinastía [From.GetOnlyDynastyName]. ¿Qué relación tendrá [From.GetTitledFirstName] contigo?;;;;;;;;;x
EVTOPTA_emf_startup_1000;[From.GetSheHeCap] will be my [From.GetFatherMother];;;;[From.ElElla] será mi  [From.GetFatherMother];;;;;;;;;x
EVTOPTB_emf_startup_1000_brother;He will be my brother;;;;Él será mi hermano;;;;;;;;;x
EVTOPTB_emf_startup_1000_sister;She will be my sister;;;;Ella será mi hermana;;;;;;;;;x
EVTOPTC_emf_startup_1000_nephew;He will be my nephew;;;;Él será mi sobrino;;;;;;;;;x
EVTOPTC_emf_startup_1000_niece;She will be my niece;;;;Ella será mi sobrina;;;;;;;;;x
EVTOPTD_emf_startup_1000_uncle;He will be my uncle;;;;Él será mi tío;;;;;;;;;x
EVTOPTD_emf_startup_1000_aunt;She will be my aunt;;;;Ella será mi tía;;;;;;;;;x
EVTOPTE_emf_startup_1000;We will be only distantly related;;;;Solo seremos parientes lejanos;;;;;;;;;x
EVTOPTF_emf_startup_1000;I've changed my mind...;;;;He cambiado de opinión...;;;;;;;;;x
