#CODE;ENGLISH;;;;;;;;;;;;;x
#
# DECADENCE MAIN
#
CB_NAME_DECADENCE_UPRISING;Decadence Uprising;;;;Revuelta de decadencia;;;;;;;;;x
DECADENCE_DESC;All adult Muslim men below the rank of King risk acquiring the §YDecadent§! trait, especially those of low character. The more decadent members of a dynasty who exist in a realm (this applies to any realm where a ruler has no member of their dynasty as a ruler above them), the more decadent the dynasty will be regarded overall by other Muslims. Decadent dynasty members outside of the ruler's realm affect nothing. Ways to remove decadence include:\n§G*§! Successfully convincing decadent Dynasty members to abandon their sinful ways.\n§G*§! Banishing or killing decadent Dynasty members\n§G(The Religion View contains a list of decadent dynasty members.)§!;;;;Todo Musulmán adulto inferior al rango de Rey se arriesga a adquirir el rasgo §YDecadente§!, especialmente aquellos de baja moral. Cuantos más miembros decadentes de la dinastía vivan en el reino (esto se aplica a cualquier reino en el que el gobernante no tenga a miembros de su dinastía por encima de él), más decadente será vista la dinastía entre los demás Musulmanes. Los miembros decadentes fuera del reino no producen ningún efecto. Formas de eliminar la decadencia incluyen:\n§G*§! Convencer a los miembros de la Dinastía de abandonar su vida de pecado.\n§G*§! Desterrar o matar a los miembros decadentes\n§G(La Vista de Religión contiene una lista con los miembros decadentes.)§!;;;;;;;;;x
decadence_revolt_desc;If the ruling dynasty's decadence grows too high, revolts amongst the pious members of their people may arise against them.;;;;Si la decadencia de la dinastía reinante es muy alta, los más fervorosos se rebelarán contra ella.;;;;;;;;;x
decadent_desc;Soft living and flagrant debauchery has turned this character decadent, a living offense to all righteous Muslims. Decadent characters residing in the realm of their dynasty head will make the entire dynasty appear decadent to all Muslims.;;;;La vida suave y el libertinaje flagrante han convertido a este personaje en decadente, una ofensa viva para todos los musulmanes justos. Los personajes decadentes que residen en el reino del jefe de la dinastía harán que toda la dinastía parezca decadente para todos los musulmanes.;;;;;;;;;x
dynasty_decadence_low;Decadent Dynasty;;;;Dinastía decadente;;;;;;;;;x
dynasty_decadence_low_desc;This character's dynasty is seen as quite decadent within their realm.\n\n§YNOTE§!: This is affected solely by the number of living dynasty members with the Decadent trait within your realm, including those imprisoned. Those outside your realm have no effect upon it. Also note that, once the trait is acquired, it can take years for memories to fade even if the number of decadent dynasty members in your realm drops.\n;;;;La dinastía de este personaje es vista como decadente dentro del reino.\n\n§YNOTA§!: Esto se ve afectado únicamente por el número de miembros de la dinastía con el rasgo Decadente que residen dentro de tus dominios, incluidos los encarcelados. Los que vivan fuera no tienen efecto. Ten en cuenta que, una vez adquirido el rasgo, puede tomar años en desaparecer de la memoria, aun cuando el número de familiares decadentes disminuya.\n;;;;;;;;;x
dynasty_decadence_med;Very Decadent Dynasty;;;;Dinastía MUY decadente;;;;;;;;;x
dynasty_decadence_med_desc;This character's dynasty is seen as quite decadent within their realm.\n\n§YNOTE§!: This is affected solely by the number of living dynasty members with the Decadent trait within your realm, including those imprisoned. Those outside your realm have no effect upon it. Also note that, once the trait is acquired, it can take years for memories to fade even if the number of decadent dynasty members in your realm drops.\n;;;;La dinastía de este personaje es vista como muy decadente.\n\n§YNOTA§!: Esto se ve afectado únicamente por el número de miembros de la dinastía con el rasgo Decadente que residen dentro de tus dominios, incluidos los encarcelados. Los que vivan fuera no tienen efecto. Ten en cuenta que, una vez adquirido el rasgo, puede tomar años en desaparecer de la memoria, aun cuando el número de familiares decadentes disminuya.\n;;;;;;;;;x
dynasty_decadence_high;Extremely Decadent Dynasty;;;;Dinastía Extremadamente decadente;;;;;;;;;x
dynasty_decadence_high_desc;This character's dynasty is seen as quite decadent within their realm.\n\n§YNOTE§!: This is affected solely by the number of living dynasty members with the Decadent trait within your realm, including those imprisoned. Those outside your realm have no effect upon it. Also note that, once the trait is acquired, it can take years for memories to fade even if the number of decadent dynasty members in your realm drops.\n;;;;La dinastía de este personaje es vista como muy decadente.\n\n§YNOTA§!: Esto se ve afectado únicamente por el número de miembros de la dinastía con el rasgo Decadente que residen dentro de tus dominios, incluidos los encarcelados. Los que vivan fuera no tienen efecto. Ten en cuenta que, una vez adquirido el rasgo, puede tomar años en desaparecer de la memoria, aun cuando el número de familiares decadentes disminuya.\n;;;;;;;;;x
WAR_NAME_DECADENCE_UPRISING;$ORDER$ $SECOND_ADJ$ Decadence Revolt;;;;$ORDER$ Revuelta de decadencia $SECOND_ADJ$;;;;;;;;;x
