#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
################################################################################
####  CHARACTER MODIFIERS
################################################################################
emf_faction_rebel_antichrist;Rebel Anti-Christ;;;;Anti-Cristo rebelde;;;;;;;;;x
emf_faction_rebel_antichrist_desc;DEV: All qualifying vassals of my liege will support me in a revolt.;;;;DEV: Todos los vasallos calificados de mi señor me apoyarán en una revuelta.;;;;;;;;;x
################################################################################
####  DECISIONS
################################################################################
emf_debug_faction_court_war;DEV: Court Faction Revolt;;;;DEV: Revuelta de la facción de la corte;;;;;;;;;x
emf_debug_faction_prosperity_war;DEV: Prosperity Faction Revolt;;;;DEV: Revuelta de la facción de prosperidad;;;;;;;;;x
emf_debug_faction_glory_war;DEV: Glory Faction Revolt;;;;DEV: Revuelta de facción de gloria;;;;;;;;;x
emf_debug_faction_tradition_war;DEV: Tradition Faction Revolt;;;;DEV: Revuelta de la facción de tradición;;;;;;;;;x
emf_debug_faction_court_war_desc;Start an overthrow revolt against [Root.GetTitledFirstName] led by the Court Faction, as if they had voted to do so.;;;;Inicia una revuelta de derrocamiento contra [Root.GetTitledFirstName] liderada por la Facción de la Corte, como si hubieran votado para hacerlo.;;;;;;;;;x
emf_debug_faction_prosperity_war_desc;Start an overthrow revolt against [Root.GetTitledFirstName] led by the Prosperity Faction, as if they had voted to do so.;;;;Inicia una revuelta de derrocamiento contra [Root.GetTitledFirstName] liderada por la Facción de la Prosperidad, como si hubieran votado para hacerlo.;;;;;;;;;x
emf_debug_faction_glory_war_desc;Start an overthrow revolt against [Root.GetTitledFirstName] led by the Glory Faction, as if they had voted to do so.;;;;Inicia una revuelta de derrocamiento contra [Root.GetTitledFirstName] liderada por la Facción de la Gloria, como si hubieran votado para hacerlo.;;;;;;;;;x
emf_debug_faction_tradition_war_desc;Start an overthrow revolt against [Root.GetTitledFirstName] led by the Tradition Faction, as if they had voted to do so.;;;;Inicia una revuelta de derrocamiento contra [Root.GetTitledFirstName] liderada por la Facción de la Tradición, como si hubieran votado para hacerlo.;;;;;;;;;x
emf_debug_faction_log_revolt_state;DEV: Log Civil War State;;;;DEV: Registrar estado de la guerra civil;;;;;;;;;x
emf_debug_faction_log_revolt_state_desc;Dump [Root.GetTitledFirstName]'s civil war state tracking information to game.log.;;;;Descarga la información de seguimiento del estado de la guerra civil de [Root.GetTitledFirstName] en game.log.;;;;;;;;;x
################################################################################
####  EVENTS
################################################################################
CLAIMANT_FACTION_DISBANDS_TT;Disband my faction supporting [From.GetPossPronoun] claim on §Y[emf_claim_title.GetName]§! for at least §Y5§! years.;;;;Disolver mi facción en apoyo a su reclamación sobre §Y[emf_claim_title.GetName]§! por al menos §Y5§! años.;;;;;;;;;x
CLAIMANT_FACTION_WILL_STAND_DOWN_TT;The loyalists will respect your wishes and stand down regarding your claim on §Y[emf_claim_title.GetName]§! for at least §Y5§! years.;;;;Los partidarios respetarán tus deseos y se retirarán con respecto a tu reclamo en §Y[emf_claim_title.GetName]§! por al menos §Y5§! años.;;;;;;;;;x
INFORM_THIS_CLAIMANT_BEFORE_APPROACHING_LIEGE_TT;Inform the claimant, §Y[This.GetTitledFirstName]§!, before I approach my liege.;;;;Informa al pretendiente, §Y[This.GetTitledFirstName]§!, antes de que me acerque a mi señor.;;;;;;;;;x
