#CODE;ENGLISH;;;;;;;;;;;;;x
#
# INTRIGUE MAIN
#
introduce_heir_desc;You can choose to formally introduce your heir to the vassals of your realm. This can help build trust that will certainly prove useful for the child in the future.;;;;;;;;;;;;;x
obj_be_legitimized_desc;[This.GetTitledFirstName] wants to have [This.GetHerHis] father to recognize [This.GetHerHis] legitimacy, and thus grant [This.GetHerHim] a proper inheritance.;;;;;;;;;;;;;x
obj_be_legitimized_title;Be Legitimized;;;;;;;;;;;;;x
obj_groom_an_heir_title;Groom Your Heir;;;;;;;;;;;;;x
obj_groom_an_heir_desc;[This.GetTitledFirstName] wants to prepare [This.GetHerHis] heir, [This.Heir.GetTitledFirstName], for [This.Heir.GetHerHis] eventual rule over the [This.PrimaryTitle.GetFullName]. This is a process that can potentially take years, culminating in the eventual presentation of an adult heir to the ruler's court.;;;;;;;;;;;;;x
plot_discredit_councillor_desc;[From.GetTitledFirstNameNoRegnal] wants [From.Liege.GetTitledFirstNameNoRegnal] to realize that [This.GetBestName] does not deserve [This.GetHerHis] position on the council.;;;;;;;;;;;;;x
plot_discredit_councillor_short;Plot to Discredit;;;;;;;;;;;;;x
plot_discredit_councillor_title;Discredit [This.GetTitledFirstNameNoRegnal];;;;;;;;;;;;;x
plot_embezzle_from_liege_desc;[From.GetTitledFirstNameNoRegnal] wants to help [From.GetHerHim]self to an adequate reward for [From.GetHerHis] service to [This.GetBestName].;;;;;;;;;;;;;x
plot_embezzle_from_liege_title;Embezzle From [This.GetTitledFirstNameNoRegnal];;;;;;;;;;;;;x
plot_embezzle_from_liege_short;Plot to Embezzle;;;;;;;;;;;;;x
plot_fabricate_heresy_desc;[From.GetTitledFirstNameNoRegnal] wants to convince [This.RelHead.GetBestName] that [This.GetBestName] is a heretic.;;;;;;;;;;;;;x
plot_fabricate_heresy_short;Plot to Fabricate Heresy;;;;;;;;;;;;;x
plot_fabricate_heresy_title;Accuse [This.GetTitledFirstNameNoRegnal] of Heresy;;;;;;;;;;;;;x
plot_fabricate_treason_desc;[From.GetTitledFirstNameNoRegnal] wants to convince the realm that [This.GetBestName] is a traitor.;;;;;;;;;;;;;x
plot_fabricate_treason_short;Plot to Fabricate Treason;;;;;;;;;;;;;x
plot_fabricate_treason_title;Fabricate Evidence of [This.GetTitledFirstNameNoRegnal]'s Treason;;;;;;;;;;;;;x
plot_fabricate_treason_liege_short;Plot to Fabricate Treason;;;;;;;;;;;;;x
plot_fabricate_treason_liege_desc;[From.GetTitledFirstNameNoRegnal] wants to convince the realm that [This.GetBestName] is a traitor.;;;;;;;;;;;;;x
plot_fabricate_treason_liege_title;Fabricate Evidence of [This.GetTitledFirstNameNoRegnal]'s Treason;;;;;;;;;;;;;x
plot_incapable_usurp_desc;With [From.Liege.GetTitledFirstNameNoRegnal] incapable of ruling, [From.GetBestName] intends to formalize [From.GetHerHis] position as regent and take over the actual rule of the [From.Liege.PrimaryTitle.GetFullName].\n\n§YNOTE: This is not an easy thing to do, even for an heir, and will require both high Plot Power and at least three backers before it can even think of being successful.§!;;;;;;;;;;;;;x
plot_incapable_usurp_short;Plot to Usurp;;;;;;;;;;;;;x
plot_incapable_usurp_title;Usurp Titles;;;;;;;;;;;;;x
plot_kidnap_liege_desc;[From.GetTitledFirstName] has decided that kidnapping is the only way to make [This.GetTitledFirstName] give up some of [This.GetHerHis] land.;;;;;;;;;;;;;x
plot_kidnap_liege_short;Plot to Kidnap;;;;;;;;;;;;;x
plot_kidnap_liege_title;Abduct [This.GetTitledFirstName];;;;;;;;;;;;;x
plot_kidnapping_desc;[From.GetTitledFirstNameNoRegnal] intends to abduct [This.GetBestName]. This would allow [From.GetHerHim] to demand a claimed or de jure non-capital county that [This.GetFirstName] holds, or a vassal that [From.GetSheHe] feels is rightly [From.GetHersHis] (these options are only available if [From.GetTitledFirstNameNoRegnal] and [This.GetTitledFirstName] are fellow vassals in the same realm)-- or perhaps simply to let [This.GetTitledFirstNameNoRegnal] rot in [From.GetHerHis] dungeon.;;;;;;;;;;;;;x
plot_kidnapping_short;Plot to Kidnap;;;;;;;;;;;;;x
plot_kidnapping_title;Kidnap [This.GetTitledFirstName];;;;;;;;;;;;;x
plot_replace_regent_desc;With [This.Liege.GetTitledFirstNameNoRegnal] unable to rule, [This.GetBestName] currently acts in [This.Liege.GetHerHis] stead on matters of the [This.Liege.PrimaryTitle.GetFullName]. [From.GetTitledFirstNameNoRegnal] believes [From.GetSheHe] would be far better suited for the task, and plans to arrange a challenge in court.;;;;;;;;;;;;;x
plot_replace_regent_short;Plot to Replace as Regent;;;;;;;;;;;;;x
plot_replace_regent_title;Replace Regent;;;;;;;;;;;;;x
plot_take_revenge_desc;[From.GetTitledFirstNameNoRegnal] will see [This.GetBestName] dead for what [This.GetSheHe] has done.;;;;;;;;;;;;;x
plot_take_revenge_short;Plot to Take Revenge;;;;;;;;;;;;;x
plot_take_revenge_title;Take Revenge on [This.GetTitledFirstNameNoRegnal];;;;;;;;;;;;;x
#
# INTRIGUE MODIFIERS
#
actually_my_child;Is Actually My Child;;;;;;;;;;;;;x
attempted_kidnapping;Attempted Kidnapping;;;;;;;;;;;;;x
attempted_kidnapping_of_kin;Attempted Kidnapping of Kin;;;;;;;;;;;;;x
attempted_kidnapping_of_vassal;Attempted Kidnapping of Vassal;;;;;;;;;;;;;x
devious_plotter;Devious Schemer;;;;;;;;;;;;;x
kidnapped_me;Kidnapped Me;;;;;;;;;;;;;x
legitimized_me;Legitimized Me;;;;;;;;;;;;;x
opinion_failed_blackmail;Attempted Blackmail;;;;;;;;;;;;;x
opinion_kidnapped_kin;Kidnapped a Relative;;;;;;;;;;;;;x
opinion_kidnapper;Kidnapped Me;;;;;;;;;;;;;x
opinion_mad_at_guardian;Upset at Upbringing;;;;;;;;;;;;;x
opinion_scandal;Scandal;;;;;;;;;;;;;x
opinion_spy_discovered_father;Spied Upon;;;;;;;;;;;;;x
opinion_spy_discovered_lover;Spied Upon;;;;;;;;;;;;;x
opinion_spy_enflamed_rivalry;Spied Upon;;;;;;;;;;;;;x
opinion_spy_rumors;Spied Upon;;;;;;;;;;;;;x
plot_assisted_spying;Spy Reports;;;;;;;;;;;;;x
plot_assisted_spying_desc;The detailed reports from your spies will greatly assist with your current plot, both in terms of plot power and the amount of time it takes for the plot to come to fruition, as well as your chance of unearthing plots against you.;;;;;;;;;;;;;x
plot_assisted_spying2;Spy Reports;;;;;;;;;;;;;x
plot_assisted_spying2_desc;The detailed reports from your spies will greatly assist with your current plot, both in terms of plot power and the amount of time it takes for the plot to come to fruition, as well as your chance of unearthing plots against you.;;;;;;;;;;;;;x
plot_assisted_spying3;Spy Reports;;;;;;;;;;;;;x
plot_assisted_spying3_desc;The detailed reports from your spies will greatly assist with your current plot, both in terms of plot power and the amount of time it takes for the plot to come to fruition, as well as your chance of unearthing plots against you.;;;;;;;;;;;;;x
plot_assisted_spying4;Spy Reports;;;;;;;;;;;;;x
plot_assisted_spying4_desc;The detailed reports from your spies will greatly assist with your current plot, both in terms of plot power and the amount of time it takes for the plot to come to fruition, as well as your chance of unearthing plots against you.;;;;;;;;;;;;;x
plot_assisted_spying5;Spy Reports;;;;;;;;;;;;;x
plot_assisted_spying5_desc;The detailed reports from your spies will greatly assist with your current plot, both in terms of plot power and the amount of time it takes for the plot to come to fruition, as well as your chance of unearthing plots against you.;;;;;;;;;;;;;x
replace_regent_timer;Replace Regent Timer;;;;;;;;;;;;;x
replace_regent_timer_desc;Replace Regent Timer;;;;;;;;;;;;;x
seduction_timer;Seduction Timer;;;;;;;;;;;;;x
seduction_timer_desc;Seduction Timer;;;;;;;;;;;;;x
spying_target_timer;Spy On Timer;;;;;;;;;;;;;x
spying_target_timer_desc;Spy On Timer;;;;;;;;;;;;;x
sympathetic_to_cause;Sympathetic;;;;;;;;;;;;;x
#
# INTRIGUE TOOLTIPS
#
ACCUSED_OF_TREASON;[This.GetTitledFirstName] is accused of treason by [From.GetTitledName]\n;;;;;;;;;;;;;x
acknowledge_him;Acknowledge [This.GetHerHim] as your bastard child;;;;;;;;;;;;;x
ask_him_the_truth;Ask him if he is your real father;;;;;;;;;;;;;x
ask_to_be_recognized;Ask to be recognized as his legitimate child;;;;;;;;;;;;;x
buy_off_with_estate;Give [From.GetTitledFirstName] an estate off of which to live;;;;;;;;;;;;;x
CHRONICLE_LEGITIMIZED_BY_FATHER;[Root.GetTitledFirstName] was declared a legitimate child of [From.GetTitledName].;;;;;;;;;;;;;x
CUSTOMTOOLTIP_KIDNAP1;The kidnapping is a success\n;;;;;;;;;;;;;x
CUSTOMTOOLTIP_KIDNAP2;We fail, but are not discovered\n;;;;;;;;;;;;;x
CUSTOMTOOLTIP_KIDNAP3;Disaster strikes – the plot fails and we're found out\n;;;;;;;;;;;;;x
EMBEZZLES_FROM_LIEGE;[From.GetTitledFirstName] successfully embezzles money from [This.GetTitledName]\n;;;;;;;;;;;;;x
EVTTOOLTIP_BLACKMAIL_AGREED;Agree to the blackmail demand;;;;;;;;;;;;;x
EVTTOOLTIP_BLACKMAIL_FATHER;Send a blackmail demand, lest you let everyone know of his indiscretion;;;;;;;;;;;;;x
EVTTOOLTIP_BLACKMAIL_LOVER;Send a blackmail demand, lest you let everyone know of [target_spy_on.GetHerHis] indiscretion;;;;;;;;;;;;;x
EVTTOOLTIP_BLACKMAIL_REFUSED;Refuse the blackmail demand, no matter the consequences;;;;;;;;;;;;;x
EVTTOOLTIP_BLACKMAIL_REVEAL;Reveal [hidden_bastard.GetTitledFirstName] to be a bastard;;;;;;;;;;;;;x
EVTTOOLTIP_CONTINUE_SPYING;Continue spying on [target_spy_on.GetTitledName]\n;;;;;;;;;;;;;x
EVTTOOLTIP_ENFLAME_DISCOVER;Realizes that you were behind the attempt;;;;;;;;;;;;;x
EVTTOOLTIP_ENFLAME_FAIL;The attempt to enflame the rivalry fails, but you are not revealed\n;;;;;;;;;;;;;x
EVTTOOLTIP_ENFLAME_SUCCEED;The attempt to enflame the rivalry succeeds\n;;;;;;;;;;;;;x
EVTTOOLTIP_ENFLAME_REVEAL;The attempt to enflame the rivalry fails, and your role is revealed to one or both parties\n;;;;;;;;;;;;;x
EVTTOOLTIP_INFORM_PLOTTER;Send word that your information can be used in the plot against [target_spy_on.GetTitledFirstName];;;;;;;;;;;;;x
EVTTOOLTIP_INFORM_TARGET;Send word of the plot against [From.PlotTarget.GetHerHim];;;;;;;;;;;;;x
EVTTOOLTIP_REDUCE_FAIL;Relations with [target_spy_on.GetHerHis] liege are unaffected\n;;;;;;;;;;;;;x
EVTTOOLTIP_REDUCE_REVEAL;Relations with [target_spy_on.GetHerHis] liege are unaffected, and either party may discover your attempt\n;;;;;;;;;;;;;x
EVTTOOLTIP_REDUCE_SUCCEED;Relations with [target_spy_on.GetHerHis] liege are worsened\n;;;;;;;;;;;;;x
EVTTOOLTIP_STOP_SPYING;Cease all spying attempts against [target_spy_on.GetTitledName]\n;;;;;;;;;;;;;x
HEIR_HAS_BEEN_GROOMED;[Root.Heir.GetTitledFirstName] has been successfully groomed and presented to your court\n;;;;;;;;;;;;;x
HEIR_INTRODUCED;[This.GetTitledFirstNameNoRegnal] begins to spend time at court\n;;;;;;;;;;;;;x
introduce_heir_custom_tooltip;Introduce your heir at court;;;;;;;;;;;;;x
KIDNAP_DECIDE;Will be forced to decide whether to kill you;;;;;;;;;;;;;x
KIDNAP_DEMAND_TITLE;Demand that [demanded_title.GetName] be turned over to you, or face the consequences;;;;;;;;;;;;;x
KIDNAP_DEMAND_VASSAL;Demand that [demanded_vassal.GetTitledFirstNameNoRegnal] be turned over to you, or face the consequences;;;;;;;;;;;;;x
KIDNAP_IS_SET_FREE;You will be set free\n;;;;;;;;;;;;;x
KIDNAP_MURDER_DISCOVERED;The murder is discovered by [kidnap_victim.GetTitledFirstNameNoRegnal]'s spymaster;;;;;;;;;;;;;x
KIDNAP_MURDER_DISCOVERED2;The murder is discovered by [kidnap_victim.Liege.GetTitledFirstNameNoRegnal]'s spymaster;;;;;;;;;;;;;x
KIDNAP_MURDER_NOT_DISCOVERED;No one discovers who murdered [kidnap_victim.GetTitledFirstNameNoRegnal]\n;;;;;;;;;;;;;x
KIDNAP_RELEASED;Will be set free--and will be very angry!;;;;;;;;;;;;;x
legitimize_him;Declare [This.GetHerHim] your legitimate child;;;;;;;;;;;;;x
NOT_CHASTE_OR_NO_LOVER;Is either not Chaste or is unmarried and without a lover\n;;;;;;;;;;;;;x
NOT_RECENTLY_SPIED_UPON;Has not recently been the target of spying\n;;;;;;;;;;;;;x
PLOT_SUCCEEDS;The plot succeeds;;;;;;;;;;;;;x
PLOT_FAILS_NO_DISCOVER;The plot fails, but is not discovered;;;;;;;;;;;;;x
PLOT_FAILS_DISCOVERED;The plot fails and is discovered;;;;;;;;;;;;;x
REGENT_PLOT_BLOCKED;Will be successfully blocked from continuing [From.GetHerHis] plan to take the regency.;;;;;;;;;;;;;x
REGENT_PLOT_NOTHING;Will continue [From.GetHerHis] plans, unaffected by your efforts.;;;;;;;;;;;;;x
REGENT_PLOT_WORSE;Your plans backfire, and [From.GetHerHis] plans will likely come to fruition much more quickly.;;;;;;;;;;;;;x
SEDUCTION_TARGET_TIMER_RECENT;An attempt to seduce has not occurred recently\n;;;;;;;;;;;;;x
TARGET_DISCREDITED;[This.GetTitledName] is discredited in front of the court\n;;;;;;;;;;;;;x
USURP_FAILED;The attempt to usurp [Root.Liege.GetTitledName]'s titles will fail, but will cause no undue reaction.;;;;;;;;;;;;;x
USURP_REVEALED;The attempt to usurp [Root.Liege.GetTitledName]'s titles will fail, and will be revealed as treachery.;;;;;;;;;;;;;x
USURP_SUCCESSFUL;All of [Root.Liege.GetTitledName]'s titles will be successfully usurped.;;;;;;;;;;;;;x
#
# INTRIGUE DECISIONS/EVENTS
#
EVTOPTC7255;Reveal the truth to all that will listen.;;;;;;;;;;;;;x
EVTDESC_emf_intrigue_150_transit;Finally, an opportunity has arisen to abduct [Root.PlotTarget.GetTitledName] when [Root.PlotTarget.GetSheHe] takes a planned journey from [Root.PlotTarget.Location.GetName] to a nearby town. Shall I tell my co-conspirators to begin their preparations?;;;;;;;;;;;;;x
EVTDESC_emf_intrigue_150_bed;Finally, an opportunity to abduct [Root.PlotTarget.GetTitledName] has arisen. One of the [Root.PlotTarget.PrimaryTitle.GetRulerTitle]'s personal guard has proven amenable to bribery, allowing for the opportunity to take [Root.PlotTarget.GetHerHim] while [Root.PlotTarget.GetSheHe] sleeps. Shall I tell my co-conspirators to begin their preparations?;;;;;;;;;;;;;x
EVTDESC_emf_intrigue_150_hunting;Finally, an opportunity has arisen to abduct [Root.PlotTarget.GetTitledName] when [Root.PlotTarget.GetSheHe] goes on a planned hunting trip over a week from now. The perfect chance to catch [Root.PlotTarget.GetHerHim] away from court! Shall I tell my co-conspirators to begin their preparations?;;;;;;;;;;;;;x
EVTDESC_emf_intrigue_150_carouse;Finally, an opportunity to abduct [Root.PlotTarget.GetTitledName] has arisen. The [Root.PlotTarget.GetManWoman]'s amourous nature has betrayed [Root.PlotTarget.GetHerHim]--a planned trip to a brothel in [Root.PlotTarget.Location.GetName] will prove the perfect chance, if we move quickly. Shall I tell my co-conspirators to begin their preparations?;;;;;;;;;;;;;x
EVTOPTA_emf_intrigue_150;We must proceed with the plan!;;;;;;;;;;;;;x
