#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#### EVENTS ####
emf_laws.11.desc;[From.GetTitledFirstName] has declared a change to the [emf_succ_title.GetFullName]'s succession laws-- a change ensuring not only that are you no longer the heir but also that you are no longer among the top contenders in the line of succession.;;;;;;;;;;;;;x
emf_laws.11.opt.so_be_it;So be it!;;;;;;;;;;;;;x
emf_laws.11.opt.outraged;How dare [From.GetSheHe]! This is an outrage!;;;;;;;;;;;;;x
emf_laws.12.desc;[From.GetTitledFirstName] has declared a change to the [emf_succ_title.GetFullName]'s succession laws-- a change which displaces you as primary heir, although you are still highly-ranked in the line of succession.;;;;;;;;;;;;;x
emf_laws.13.desc;[From.GetTitledFirstName] has declared a change to the [emf_succ_title.GetFullName]'s succession laws-- a change which removes you from the top contenders in the line of succession.;;;;;;;;;;;;;x
emf_laws.14.desc;[From.GetTitledFirstName] has declared a change to the [emf_succ_title.GetFullName]'s succession laws-- a change which elevates you to the status of [From.GetHerHis] primary heir! Many jealous eyes are now cast your way...;;;;;;;;;;;;;x
emf_laws.15.desc;[From.GetTitledFirstName] has declared a change to the [emf_succ_title.GetFullName]'s succession laws-- a change which does not make you [From.GetHerHis] primary heir but does place you highly in the line of succession.;;;;;;;;;;;;;x
#### TEXT ####
LAWS_TAB_INHERITANCE;Succession;Héritage;Erbschaft;;Herencia;;;;;;;;;x
emf_laws_text_obligations_min;Minimal;;;;;;;;;;;;;x
emf_laws_text_obligations_max;Harsh;;;;;;;;;;;;;x
#### TOOLTIPS ####
### Law Effects ###
emf_laws_ctt_change_succ_negative_prestige_warning;§RWARNING:§! Currently, passing this law will cause net negative prestige!\n;;;;;;;;;;;;;x
emf_laws_ctt_enables_dejure_duchy_claim;Enables §GDe Jure Duchy Claim§! CB\n;;;;;;;;;;;;;x
emf_laws_ctt_enables_dejure_kingdom_claim;Enables §GDe Jure Kingdom Claim§! CB\n;;;;;;;;;;;;;x
emf_laws_ctt_enables_king_peace_1;Enables sub-law §GInternal King's Peace§!\n;;;;;;;;;;;;;x
emf_laws_ctt_enables_king_peace_2;Enables sub-law §GComplete King's Peace§!\n;;;;;;;;;;;;;x
emf_laws_ctt_enables_administration_2;Enables law §GImperial Administration§!\n;;;;;;;;;;;;;x
emf_laws_ctt_enables_imperial_kingdom_creation_0;Enables law §GDe Jure Vassal Kingdom Creation (None)§!\n;;;;;;;;;;;;;x
emf_laws_ctt_enables_imperial_kingdom_creation_1;Enables law §GDe Jure Vassal Kingdom Creation (Anyone)§!\n;;;;;;;;;;;;;x
emf_laws_ctt_enables_imperial_kingdom_creation_2;Enables law §GDe Jure Vassal Kingdom Creation (Emperor)§!\n;;;;;;;;;;;;;x
emf_laws_ctt_enables_inheritance_1;Enables sub-law §GProtected Inheritance§!\n;;;;;;;;;;;;;x
emf_laws_ctt_enables_revokation_1;Enables sub-law §GTitle Revocation Allowed§!\n;;;;;;;;;;;;;x
emf_laws_ctt_enables_revokation_2;Enables sub-law §GFree Infidel Title Revocation§!\n;;;;;;;;;;;;;x
emf_laws_ctt_enables_subjugation_duke;Enables §GSubjugation§! CB vs. §GDUKE§! targets\n;;;;;;;;;;;;;x
emf_laws_ctt_enables_subjugation_king;Enables §GSubjugation§! CB vs. §GKING§! targets\n;;;;;;;;;;;;;x
emf_laws_ctt_enables_succ_primogeniture;Enables §GPrimogeniture Succession§!\n;;;;;;;;;;;;;x
emf_laws_ctt_enables_succ_seniority;Enables §GSeniority Succession§!\n;;;;;;;;;;;;;x
emf_laws_ctt_enables_succ_ultimogeniture;Enables §GUltimogeniture Succession§!\n;;;;;;;;;;;;;x
emf_laws_ctt_enables_ze_revokation_1;Enables sub-law §GTitle Revocation Allowed§!\n;;;;;;;;;;;;;x
emf_laws_ctt_enables_ze_revokation_2;Enables sub-law §GFree Infidel Title Revocation§!\n;;;;;;;;;;;;;x
emf_laws_ctt_no_free_duke_vassal_opinion_lt_neg25;No duke- or higher-tier direct vassals that aren't imprisoned with opinion less than §R-25§!\n;;;;;;;;;;;;;x
emf_laws_ctt_opinion_increase_authority;Opinion of §R-15§! from all rulers affected by the crown laws of this title for §Y10§! years\n;;;;;;;;;;;;;x
emf_laws_ctt_opinion_increase_demesne_authority;Opinion of §R-15§! from all rulers under this title for §Y10§! years\n;;;;;;;;;;;;;x
emf_laws_ctt_prevents_internal_military_plots;Prevents internal vassal military plots\n;;;;;;;;;;;;;x
emf_laws_ctt_protected_appointment_0_effect;Any member of the ruling council may be dismissed at will.\n;;;;;;;;;;;;;x
