#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#### DECISIONS;;;;;;;;;;;;;;x
emf_lucky_rulers;Lucky Rulers;;;;Gobernantes suertudos;;;;;;;;;x
emf_lucky_rulers_desc;Gifts a selection of AI rulers with bonuses, allowing them to provide more of a challenge. This decision will open a menu showing random lucky ruler selections, which you may cancel. You may invoke it multiple times. You may also individually bless specific rulers with luck during the campaign via the diplomacy menu.;;;;Otorga bonus a un conjunto de gobernantes IA, permitiéndoles ofrecer un mayor desafío. Esta decisión abrirá un menú mostrando una selección de gobernantes aleatoria, que puedes cancelar. Puedes usarlo varias veces. También puedes bendecir gobernantes específicos durante la partida con el menú de diplomacia.;;;;;;;;;x
emf_bless_lucky_ruler;Bless With Luck;;;;Bendecir con Suerte;;;;;;;;;x
emf_bless_lucky_ruler_desc;Bless a new Lucky Ruler. They will be more interesting to watch or rival: Lucky Rulers enjoy a number of benefits, exhibit more aggressive ambition, and always have access to the same casus belli as a player would in their position. Upon their demise, the "luck" will automatically pass to their heir (unless it would directly benefit a player).;;;;Bendice a un nuevo Gobernante. Serán más interesantes a la hora de jugar: Los Gobernantes Suertudos cuentan con beneficios, son más agresivos y ambiciosos y siempre tienen acceso al mismo casus belli que un jugador en su posición. Tras su desaparición, la "suerte" se pasará a su heredero automáticamente (a no ser que beneficie al jugador).;;;;;;;;;x
emf_ctt_bless_lucky_ruler;§Y[This.GetBestName]§! and those that follow [This.GetHerHim] will be blessed with luck.\n;;;;§Y[This.GetBestName]§! y aquellos que [This.GetRleRla] siguen serán bendecidos con suerte.\n;;;;;;;;;x
emf_ctt_unbless_lucky_ruler_cooldown;It's been at least §Y[This.GetBestName]§!;;;;¡Ha sido al menos §Y [This.GetBestName] §!;;;;;;;;;x
emf_unbless_lucky_ruler;Remove Luck;;;;Quitar Suerte;;;;;;;;;x
emf_unbless_lucky_ruler_desc;Having second thoughts? You can always remove Lucky Ruler status at will.;;;;¿Te lo has replanteado? Podrás remover la Suerte de un gobernante cuando quieras.;;;;;;;;;x
#### EVENTS;;;;;;;;;;;;;;x
emf_lucky.0.desc;This customization option blesses a random selection of AI rulers with tremendous bonuses. Such rulers will be more accomplished, live longer, have more troops, and experience many other benefits. They'll be interesting to watch or rival. You may also bless/unbless specific AI rulers with luck via the diplomacy menu at any time.;;;;Esta opción de personalización bendice una selección aleatoria de gobernantes  IA con enormes bonificaciones. Dichos gobernantes tendrán más logros, vivirán más, tendrán más tropas y experimentarán muchos otros beneficios. Serán interesantes de ver o rivalizar. También puedes bendecir/deshacer a gobernantes IA específicos con suerte a través del menú de diplomacia en cualquier momento.;;;;;;;;;x
emf_lucky.0.a;Choose random rulers;;;;Escoger gobernantes aleatorios;;;;;;;;;x
emf_lucky.0.b;Choose historical nations.;;;;Escoger naciones históricas.;;;;;;;;;x
emf_lucky.0.c;Choose rulers close to players.;;;;Escoger gobernantes cercano al jugador.;;;;;;;;;x
emf_lucky.0.d;Nevermind;;;;No importa;;;;;;;;;x
emf_ctt_lucky_king;§GKings:§!\n;;;;§GReyes:§!\n;;;;;;;;;x
emf_ctt_lucky_duke;§GDukes:§!\n;;;;§GDuques:§!\n;;;;;;;;;x
emf_ctt_lucky_count;§GCounts:§!\n;;;;§GCondes:§!\n;;;;;;;;;x
emf_lucky.1.tt;§Y[This.GetBestName]§! will be blessed with luck.;;;;§Y[This.GetBestName]§! será bendecido con suerte.;;;;;;;;;x
#### MODIFIERS;;;;;;;;;;;;;;x
emf_mod_lucky_ruler;Lucky Ruler;;;;Suertudo;;;;;;;;;x
#### TRAITS;;;;;;;;;;;;;;x
lucky_ruler;Lucky Ruler;;;;Suertudo;;;;;;;;;x
lucky_ruler_desc;This ruler is exceedingly skilled, exceptionally lucky, has been blessed by a divine being, or possibly all three at once. There's no other way to explain such capability.;;;;Este gobernante es extremadamente habilidoso, suertudo, ha sido bendecido por un ser divino, o igual tres. No hay otra manera de explicar esas habilidades.;;;;;;;;;x
