#CODE;ENGLISH;;;;;;;;;;;;;x
#
# MARRIAGE MAIN
#

#
# MARRIAGE TRAITS/MODIFIERS
#
emf_suspects_barren;Suspects Barren;;;;;;;;;;;;;x
emf_tested_my_fertility;Tested My Fertility;;;;;;;;;;;;;x
infertile;Infertile;;;;;;;;;;;;;x
infertile_desc;This character is less prone to producing children.;;;;;;;;;;;;;x
sterile_known;Sterile;;;;;;;;;;;;;x
sterile_known_desc;This character is unable to have children, either having been born this way or having lost the ability through sickness or injury.;;;;;;;;;;;;;x
sterile_secret;Sterile;;;;;;;;;;;;;x
sterile_secret_desc;This character is unable to have children, either having been born this way or having lost the ability through sickness or injury.;;;;;;;;;;;;;x
#
# MARRIAGE TOOLTIPS
#
ASK_INVESTIGATE_CHILDLESS;Ask [This.GetHerHim] to look into [barren_wife.GetTitledFirstNameNoRegnal]'s state of health;;;;;;;;;;;;;x
BEGIN_INVESTIGATE_CHILDLESS;Look into [barren_wife.GetTitledFirstNameNoRegnal]'s childbearing health...\n;;;;;;;;;;;;;x
INFORM_RESULTS;Inform [This.GetHerHim] of your findings;;;;;;;;;;;;;x
INSULT_BARREN;barren;;;;;;;;;;;;;x
INSULT_IMPOTENT;impotent;;;;;;;;;;;;;x
REMOVE_BARREN_BUT_INFERTILE;Partially restores fertility!\n;;;;;;;;;;;;;x
REMOVE_BARREN_SUCCESS;Successful at restoring fertility!\n;;;;;;;;;;;;;x
#
# MARRIAGE DECISIONS/EVENTS
#
ai_divorce;AI Divorce;;;;;;;;;;;;;x
ai_divorce_desc;AI Divorce;;;;;;;;;;;;;x
EVTOPTA450;I don't mind.;;;;;;;;;;;;;x
EVTOPTB450;Avoid [Root.Liege.GetHerHim];;;;;;;;;;;;;x
EVTOPTC451;[From.GetSheHeCap]'s not my type;;;;;;;;;;;;;x
EVTOPTA452;What took [From.GetHerHim] so long?;;;;;;;;;;;;;x
EVTOPTB452;Dissuade [From.GetHerHim].;;;;;;;;;;;;;x
EVTOPTD452;Kick [From.GetHerHim] out and tell everyone what happened!;;;;;;;;;;;;;x
EVTDESC453;I went to [From.GetFirstName]'s chamber and gave [From.GetHerHim] a good tumble!;;;;;;;;;;;;;x
EVTDESC454;[From.GetFirstName] has spurned my subtle advances.;;;;;;;;;;;;;x
EVTOPTA454;How could [From.GetSheHe] resist my charms?;;;;;;;;;;;;;x
EVTDESC455;[From.GetFirstName] was furious and made a public spectacle of the incident!;;;;;;;;;;;;;x
EVTOPTA455;Oops. How embarrassing!;;;;;;;;;;;;;x
EVTDESC_emf_marriage_11;Even though you have been trying to conceive a child with your husband, it simply hasn't happened... and you are beginning to suspect you might be barren. Some of the maids have whispered that there are things which can be done to remedy this, although they are not entirely without risk.;;;;;;;;;;;;;x
EVTOPTA_emf_marriage_11;I don't care about the risk! I want a child!;;;;;;;;;;;;;x
EVTOPTB_emf_marriage_11;I accept whatever [Root.Religion.GetHighGodName] has in store for me;;;;;;;;;;;;;x
EVTOPTC_emf_marriage_11;[Root.Spouse.GetFirstName] will get no child from me;;;;;;;;;;;;;x
EVTDESC_emf_marriage_12;There is a flurry of activity around [From.GetTitledFirstNameNoRegnal]'s chambers one evening, and you are startled to learn that she has suffered some sort of injury. You can get little from [From.GetFirstName]'s tight-lipped maids, but suspect this might be a result of her increasing concern at having borne you no children.;;;;;;;;;;;;;x
EVTOPTA_emf_marriage_12;Well, she certainly won't if she's dead!;;;;;;;;;;;;;x
EVTDESC_emf_marriage_15;Your council has grown increasingly concerned at the fact that [barren_wife.GetTitledFirstNameNoRegnal] still has provided you no children, despite the two of you being healthy and able. At first you waved away their concerns...but perhaps they are right?;;;;;;;;;;;;;x
EVTOPTA_emf_marriage_15;I will ask my physician to investigate;;;;;;;;;;;;;x
EVTOPTB_emf_marriage_15;I will ask my [Root.GetLordSpiritualName] to investigate;;;;;;;;;;;;;x
EVTOPTC_emf_marriage_15;If that is [Root.Religion.GetHighGodName]'s will, then so shall it be;;;;;;;;;;;;;x
