#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#### EVENTS ####
EVTNOCOUNCILREQUESTS;Do not bring such petitions before me ever again!;;;;¡No vuelvas a presentarme tales peticiones!;;;;;;;;;x
emf_melt.0.desc_diff_local_culture_x1;For as long as we have ruled here in [Root.Capital.GetName], we have entrusted the raising of our children to local nursemaids. Our first words would not be [Root.Culture.GetName] but [emf_local_culture_1.GetName]. As we grew up, we learned to speak a tongue that was neither one nor the other but a syncretic mix of the two. Perhaps it is time to embrace this new tongue so we all may communicate.;;;;Durante el tiempo que hemos gobernado aquí en [Root.Capital.GetName], hemos confiado la crianza de nuestros hijos a las niñeras locales. Nuestras primeras palabras no serían [Root.Culture.GetName] sino [emf_local_culture_1.GetName]. A medida que crecimos, aprendimos a hablar una lengua que no era ni una ni la otra, sino una mezcla sincrética de las dos. Quizás es hora de abrazar esta nueva lengua para que todos podamos comunicarnos.;;;;;;;;;x
emf_melt.0.desc_diff_local_culture_x2;For as long as we have ruled here in [Root.Capital.GetName], we have entrusted the raising of our children to local nursemaids. Our first words would not be [Root.Culture.GetName] but [emf_local_culture_1.GetName] or [emf_local_culture_2.GetName]. As we grew up, we learned to speak a tongue that was neither one nor the other but a syncretic mix of the two. Perhaps it is time to embrace this new tongue so we all may communicate.;;;;Durante el tiempo que hemos gobernado aquí en [Root.Capital.GetName], hemos confiado la crianza de nuestros hijos a las niñeras locales. Nuestras primeras palabras no serían [Root.Culture.GetName] sino [emf_local_culture_1.GetName] o [emf_local_culture_2.GetName]. A medida que crecimos, aprendimos a hablar una lengua que no era ni una ni la otra, sino una mezcla sincrética de las dos. Quizás es hora de abrazar esta nueva lengua para que todos podamos comunicarnos.;;;;;;;;;x
emf_melt.0.desc_diff_local_culture_x3;For as long as we have ruled here in [Root.Capital.GetName], we have entrusted the raising of our children to local nursemaids. Our first words would not be [Root.Culture.GetName] but [emf_local_culture_1.GetName], [emf_local_culture_2.GetName], or [emf_local_culture_3.GetName]. As we grew up, we learned to speak a tongue that was neither one nor the other but a syncretic mix of the two. Perhaps it is time to embrace this new tongue so we all may communicate.;;;;Durante el tiempo que hemos gobernado aquí en [Root.Capital.GetName], hemos confiado la crianza de nuestros hijos a las niñeras locales. Nuestras primeras palabras no serían [Root.Culture.GetName] sino [emf_local_culture_1.GetName], [emf_local_culture_2.GetName] o [emf_local_culture_3.GetName]. A medida que crecimos, aprendimos a hablar una lengua que no era ni una ni la otra, sino una mezcla sincrética de las dos. Quizás es hora de abrazar esta nueva lengua para que todos podamos comunicarnos.;;;;;;;;;x
emf_melt.0.desc_same_local_culture;For as long as we have ruled here in [Root.Capital.GetName], we have slowly learned to speak a tongue that was neither our ancestors' nor the locals' but a syncretic mix of the two. Perhaps it is time to embrace this new tongue so we all may communicate.;;;;Durante el tiempo que hemos gobernado en [Root.Capital.GetName], aprendimos lentamente a hablar una lengua que no era la de nuestros ancestros ni de los lugareños, sino una mezcla sincrética entre las dos. Quizás es hora de abrazar esta nueva lengua para que todos podamos comunicarnos.;;;;;;;;;x
emf_melt.0.opt.embrace;We'll embrace the emerging Neapolitan culture.;;;;Adoptaremos la naciente cultura Napolitana.;;;;;;;;;x
emf_melt.0.opt.refuse;No, I wish for me and my vassals to remain [Root.Culture.GetName].;;;;No, prefiero que mis vasallos y yo permanezcamos [Root.Culture.GetName].;;;;;;;;;x
emf_melt.1.desc;It seems that this new [emf_new_culture.GetName] language has now spread into [Root.GetName], a new culture born from a mix of the old.;;;;Parece que esta nueva lengua [emf_new_culture.GetName] se ha extendido a [Root.GetName], una nueva cultura nacida de la mezcla con lo viejo.;;;;;;;;;x
emf_melt.4.desc;I have prevailed upon a member of my court, §Y[From.GetTitledFirstName]§! whom was previously §Y[emf_old_culture.GetName]§!, to adopt §Y[Root.Culture.GetName]§! for everyday use at court.;;;;He prevalecido sobre un miembro de mi corte, §Y[From.GetTitledFirstName]§! quien antes era §Y[emf_old_culture.GetName]§!, para adoptar la cultura §Y[Root.Culture.GetName]§! en el día a día de la corte.;;;;;;;;;x
emf_melt.10.opt.embrace;We'll embrace the emerging Sicilian culture.;;;;Adoptaremos la naciente cultura Siciliana.;;;;;;;;;x
emf_melt.20.opt.embrace;We'll embrace the emerging English culture.;;;;Adoptaremos la naciente cultura Inglesa.;;;;;;;;;x
emf_melt.30.opt.embrace;We'll embrace the emerging Sicilian Arabic culture.;;;;Adoptaremos la naciente cultura Siculo-Arábiga.;;;;;;;;;x
#### REGIONS ####
custom_neapolitan;Neapolitan Melting Pot Region;;;;Región del Crisol Napolitano;;;;;;;;;x
custom_sicilian;Sicilian Melting Pot Region;;;;Región del Crisol Siciliano;;;;;;;;;x
