#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#### BUILDINGS;;;;;;;;;;;;;;x
no_lucky_desc;AI bonus for nomad Lucky Rulers.;;;;;;;;;;;;;x
no_lucky_1;Lucky Warhorse Stables;;;;;;;;;;;;;x
#### TOOLTIPS;;;;;;;;;;;;;;x
emf_nomad_ctt_pillage_destroy_settlement;This will destroy the entire settlement!\n;;;;;;;;;;;;;x
emf_nomad_ctt_pillage_destroy_buildings;This will destroy some buildings!\n;;;;;;;;;;;;;x
emf_nomad_ctt_plunder_from_nontribal;Plunder §Y50§!¤ and §Y5§! technology points.\n;;;;;;;;;;;;;x
emf_nomad_ctt_plunder_from_nontribal_not_owner;Plunder §Y10§!¤ and §Y5§! technology points.\n;;;;;;;;;;;;;x
emf_nomad_ctt_plunder_from_tribal;Plunder §Y25§!¤ and §Y2§! technology points.\n;;;;;;;;;;;;;x
emf_nomad_ctt_plunder_from_tribal_not_owner;Plunder §Y5§!¤ and §Y2§! technology points.\n;;;;;;;;;;;;;x
CONTAINS_TRIBAL_HOLDING;contains at least one tribal holding\n;;;;;;;;;;;;;;x
MAY_BUILD_TRIBAL_HOLDING;a tribal holding may be constructed in the province\n;;;;;;;;;;;;;;x
IS_CAPITAL_BAGHATUR_COUNCIL_2;is the capital and has a Baghatur Council (2)\n;;;;;;;;;;;;;;x
#### EVENTS;;;;;;;;;;;;;;x
EVTDESC_emf_nomad_100;[FromFrom.GetBestName] has declared that [FromFrom.GetSheHe] intends to lead the [FromFrom.Culture.GetName] people to settle, to transform from roaming nomads to tribesmen who live in forts. The question that stands before you now is whether your own clan will join [FromFrom.GetHerHim].;;;;;;;;;;;;;;x
EVTOPTA_emf_nomad_100;We will settle, as [FromFrom.GetSheHe] has;;;;;;;;;;;;;;x
EVTOPTB_emf_nomad_100;No, we will remain independent;;;;;;;;;;;;;;x
