#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#
#### CLOC (CUSTOMIZABLE LOCALISATION) ####
#
String_abba;abba;;;;;;;;;;;;;x
String_amma;amma;;;;;;;;;;;;;x
String_West_African;African;;;;;;;;;;;;;x
#
#### RELIGIONS #####
#
adoptionist;Adoptionist;;;;;;;;;;;;;x
adoptionist_DESC;Adoptionists reject the Holy Trinity, believing that Jesus Christ was adopted as God's son at his ascension, chosen because of his sinless devotion to the will of God. They do not revere the Holy Mary, and were declared a Christian heresy at the end of the 2nd Century.;;;;;;;;;;;;;x
apostolic;Apostolic;;;;;;;;;;;;;x
apostolic_DESC;Sometimes referred to as 'Gregorian', this was one of the early Christian faiths founded in Armenia by the Apostles Bartholomew and Thaddeus. It split from orthodox Christianity in the 6th century as a matter of Christology -- they are miaphysite, believing Christ to be of one incarnate nature, where both divine and human nature are united.\n§Y*§! Learned Apostolics may subscribe to the Alexandrite school of theology;;;;;;;;;;;;;x
arian;Arian;;;;;;;;;;;;;x
arian_DESC;Arianism is a nontrinitarian belief that asserts that Jesus Christ is a Son of God, created by God the Father, distinct from the Father and therefore subordinate to the Father. It denies that Jesus is God the Son. The Ecumenical First Council of Nicaea of 325 AD deemed it to be a heresy.;;;;;;;;;;;;;x
haruri;Haruri;;;;;;;;;;;;;x
haruri_DESC;The Haruri are a sect from the period of the Four Rightly-Guided Caliphs, named for their first leader, Habib ibn-Yazid al-Haruri. The Haruri were originally one branch of the Khariji 'Rejectors' movement, so called because they rejected Ali's right to the Caliphate.;;;;;;;;;;;;;x
ismaili;Isma'ili;;;;;;;;;;;;;x
ismaili_DESC;The Isma'ilis believe that, when the 6th Imam, Ja'far al-Sadiq died, his true successor was not Musa al-Kazim as the others believe, but in fact was the already dead Isma'il and his son Muhammad. The line of Isma'il has been in hiding for years, but now has emerged to reclaim the Caliphate.;;;;;;;;;;;;;x
mahdiyya;Mahdite;;;;;;;;;;;;;x
mahdiyya_DESC;The Mahdites believe that the messiah, or Mahdi, has already risen, and given his commandments that clarify the Qur'an such that no other interpretation is valid. They are led by their own Caliphate of successors to the Mahdi.;;;;;;;;;;;;;x
mandaean;Mandaean;;;;;;;;;;;;;x
mandaean_DESC;Mandaeism is a gnostic religion with a strongly dualistic worldview. Its adherents revere Adam, Abel, Seth, Enosh, Noah, Shem, Aram and especially John the Baptist, but reject Abraham, Moses and Jesus of Nazareth. It is represented in-game as an early form of Manichaeism, and a potential heresy should it resurface.;;;;;;;;;;;;;x
manichean_DESC;Manichaeism is a Gnostic religion founded by the prophet Mani, who was put to death by the Sassanid Shahanshah Bahram I in 277. His 'Religion of Light' incorporated elements of Christianity, Zoroastrianism, Buddhism and Gnosticism. At one point, Manichaeism spread far and wide, and was the biggest competitor with Christianity for replacing classical Paganism until it began to fade in the 6th century.;;;;;;;;;;;;;x
manichean_FEATURES;§Y*§! The Manichaean Archegos exists in the Old Gods and Charlemagne bookmarks, and may be restored later\n§Y*§! Manichaeans have their own holy festival, the Bema Feast\n§Y*§! Manichaeans may elect to dedicate themselves to a Shekhinah upon adulthood;;;;;;;;;;;;x
maronite;Maronite;;;;;;;;;;;;;x
maronite_DESC;Beginning as a movement founded by the monk Maron in the fourth century, the Maronites are a Christian Church in full communion with the Holy See yet under the leadership of the Maronite Primate.\n§Y*§! Learned Maronites may subscribe to either the Antiochian or Alexandrite schools of theology;;;;;;;;;;;;;x
messalian_DESC;The Messalians, or Euchites ('Those who Pray'), are a heretical Christian sect that originated in Mesopotamia, influenced by dualistic faiths like Zoroastrianism. Messalians believe that God can be perceived by the carnal senses, and that this perception is necessary to reach perfection. Each person is born with an inner demon, and only intense prayer can drive it out. They also believe that Lucifer is the elder son of God and a force for good, and that incest is sacred since it was practised by the children of Adam and Eve. They have no formal rites and no strict church hierarchy.;;;;;;;;;;;;;x
messalian_FEATURES;§Y*§! Messalians must pray to expel their personal demons\n§Y*§! Once the demons are driven out, they can achieve the status of Perfection\n§Y*§! Learned Messalians may subscribe to the Antiochian school of theology\n§Y*§! Messalians may choose a patron saint to worship\n§Y*§! Messalians can create their own Holy Order, the Army of Lucifer\n§Y*§! The Patriarch of Antioch will automatically become the new religion head;;;;;;;;;;;;;x
miaphysite;Coptic;;;;;;;;;;;;;x
miaphysite_DESC;Copts are miaphysite, stressing that Christ had but a single nature, but of both human and divine character. This stance split them off from the main branch of Christianity after the Council of Chalcedon in 451. Though not viewed as outright heretics by Orthodox and Catholic Christians, it is a fine distinction. The nominal head of the Coptic Church is the Pope of Alexandria.;;;;;;;;;;;;;x
miaphysite_FEATURES;§Y*§! Copts may opt to become Desert Fathers and Desert Mothers instead of monks and nuns\n§Y*§! Learned Copts may subscribe to the Alexandrite school of theology;;;;;;;;;;;;;x
syriac;West Syriac;;;;;;;;;;;;;x
syriac_DESC;Syriac Orthodox Christians, also known as Jacobites after their founder Jacob Baradeus are Miaphysite Christians, stressing that Christ had but a single nature, but of both human and divine character. This stance split them off from the main branch of Christianity after the Council of Chalcedon in 451. Though not viewed as outright heretics by Orthodox and Catholic Christians, it is a fine distinction. The nominal head of the Syriac Orthodox Church is the Syriac Orthodox Patriarch of Antioch.;;;;;;;;;;;;;x
monophysite_DESC;Monophysitism is an early Christian heresy which states that Christ had but a single nature. This is the opposite of the Nestorian position where Christ has two separate natures - one divine and one human. The nominal head of the Monophysite Church is the Monophysite Pope of Alexandria.;;;;;;;;;;;;;x
monophysite_FEATURES;§Y*§! Monophysites may opt to become Desert Fathers and Desert Mothers instead of monks and nuns\n§Y*§! Learned Monophysites may subscribe to the Alexandrite school of theology;;;;;;;;;;;;;x
nabawiyya;Nabawite;;;;;;;;;;;;;x
nabawiyya_DESC;The Nabawites believe that the Qur'an was only the holy book for the Arabs, and that they have their own holy book and prophet, just as legitimate, sent by God for their people, modelled on Islam. They are led by a Malik, similar to the Muslim Caliph.;;;;;;;;;;;;;x
nestorian_DESC;The Church of the East or East Syriac Christianity is a Christian branch which states that Christ has two separate natures - one divine and one human. This theological position was originally put forward from the Theological school of Edessa and had a powerful champion in the Patriarch of Constantinople, Nestorius, but was condemned as heresy in 431. The Church of the East never accepted this condemnation though and Westerners have since then for varying reasons applied the term Nestorian to the Church of the East. The nominal head of the Church of the East is the Patriarch of the East.;;;;;;;;;;;;;x
nestorian_FEATURES;§Y*§! Learned East Syriac Christians may subscribe to the Antiochian school of theology;;;;;;;;;;;;;x
obj_become_saint_desc;A true saint can only be created after one's death, but it is possible to embark upon that path while one is still alive. It is not an easy journey, requiring humility and a dedication to religious ideals, but success means that one will enjoy piety and recognition -- and perhaps a greater chance of beatification after one's passing. Failure, however, can mean a loss of piety and worse, and failure will be far more likely the more sinful traits one possesses.;;;;;;;;;;;;;x
obj_become_saint_title;Become a Saint;;;;;;;;;;;;;x
paulician_DESC;Paulicianism is Christian Gnostic heresy influenced by Manichaeism, originating in Armenia, and known for its militarist attitude and emphasis on only accepting the New Testament as legitimate.;;;;;;;;;;;;;x
paulician_FEATURES;§Y*§! May declare Holy War or Crusade on anyone of a different religion, even other Christians\n§Y*§! May gain the Icon-Breaker trait after sieging a Christian temple\n§Y*§! May expend Piety to raise units of zealots during a war\n§Y*§! Learned Paulicians may subscribe to the Alexandrite school of theology;;;;;;;;;;;;;x
qarmatian;Qarmati;;;;;;;;;;;;;x
qarmatian_DESC;The Qarmatians are a extreme splinter sect of Isma'ili Islam, and believe that there are seven ages of man, each with a new religion and prophet, and the final age is approaching. They believe that the rest of the Isma'ilis have lost the faith, and that Muhammad son of Isma'il is still in hiding, waiting to return as the Mahdi.;;;;;;;;;;;;;x
tondrakian;Tondrakian;;;;;;;;;;;;;x
tondrakian_DESC;Tondrakians are an anti-feudal, anti-church sect that originally flourished in Armenia between the 9th and 11th Century. They denied the immortality of the soul, the afterlife, and the rights of the church to rule over its fellow man. They supported property rights for peasants and equality between men and women.\n§Y*§! Learned Tondrakians may subscribe to the Alexandrite school of theology;;;;;;;;;;;;;x
waqifi;Waqifite;;;;;;;;;;;;;x
waqifi_DESC;The Waqifi believe that the Imamate has ended before the main branch of Shi'ism has accepted it. To the Waqifi, the final Imam is the Mahdi who will return at the end of days, and they wait faithfully for him.;;;;;;;;;;;;;x
yazidi_DESC;Yazidis believe that God created the world and left seven angels in charge, the chief of whom is the Peacock Angel, Malek Taus or Shaytan, a being usually identified by Christians and Muslims as Satan.;Les yézidis croient que Dieu a crée le monde et y a laissé sept anges pour l'administrer. Leur chef est l'ange-paon, Malek Taous ou Chaïtan : un être habituellement identifié par les chrétiens et les musulmans comme étant Satan.;Seine Anhänger glauben, dass Gott die Welt aus einer Perle erschuf und dann sieben heilige Engel damit beauftragte, die Welt zu versorgen.;;Los Yazidíes creen que Dios creó el mundo y dejó a siete ángeles al mando, liderados por el Ángel del Pavo Real, Malek Taus o Shaytan, un ser muchas veces identificado por los cristianos y musulmanes como Satán.;;;;;;;;;x
zaydi;Zaydi;;;;;;;;;;;;;x
zaydi_DESC;The Zaydis are a Shi'a group that believe that the 'Alid Imams are not infallible, but are divinely inspired and have a responsibility to lead rebellion against corrupt authority.;;;;;;;;;;;;;x
zurvanist;Zurvanist;;;;;;;;;;;;;x
zurvanist_DESC;Zurvanism is a branch of Zoroastrianism that believes in the existence of Zurvan, a genderless god of of infinite time (and space), for whom there is no distinction between good and evil. Zurvan is the parent of the two opposites representing the good god, Ahura Mazda, and the evil Angra Mainyu, unlike normal Zoroastrianism, where Ahura Mazda is the Supreme Being. Zurvanism is further divided by its three schools of thought: Aesthetic, Fatalistic and Materialistic.;;;;;;;;;;;;;x
#
#### REFORMATION #####
#
tooltip_religion_feature_allow_looting;§GLooting is allowed§!;§GPiller est permis§!;§GPlünderungen sind erlaubt§!;;§GSe permiten saqueos§!;;;;;;;;;x
religion_commercial;Mercantile;Mercantile;Merkantil;;Mercantil;;;;;;;;;x
religion_commercial_desc;Commerce and trade are the lifeblood of our religion and we must focus on these areas in order to ensure our prosperity.;Le commerce est la pierre angulaire de notre religion et nous devons nous concentrer sur ce domaine afin d'assurer notre prospérité.;Handel und Gewerbe sind die Lebenselixieren unserer Religion, und wir müssen uns auf diese Bereiche konzentrieren, um unseren Wohlstand zu sichern.;;El comercio es el alma de nuestra religión y debemos centrarnos en esta área para garantizar nuestra prosperidad.;;;;;;;;;x
tooltip_religion_feature_stewardship_boost;§GFollowers of this religion gain +2 base Stewardship§!;§GLes fidèles obtiennent +2 en intendance de base§!;§GAnhänger dieser Religion erhalten +2 auf ihre Verwaltung§!;;§GLos seguidores de esta religión ganan +2 administración básica§!;;;;;;;;;x
tooltip_religion_feature_trade_post_prosperity;§GProvinces of this religion always prosper as if they had a trade post§!;§GLes provinces de cette religion prospèrent toujours comme si elles avaient un comptoir§!;§GProvinzen dieser Religion gedeihen immer so, als ob sie einen Handelsposten hätten§!;;§GLas provincias de esta religión siempre prosperan como si tuvieran un puesto de comercio§!;;;;;;;;;x
religion_syncretic_christian;Christian Syncretism;Syncrétisme chrétien;Christliche Synkretismus;;Sincretismo Cristiano;;;;;;;;;x
religion_syncretic_christian_desc;By incorporating elements of the Christian faith into our own, we can borrow its strengths while ensuring good relations with our Christian neighbors and subjects.;En incorporant des éléments de la foi chrétienne dans la nôtre, nous pouvons emprunter ses forces tout en assurant de bonnes relations avec nos voisins et sujets chrétiens.;Indem wir Elemente des Christlichen Glaubens in unseren eigenen integrieren, können wir seine Stärken ausleihen und gleichzeitig gute Beziehungen zu unseren Christlichen Nachbarn und Untertanen sicherstellen.;;Al incorporar elementos de la fe Cristiano en el nuestro, podemos tomar prestadas sus fortalezas y garantizar buenas relaciones con nuestros vecinos y súbditos Cristianos.;;;;;;;;;x
tooltip_religion_feature_christian_tolerance;§GCharacters are tolerant towards and can intermarry with religions in the [christian.GetGroupName] group§!;§GPersonnages sont tolérants envers et peuvent se marier avec des religions du groupe [christian.GetGroupName]§!;§GZeichen sind gegenüber Religionen in der [christian.GetGroupName]en Gruppe tolerant und können mit ihnen heiraten§!;;§GLos personajes son tolerantes y pueden casarse con las religiones en el grupo [christian.GetGroupName]§!;;;;;;;;;x
tooltip_religion_feature_faster_christian_conversion;§YConversion to and from religions in the [christian.GetGroupName] group is faster§!;§YConversion vers et à partir de religions dans le groupe [christian.GetGroupName] est plus rapide§!;§YKonversion zu und von Religionen in der [christian.GetGroupName]en Gruppe ist schneller§!;;§YConversión hacia y desde las religiones en el grupo [christian.GetGroupName] es más rápida§!;;;;;;;;;x
tooltip_religion_feature_no_holy_war_against_christian;§RReligious wars against the [christian.GetGroupName] group are disabled§!;§RLes guerres de religion contre le groupe [christian.GetGroupName] sont désactivées§!;§RReligionskriege gegen die [christian.GetGroupName]e Gruppe sind behindert§!;;§RLas guerras religiosas contra el grupo [christian.GetGroupName] están deshabilitadas§!;;;;;;;;;x
religion_syncretic_muslim;Muslim Syncretism;Syncrétisme musulman;Muslimische Synkretismus;;Sincretismo [muslim.GetGroupName];;;;;;;;;x
religion_syncretic_muslim_desc;By incorporating elements of the Muslim faith into our own, we can borrow its strengths while ensuring good relations with our Muslim neighbors and subjects.;En incorporant des éléments de la foi musulmane dans la nôtre, nous pouvons emprunter ses forces tout en assurant de bonnes relations avec nos voisins et sujets musulmans.;Indem wir Elemente des Muslimischen Glaubens in unseren eigenen integrieren, können wir seine Stärken ausleihen und gleichzeitig gute Beziehungen zu unseren Muslimischen Nachbarn und Untertanen sicherstellen.;;Al incorporar elementos de la fe Musulmán en el nuestro, podemos tomar prestadas sus fortalezas y garantizar buenas relaciones con nuestros vecinos y súbditos Musulmánes.;;;;;;;;;x
tooltip_religion_feature_muslim_tolerance;§GCharacters are tolerant towards and can intermarry with religions in the [muslim.GetGroupName] group§!;§GPersonnages sont tolérants envers et peuvent se marier avec des religions du groupe [muslim.GetGroupName]§!;§GZeichen sind gegenüber Religionen in der [muslim.GetGroupName]en Gruppe tolerant und können mit ihnen heiraten§!;;§GLos personajes son tolerantes y pueden casarse con las religiones en el grupo [muslim.GetGroupName]§!;;;;;;;;;x
tooltip_religion_feature_faster_muslim_conversion;§YConversion to and from religions in the [muslim.GetGroupName] group is faster§!;§YConversion vers et à partir de religions dans le groupe [muslim.GetGroupName] est plus rapide§!;§YKonversion zu und von Religionen in der [muslim.GetGroupName]en Gruppe ist schneller§!;;§YConversión hacia y desde las religiones en el grupo [muslim.GetGroupName] es más rápida§!;;;;;;;;;x
tooltip_religion_feature_no_holy_war_against_muslim;§RReligious wars against the [muslim.GetGroupName] group are disabled§!;§RLes guerres de religion contre le groupe [muslim.GetGroupName] sont désactivées§!;§RReligionskriege gegen die [muslim.GetGroupName]e Gruppe sind behindert§!;;§RLas guerras religiosas contra el grupo [muslim.GetGroupName] están deshabilitadas§!;;;;;;;;;x
religion_syncretic_zoroastrian;Mazdan Syncretism;Syncrétisme mazdéen;Mazdanische Synkretismus;;Sincretismo [zoroastrian_group.GetGroupName];;;;;;;;;x
religion_syncretic_zoroastrian_desc;By incorporating elements of the Mazdan faith into our own, we can borrow its strengths while ensuring good relations with our Mazdan neighbors and subjects.;En incorporant des éléments de la foi mazdéenne dans la nôtre, nous pouvons emprunter ses forces tout en assurant de bonnes relations avec nos voisins et sujets mazdéens.;Indem wir Elemente des Mazdanischen Glaubens in unseren eigenen integrieren, können wir seine Stärken ausleihen und gleichzeitig gute Beziehungen zu unseren Mazdanischen Nachbarn und Untertanen sicherstellen.;;Al incorporar elementos de la fe Mazdan en el nuestro, podemos tomar prestadas sus fortalezas y garantizar buenas relaciones con nuestros vecinos y súbditos Mazdans.;;;;;;;;;x
tooltip_religion_feature_zoroastrian_tolerance;§GCharacters are tolerant towards and can intermarry with religions in the [zoroastrian_group.GetGroupName] group§!;§GPersonnages sont tolérants envers et peuvent se marier avec des religions du groupe [zoroastrian_group.GetGroupName]§!;§GZeichen sind gegenüber Religionen in der [zoroastrian_group.GetGroupName]en Gruppe tolerant und können mit ihnen heiraten§!;;§GLos personajes son tolerantes y pueden casarse con las religiones en el grupo [zoroastrian_group.GetGroupName]§!;;;;;;;;;x
tooltip_religion_feature_faster_zoroastrian_conversion;§YConversion to and from religions in the [zoroastrian_group.GetGroupName] group is faster§!;§YConversion vers et à partir de religions dans le groupe [zoroastrian_group.GetGroupName] est plus rapide§!;§YKonversion zu und von Religionen in der [zoroastrian_group.GetGroupName]en Gruppe ist schneller§!;;§YConversión hacia y desde las religiones en el grupo [zoroastrian_group.GetGroupName] es más rápida§!;;;;;;;;;x
tooltip_religion_feature_no_holy_war_against_zoroastrian;§RReligious wars against the [zoroastrian_group.GetGroupName] group are disabled§!;§RLes guerres de religion contre le groupe [zoroastrian_group.GetGroupName] sont désactivées§!;§RReligionskriege gegen die [zoroastrian_group.GetGroupName]e Gruppe sind behindert§!;;§RLas guerras religiosas contra el grupo [zoroastrian_group.GetGroupName] están deshabilitadas§!;;;;;;;;;x
religion_syncretic_indian;Eastern Syncretism;Syncrétisme oriental;Östliche Synkretismus;;Sincretismo Oriental;;;;;;;;;x
