#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#######################################
####  MODIFIERS
#######################################
emf_relsub_light_unrest_base_modifier;Religious Unrest From Recent Holy War (Base);;;;;;;;;;;;;x
emf_relsub_light_unrest_base_modifier_desc;The religious majority in §Y[From.GetName]§! are agitated due to recently being conquered in holy war. Such religious integration is always a struggle, so the local religious majority may prove a bit... uncooperative for some time, at the very least. However, since a gentle approach to their integration was chosen by the holy warrior, negative effects are fewer.;;;;;;;;;;;;;x
emf_relsub_normal_unrest_base_modifier;Religious Unrest From Recent Holy War (Base);;;;;;;;;;;;;x
emf_relsub_normal_unrest_base_modifier_desc;The religious majority in §Y[From.GetName]§! are agitated due to recently being conquered in holy war. Such religious integration is always a struggle, so the local religious majority may prove a bit... uncooperative for some time, at the very least.;;;;;;;;;;;;;x
emf_relsub_heavy_unrest_base_modifier;Religious Unrest From Recent Holy War (Base);;;;;;;;;;;;;x
emf_relsub_heavy_unrest_base_modifier_desc;The religious majority in §Y[From.GetName]§! are agitated due to recently being conquered in holy war. Such religious integration is always a struggle, so the local religious majority may prove a bit... uncooperative for some time, at the very least. Further, since a a rather harsh integration policy was chosen by the holy warrior, negative effects are greater.;;;;;;;;;;;;;x
emf_relsub_light_unrest_modifier;Religious Unrest From Recent Holy War;;;;;;;;;;;;;x
emf_relsub_light_unrest_modifier_desc;The religious majority in §Y[From.GetName]§! are agitated due to recently being conquered in holy war. Such religious integration is always a struggle, so the local religious majority may prove a bit... uncooperative for some time, at the very least. However, since a gentle approach to their integration was chosen by the holy warrior, negative effects are fewer.;;;;;;;;;;;;;x
emf_relsub_normal_unrest_modifier;Religious Unrest From Recent Holy War;;;;;;;;;;;;;x
emf_relsub_normal_unrest_modifier_desc;The religious majority in §Y[From.GetName]§! are agitated due to recently being conquered in holy war. Such religious integration is always a struggle, so the local religious majority may prove a bit... uncooperative for some time, at the very least.;;;;;;;;;;;;;x
emf_relsub_heavy_unrest_modifier;Religious Unrest From Recent Holy War;;;;;;;;;;;;;x
emf_relsub_heavy_unrest_modifier_desc;The religious majority in §Y[From.GetName]§! are agitated due to recently being conquered in holy war. Such religious integration is always a struggle, so the local religious majority may prove a bit... uncooperative for some time, at the very least. Further, since a a rather harsh integration policy was chosen by the holy warrior, negative effects are greater.;;;;;;;;;;;;;x
emf_relsub_liberation_modifier;Religious Majority Recently Liberated;;;;;;;;;;;;;x
emf_relsub_liberation_modifier_desc;The local religious majority have recently been liberated from infidel overlords. Consequently, the province is experiencing a period of relative prosperity and order.;;;;;;;;;;;;;x
#######################################
####  EVENTS                          #
#######################################
# PLACEHOLDER: current text describes it, more or less. this one only goes to the war loser. it is fired directly from the CB success effect -- there's no intervening event for the war winner.
