#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#### DECISIONS;;;;;;;;;;;;;;x
emf_siege_return_home;Return Home;;;;;;;;;;;;;x
emf_siege_return_home_named;Return [Root.GetTitledFirstNameNoRegnal] home;;;;;;;;;;;;;x
emf_siege_return_home_desc;With [Root.Capital.Capital.GetName] no longer in enemy hands, it may be safe enough for me to come out of hiding and resume my life as it was before.;;;;;;;;;;;;;x
emf_siege_bring_family_home;Bring Family Home;;;;;;;;;;;;;x
emf_siege_bring_family_named;Bring [Root.GetTitledFirstNameNoRegnal]'s family home;;;;;;;;;;;;;x
emf_siege_bring_family_home_desc;Because I am safely at court in [Root.Capital.Capital.GetName], I can fetch my family out of hiding and bring us together once again.;;;;;;;;;;;;;x
#### EVENTS;;;;;;;;;;;;;;x
# Defender choice event
emf_siege.1.desc_fam;I have received word an enemy host is approaching [Root.Capital.Capital.GetName] and will momentarily have me and my family trapped within the walls. I must decide what to do before it's too late.;;;;;;;;;;;;;x
emf_siege.1.desc_nofam;An enemy army has arrived at [Root.Capital.Capital.GetName] and will soon have me cornered inside. With no family here, I'm free to do as I please, but I must decide before the siege has begun in earnest.;;;;;;;;;;;;;x
emf_siege.1.desc_incapable_regent;An enemy army approaches! There is suddenly a great deal of noise and activity around you, though the reason for it is beyond your understanding. Fortunately [emf_siege_regent.GetTitledFirstNameNoRegnal], your regent, is there to decide what must be done.;;;;;;;;;;;;;x
emf_siege.1.desc_child_regent;Everyone is saying an army is coming to get us. An enemy army! I want to go out and see all the horses and banners and armor, but all the adults seem very worried. I'm not worried. [emf_siege_regent.GetFirstName] will take care of me.;;;;;;;;;;;;;x
emf_siege.1.desc_incapable_noregent_fam;An enemy army approaches! There is suddenly a great deal of noise and activity around you, though the reason for it is beyond your understanding. Fortunately you have family here to help you escape.;;;;;;;;;;;;;x
emf_siege.1.desc_child_noregent_fam;Everyone is saying an army is coming to get us. An enemy army! I want to go out and see all the horses and banners and armor, but all the adults seem very worried. I'm not worried. My family will take care of me.;;;;;;;;;;;;;x
emf_siege.1.desc_incapable_noregent_nofam;An enemy army approaches! There is suddenly a great deal of noise and activity around you, though the reason for it is beyond your understanding. Unfortunately [emf_siege_regent.GetTitledFirstNameNoRegnal], your regent, is nowhere to be found, and you have no family here to help you.;;;;;;;;;;;;;x
emf_siege.1.desc_child_noregent_nofam;Everyone is saying an army is coming to get us. An enemy army! I want to go out and see all the horses and banners and armor, but all the adults seem very worried. I'm not worried, even if I am here alone.;;;;;;;;;;;;;x
emf_siege.1.a;With no family here, I should run.;;;;;;;;;;;;;x
emf_siege.1.b;Running would be cowardly. I shall fight!;;;;;;;;;;;;;x
emf_siege.1.c;My family be damned, I will save myself!;;;;;;;;;;;;;x
emf_siege.1.d;We should all try to escape together.;;;;;;;;;;;;;x
emf_siege.1.e;I must stay and fight, but my family will run.;;;;;;;;;;;;;x
emf_siege.1.f;We will all stay here together.;;;;;;;;;;;;;x
emf_siege.1.g_incapable;*faintly murmur*;;;;;;;;;;;;;x
emf_siege.1.g_child;Maybe I'll still get to see a horse.;;;;;;;;;;;;;x
emf_siege.1.h_incapable_fam;*babble excitedly*;;;;;;;;;;;;;x
