#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#### TOOLTIPS ####
tooltip_elder_vote_strength_elders_ruler_too_young;Elder Hegemony over Young Ruler;;;;;;;;;;;;;x
tooltip_feudal_elector_vote_adopted;[From.GetSheHeCap] is §YAdopted§!;C'est un[From.Get_E] adopté[From.Get_E];[From.GetSheHeCap] ist §YAdoptiert§!;;Es §YAdoptad[From.GetOA]§!;;;;;;;;;x
tooltip_feudal_elector_vote_bright;[From.GetSheHeCap] is §YBright§!;;;;;;;;;;;;;x
tooltip_feudal_elector_vote_bright_diplomat;[From.GetSheHeCap] is §YBright§!;;;;;;;;;;;;;x
tooltip_feudal_elector_vote_burly;[From.GetSheHeCap] is §YBurly§!;;;;;;;;;;;;;x
tooltip_feudal_elector_vote_burly_warrior;[From.GetSheHeCap] is §YBurly§!;;;;;;;;;;;;;x
tooltip_feudal_elector_vote_deaf;[From.GetSheHeCap] is §YDeaf§!;;;;;;;;;;;;;x
tooltip_feudal_elector_vote_deaf_diplomat;[From.GetSheHeCap] is §YDeaf§!;;;;;;;;;;;;;x
tooltip_feudal_elector_vote_delicate;[From.GetSheHeCap] is §YDelicate§!;;;;;;;;;;;;;x
tooltip_feudal_elector_vote_delicate_warrior;[From.GetSheHeCap] is §YDelicate§!;;;;;;;;;;;;;x
tooltip_feudal_elector_vote_dim;[From.GetSheHeCap] is §YDim§!;;;;;;;;;;;;;x
tooltip_feudal_elector_vote_dim_diplomat;[From.GetSheHeCap] is §YDim§!;;;;;;;;;;;;;x
tooltip_feudal_elector_vote_shrewd;[From.GetSheHeCap] is §YShrewd§!;;;;;;;;;;;;;x
tooltip_feudal_elector_vote_shrewd_diplomat;[From.GetSheHeCap] is §YShrewd§!;;;;;;;;;;;;;x
tooltip_feudal_elector_vote_cadet_dynasty;Cadet branch of my dynasty;;;;;;;;;;;;;x
tooltip_feudal_elector_vote_parent_dynasty;Parent dynasty;;;;;;;;;;;;;x
tooltip_hre_elector_vote_elector_candidate;[From.GetSheHeCap] is a competing [From.GetPrincessPrince]-Elector;;;;;;;;;;;;;x
tooltip_hre_elector_vote_elector_ruler_heir_candidate;[From.GetSheHeCap] will become a competing [From.GetPrincessPrince]-Elector after [FromFrom.Holder.GetTitledFirstName] dies;;;;;;;;;;;;;x
tooltip_hre_vote_strength_prince_electors_non_elector_ruler;[Root.GetPrincessPrince]-Elector Hegemony over Non-Elector Ruler;;;;;;;;;;;;;x
tooltip_imperial_vote_strength_emperor_strong_basileus;[Root.GetSheHeCap] is a §YStrong [Root.GetTitle]§!;;;;;;;;;;;;;x
