#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
wonder_con_wall;Theodosian Walls;Mur théodosien;Theodosianische Mauern;;Murallas Teodosianas;;;;;;;;;x
wonder_con_wall_desc;The Theodosian Walls were built during the reign of Emperor Theodosius II in the early 5th century, but they still remain some of the most formidable fortifications ever built by human hands.;Le Mur Théodosien a été érigé au cours du règne de l'empereur Théodosius II au début du Ve siècle. Même aujourd'hui, c'est toujours parmi la plus formidable fortification jamais construite par l'homme.;Die Theodosische Mauer wurde während der Herrschaft des Kaisers Theodosius II im frühen fünften Jahrhundert gebaut, aber sie ist noch immer eine der bemerkenswertesten Befestigungen, welche jemals durch Menschen errichtet wurden.;;Las Murallas Teodosianas fueron construidas durante el reinado del emperador Teodosio II, a inicios del siglo V, pero aún son una de las fortificaciones más formidables construidas por el hombre.;;;;;;;;;x
wonder_con_wall_construction_desc;The construction of massive city walls and other defensive structures will surely protect the province against besieging enemy armies.;La construction d'énormes murs d'enceinte et d'autres structures défensives protégera la province contre les sièges.;Der Bau massiver Stadtmauern und anderer Verteidigungsanlagen wird die Provinz sicherer vor Belagerungen feindlicher Armeen machen.;;La construcción de unas murallas masivas y otras estructuras defensivas protegerán sin duda la provincia contra ejércitos enemigos sitiadores.;;;;;;;;;x
wonder_danevirke_wall;Danevirke;Danevirke;Danevirke;;Danevirke;;;;;;;;;x
wonder_danevirke_wall_desc;With the growing power of the Franks, the Danish kings felt the need to create a bulwark against the Imperial ambitions of their southern neighbors. The answer to this need of safety became the massive soil and palisade fortifications of Danevirke. Initial construction began in the mid-7th century but with the ever growing conflict of interest between Franks (later Germans and Wends) and Danes, each seeking to assert their authority over their common neighbors, the following centuries would see a substantial expansions of the fortifications.;Avec le pouvoir croissant des Francs, les rois danois ont senti le besoin de créer un rempart contre les ambitions impériales de leurs voisins du sud. La réponse à ce besoin de sécurité est devenue l’énorme fortification du sol et des palissades de Danevirke. La construction initiale a commencé au milieu du 7ème siècle, mais avec le conflit d'intérêts croissant entre les Francs (plus tard Allemands et Wends) et les Danois, chacun cherchant à affirmer son autorité sur ses voisins communs, les siècles suivants verront une expansion substantielle des fortifications.;Mit der wachsenden Macht der Franken hatten die dänischen Könige das Bedürfnis, ein Bollwerk gegen die imperialen Ambitionen ihrer südlichen Nachbarn zu schaffen. Die Antwort auf dieses Sicherheitsbedürfnis waren die massiven Boden- und Palisadenbefestigungen von Danevirke. Die ersten Bauarbeiten begannen Mitte des 7. Jahrhunderts, aber mit dem ständig wachsenden Interessenkonflikt zwischen Franken (später Deutschen und Wenden) und Dänen, die jeweils ihre Autorität über ihre gemeinsamen Nachbarn geltend machen wollten, würden die folgenden Jahrhunderte eine erhebliche Ausdehnung der Festungsanlagen sehen.;;Con el creciente poder de los francos, los reyes daneses sintieron la necesidad de crear un baluarte contra las ambiciones imperiales de sus vecinos del sur. La respuesta a esta necesidad de seguridad se convirtió en las fortificaciones masivas de Danevirke. La construcción inicial comenzó a mediados del siglo VII, pero con el creciente conflicto de intereses entre los francos (más tarde alemanes y Wends) y los daneses, cada uno de los cuales buscaba hacer valer su autoridad sobre sus vecinos comunes, los siguientes siglos verían una expansión sustancial de las fortificaciones.;;;;;;;;;x
wonder_danevirke_wall_construction_desc;The construction of massive city walls and other defensive structures will surely protect the province against besieging enemy armies.;La construction d'énormes murs d'enceinte et d'autres structures défensives protégera la province contre les sièges.;Der Bau massiver Stadtmauern und anderer Verteidigungsanlagen wird die Provinz sicherer vor Belagerungen feindlicher Armeen machen.;;La construcción de unas murallas masivas y otras estructuras defensivas protegerán sin duda la provincia contra ejércitos enemigos sitiadores.;;;;;;;;;x
wonder_great_mosque_mecca;al-Masjid al-Haram;al-Masjid al-Haram;al-Masjid al-Haram;;al-Masjid al-Haram;;;;;;;;;x
wonder_great_mosque_mecca_desc;Built around the sacred Kaaba, the Great Mosque of Mecca is a major pilgrimage site of the Hajj.;Construite autour de la Kaaba sacrée, la Grande Mosquée de La Mecque est un site de pèlerinage majeur du Hadj.;Die um die heilige Kaaba erbaute Große Moschee von Mekka ist ein wichtiger Wallfahrtsort der Hadsch.;;Construida alrededor de la sagrada Kaaba, la Gran Mezquita de La Meca es un importante lugar de peregrinación del Hajj.;;;;;;;;;x
wonder_great_mosque_mecca_construction_desc;A testament to the §YPiety§! and §YPrestige§! of its builder, it can help convert the infidels to the true faith, improve opinion, or even help protect the population from diseases.;Témoignage de la §Ypiété§! et du §Yprestige§! de son constructeur, elle peut aider à convertir les infidèles à la vraie foi, améliorer l’opinion ou même protéger la population contre les maladies.;Dies ist ein Zeugnis für die §YPietät§! und §YPrestige§! seines Erbauers. Es kann dabei helfen, die Ungläubigen zum wahren Glauben zu konvertieren, die Meinung verbessern oder sogar die Bevölkerung vor Krankheiten schützen.;;Un legado de la §Ypiedad§! y el §Yprestigio§! de su constructor, puede ayudar a convertir a los infieles a la fe verdadera, mejorar las opiniones o incluso ayudar a proteger a la población de enfermedades.;;;;;;;;;x
wonder_palace_aachen;Palace of Aachen;Palais d'Aachen;Pfalz in Aachen;;Palacio de Aquisgrán;;;;;;;;;x
wonder_palace_aachen_desc;Originally the seat of power of Charlemagne, the Palace of Aachen is the heart of the imperial capital.;A l'origine siège du pouvoir de Charlemagne, le palais d'Aachen est le cœur de la capitale impériale.;Die Pfalz in Aachen war ursprünglich der Regierungssitz Karls des Großen und ist das Herz der Reichshauptstadt.;;Originalmente la sede del poder de Carlomagno, el Palacio de Aquisgrán es el corazón de la capital imperial.;;;;;;;;;x
