#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#### CULTURE;;;;;;;;;;;;;;x
hip_culture_group;Ennead;;;;;;;;;;;;;x
hip_culture;Great Pesedjet;;;;;;;;;;;;;x
emperor_female_hip_culture;Queen;;;;;;;;;;;;;x
emperor_hip_culture;Queen;;;;;;;;;;;;;x
#### EVENTS;;;;;;;;;;;;;;x
hip.4.desc;A yawning void opens beneath my feet and a voice, greater than any I have ever heard or imagined, thunders in my mind:\n\nMAGIC IS MY DOMAIN. YOUR MEDDLING WILL BE YOUR UNDOING.\n\nThe walls around me shake, my vision blurs, and I feel nothing but pain.;;;;;;;;;;;;;x
hip.4.a;What have I done?;;;;;;;;;;;;;x
#### NICKNAMES;;;;;;;;;;;;;;x
nick_the_divine_lady;the All-Seeing;;;;;;;;;;;;;x
#### RELIGION;;;;;;;;;;;;;;x
hip_religion_group;Nu;;;;;;;;;;;;;x
hip_religion;Ma’at;;;;;;;;;;;;;x
hip_religion_DESC;Unified cosmological conceptualization of truth, balance, order, law, morality, and justice as one regulating force over all things, mortal and deity alike, in this universe. Ma'at, whose dualistic counterpart is commonly known as Isfet, carries out the order potential given spark by the original Creator, a proto-deity commonly known as Paradox. Of the Great Pesedjet, the faces of Ra worship Ma'at and stand forever sentinel against Isfet's entrance into Duat in order to righteously execute their vision for the mortal world. Isis embodies the union of their vision and, through her sight, she touches all mortals with the Great Pesedjet's infinite story.;;;;;;;;;;;;;x
THE_BOOK_OF_THE_DEAD;The Book of the Dead;;;;;;;;;;;;;x
GOD_ATUM;Atum;;;;;;;;;;;;;x
GOD_GEB;Geb;;;;;;;;;;;;;x
GOD_NUT;Nut;;;;;;;;;;;;;x
GOD_SHU;Shu;;;;;;;;;;;;;x
GOD_TEFNUT;Tefnut;;;;;;;;;;;;;x
GOD_OSIRIS;Osiris;;;;;;;;;;;;;x
GOD_SET;Set;;;;;;;;;;;;;x
GOD_NEPHTHYS;Nephthys;;;;;;;;;;;;;x
GOD_ISIS;Isis;;;;;;;;;;;;;x
GOD_APEP;Apep;;;;;;;;;;;;;x
#### TITLE NAMES;;;;;;;;;;;;;;x
HIP_TITLE;Great Goddess;;;;;;;;;;;;;x
HIP_TITLE_FOA;Lady of Infinite Light;;;;;;;;;;;;;x
### TITLES;;;;;;;;;;;;;;x
e_hip;Duat;;;;;;;;;;;;;x
e_hip_adj;Atumic;;;;;;;;;;;;;x
ISIS_DIVINE_VISION;[Root.GetTitledFirstName]'s Divine Vision;;;;;;;;;;;;;x
e_null; ;;;;;;;;;;;;;x
e_null_adj;;;;;;;;;;;;;;x
#### TRAITS;;;;;;;;;;;;;;x
isis;Mother of the Universe;;;;;;;;;;;;;x
isis_desc;Mighty one, foremost of the goddesses. Ruler in Heaven, Queen on earth. All the gods are under her command.;;;;;;;;;;;;;x
#### UTILITY;;;;;;;;;;;;;;x
AI_EVENT;Oops! This event was intended for an AI's lack of eyes only!;;;;;;;;;;;;;x
HIDE_EVENT;Oops! This event was intended to be hidden!;;;;;;;;;;;;;x
YES;Yes;;;;;;;;;;;;;x
NO;No;;;;;;;;;;;;;x
NEVERMIND;Nevermind;;;;;;;;;;;;;x
MEH;¯\(°_o)/¯;;;;;;;;;;;;;x
placeholder_a;Alpha;;;;;;;;;;;;;x
placeholder_b;Bravo;;;;;;;;;;;;;x
placeholder_c;Charlie;;;;;;;;;;;;;x
placeholder_d;Delta;;;;;;;;;;;;;x
placeholder_e;Echo;;;;;;;;;;;;;x
placeholder_f;Foxtrot;;;;;;;;;;;;;x
placeholder_g;Golf;;;;;;;;;;;;;x
placeholder_h;Hotel;;;;;;;;;;;;;x
placeholder_i;India;;;;;;;;;;;;;x
placeholder_j;Juliett;;;;;;;;;;;;;x
placeholder_k;Kilo;;;;;;;;;;;;;x
placeholder_l;Lima;;;;;;;;;;;;;x
placeholder_m;Mike;;;;;;;;;;;;;x
placeholder_n;November;;;;;;;;;;;;;x
placeholder_o;Oscar;;;;;;;;;;;;;x
placeholder_p;Papa;;;;;;;;;;;;;x
placeholder_q;Quebec;;;;;;;;;;;;;x
placeholder_r;Romeo;;;;;;;;;;;;;x
placeholder_s;Sierra;;;;;;;;;;;;;x
placeholder_t;Tango;;;;;;;;;;;;;x
placeholder_u;Uniform;;;;;;;;;;;;;x
placeholder_v;Victor;;;;;;;;;;;;;x
placeholder_w;Whiskey;;;;;;;;;;;;;x
placeholder_x;X-Ray;;;;;;;;;;;;;x
placeholder_y;Yankee;;;;;;;;;;;;;x
placeholder_z;Zulu;;;;;;;;;;;;;x
