#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
imperial_duke;Minor Viceroy;Vice-roi mineur;Minderer Vizekönig;;Virrey Menor;;;;;;;;;x
imperial_king;Viceroy;Vice-roi;Vizekönig;;Virrey;;;;;;;;;x
imperial_duchy_of;Minor Viceroyalty of;Vice-royauté mineure de;Minderes Vizekönigreich von;;Pequeño Virreinato de;;;;;;;;;x
imperial_kingdom_of;Viceroyalty of;Vice-royauté de;Vizekönigreich von;;Virreinato de;;;;;;;;;x
imperial_duke_female;Minor Vicereine;Vice-reine mineure;Geringere Vizekönigin;;Virreina secundaria;;;;;;;;;x
imperial_king_female;Vicereine;Vice-reine;Vizekönigin;;Virreina;;;;;;;;;x
imperial_duke_byzantine;Strategos;;;;;;;;;;;;;x
imperial_king_byzantine;Exarch;Exarque;;;Exarca;;;;;;;;;x
imperial_duchy_of_byzantine;Theme of;Thème de;Thema von;;Tema de;;;;;;;;;x
imperial_kingdom_of_byzantine;Exarchate of;Exarchat de;Exarchat von;;Exarcado de;;;;;;;;;x
imperial_duke_female_byzantine;Strategitissa;;;;Estratega;;;;;;;;;x
imperial_king_female_byzantine;Exarchessa;Exarque;;;Exarca;;;;;;;;;x
