#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#
# FACTION MAIN
#
CB_NAME_OVERTHROWRULER;Overthrow Ruler;Renverser le Suzerain;Herrscher stürzen;;Gobernante derrocado;;;;;;;;;x
WAR_NAME_FACTION_DEPOSE;$ORDER$Revolt of the $FIRST_ADJ$ League;$ORDER$Révolte de la Ligue $FIRST_ADJ$;$ORDER$Aufstand der $FIRST_ADJ$ Liga;;$ORDER$Revuelta de la Liga $FIRST_ADJ$;;;;;;;;;x
faction_court_desc;The §YCourt Faction§! strives for vassal autonomy and influence. Mood: [From.EMF_GetInterestFactionMood]\n\nTheir mood is §GIMPROVED§! by:\n§Y*§! Good relations with members\n§Y*§! Granting a landed title to any member\n§Y*§! Any member being appointed to the liege's council\n§Y*§! Holding feasts and tournaments\n§Y*§! Minimal Feudal Obligations\n§Y*§! Minimal Iqta Obligations\n§Y*§! Minimal Tribal Obligations\n\nTheir mood is §RWORSENED§! by:\n§Y*§! Poor relations with members\n§Y*§! No member appointed to the liege's council\n§Y*§! High decadence for Muslims\n§Y*§! Higher Crown Authority\n§Y*§! Higher Tribal Organization\n§Y*§! Higher Feudal Obligations\n§Y*§! Higher Iqta Obligations\n§Y*§! Higher Tribal Obligations\n\n§MNOTE:§! This is only a summary. Pay attention to in-game tooltips for cues regarding more faction effects. Faction moods are directly derived from the tier-weighted opinions of all of its members, so simply view a faction member's opinion breakdown to see the factors currently impacting the faction's mood, which is [From.EMF_GetInterestFactionMood].;;;;La §YFaccion de la Corte§! lucha por conseguir autonomia e influencia. Estado de Animo: [From.EMF_GetInterestFactionMood]\n\nSu estado de animo ha §GMEJORADO§! por:\n§Y*§! Buenas relaciones con los miembros\n§Y*§! Otorgar un titulo hacendado a cualquier miembro\n§Y*§! Colocar a un miembro en el consejo del señor\n§Y*§! Celebracion de fiestas y torneos\n§Y*§! Obligaciones Feudales Minimas\n§Y*§! Obligaciones Iqta Minimas\n§Y*§! Obligaciones Tribales Minimas\n\nSu estado de animo ha §REMPEORADO§! por:\n§Y*§! Relaciones negativas con los miembros\n§Y*§! Ningun miembro en el consejo del señor\n§Y*§! Decadencia alta si Musulmanes\n§Y*§! Autoridad de la Corona Alta\n§Y*§! Organizacion Tribal Alta\n§Y*§! Obligaciones Feudales Altas\n§Y*§! Obligaciones Iqta Altas\n§Y*§! Obligaciones Tribales Altas\n\n§MNOTA:§! Esto es solo un resumen. Presta atencion a los consejos dentro del juego para aprender mas sobre los efectos de faccion. Los estados de animo de las faciones están directamente relacionadas con las opiniones de sus miembros ponderadas a su rango, así que simplemente vea el desglose de la opinión de un miembro de la facción para ver los factores que actualmente afectan el estado de ánimo de la facción, que es [From.EMF_GetInterestFactionMood].;;;;;;;;;x
faction_court_title;Court Faction;;;;Faccion de la Corte;;;;;;;;;x
faction_court_short;Court;;;;Corte;;;;;;;;;x
faction_glory_desc;The §YGlory Faction§! strives for prestige and the spoils of war. Mood: [From.EMF_GetInterestFactionMood]\n\nTheir mood is §GIMPROVED§! by:\n§Y*§! Good relations with members\n§Y*§! Granting a landed title to any member\n§Y*§! Any member being appointed to the liege's council\n§Y*§! The liege having high Prestige\n§Y*§! Winning wars\n§Y*§! Holding tournaments\n§Y*§! Minimal Feudal Obligations\n§Y*§! Minimal Iqta Obligations\n§Y*§! Minimal Tribal Obligations\n\nTheir mood is §RWORSENED§! by:\n§Y*§! Poor relations with members\n§Y*§! No member appointed to the liege's council\n§Y*§! The liege having negative Prestige\n§Y*§! Five or more consecutive years of peace\n§Y*§! Losing wars\n§Y*§! High decadence for Muslims\n§Y*§! Higher Crown Authority (HRE Only)\n§Y*§! High/Max Feudal Obligations\n§Y*§! High/Max Iqta Obligations\n§Y*§! High/Max Tribal Obligations\n\n§MNOTE:§! This is only a summary. Pay attention to in-game tooltips for cues regarding more faction effects. Faction moods are directly derived from the tier-weighted opinions of all of its members, so simply view a faction member's opinion breakdown to see the factors currently impacting the faction's mood, which is [From.EMF_GetInterestFactionMood].;;;;La §YFaccion por la Gloria§! busca el prestigio y botines de guerra. Estado de Animo: [From.EMF_GetInterestFactionMood]\n\nSu estado de animo ha §GMEJORADO§! por:\n§Y*§! Buenas relaciones con los miembros\n§Y*§! Otorgar un titulo hacendado a cualquier miembro\n§Y*§! Colocar a un miembro en el consejo del señor\n§Y*§! El Señor tiene mucho prestigio\n§Y*§! Ganando guerras\n§Y*§! Celebrando Torneos\n§Y*§! Obligaciones Feudales Minimas\n§Y*§! Obligaciones Iqta Minimas\n§Y*§! Obligaciones Tribales Minimas\n\nSu estado de animo ha §REMPEORADO§! por:\n§Y*§! Malas relaciones con los miembros\n§Y*§! Ningun miembro en el consejo del Señor\n§Y*§! El señor tiene Prestigio negativo\n§Y*§! Cinco o más años consecutivos de paz\n§Y*§! Perder guerras\n§Y*§! Alta decadencia si Musulmanes\n§Y*§! Autoridad de la Corona Alta (Solo SIR)\n§Y*§! Obligaciones Feudales Altas/Maximas\n§Y*§! Obligaciones Iqta Altas/Maximas\n§Y*§! Obligaciones Tribales Altas/Maximas\n\n§MNOTA:§! Esto es solo un resumen. Presta atencion a los consejos dentro del juego para aprender mas sobre los efectos de faccion. Los estados de animo de las faciones están directamente relacionadas con las opiniones de sus miembros ponderadas a su rango, así que simplemente vea el desglose de la opinión de un miembro de la facción para ver los factores que actualmente afectan el estado de ánimo de la facción, que es [From.EMF_GetInterestFactionMood].;;;;;;;;;x
faction_glory_title;Glory Faction;;;;Faccion por la Gloria;;;;;;;;;x
faction_glory_short;Glory;;;;Gloria;;;;;;;;;x
faction_prosperity_desc;The §YProsperity Faction§! strives for wealth and a healthy economy. Mood: [From.EMF_GetInterestFactionMood]\n\nTheir mood is §GIMPROVED§! by:\n§Y*§! Good relations with members\n§Y*§! Granting a landed title to any member\n§Y*§! Any member being appointed to the liege's council\n§Y*§! The liege having high Wealth\n§Y*§! Five or more consecutive years of peace\n§Y*§! Holding summer fairs\n§Y*§! If a Merchant Republic, winning wars in the pursuit of trade\n§Y*§! High/Max Crown Authority\n§Y*§! High/Max Tribal Organization\n§Y*§! Minimal Burgher Obligations\n\nTheir mood is §RWORSENED§! by:\n§Y*§! Poor relations with members\n§Y*§! No member appointed to the liege's council\n§Y*§! The liege being bankrupt or in debt\n§Y*§! If not a Merchant Republic, embargo wars\n§Y*§! Minimal Crown Authority\n§Y*§! Minimal Tribal Organization\n§Y*§! Medium/High/Max Burgher Obligations\n§Y*§! Max Clergy Obligations\n§Y*§! Max Tribal Obligations\n\n§MNOTE:§! This is only a summary. Pay attention to in-game tooltips for cues regarding more faction effects. Faction moods are directly derived from the tier-weighted opinions of all of its members, so simply view a faction member's opinion breakdown to see the factors currently impacting the faction's mood, which is [From.EMF_GetInterestFactionMood].;;;;La §YFaccion de Prosperidad§! busca riqueza y una economia fuerte. Estado de Animo: [From.EMF_GetInterestFactionMood]\n\nSu Estado de Animo ha §GMEJORADO§! por:\n§Y*§! Buenas relaciones con los miembros\n§Y*§! Otorgando un titulo hacendado a cualquier miembro\n§Y*§! Colocar a un miembro en el consejo del señor\n§Y*§! El señor tiene riquezas\n§Y*§! Cinco o más años consecutivos de paz\n§Y*§! Celebrando ferias de verano\n§Y*§! Si se trata de una Republica Mercante, ganando guerras comerciales\n§Y*§! Autoridad de la Corona Alta/Maxima\n§Y*§! Organizacion Tribal Alta/Maxima\n§Y*§! Obligaciones Tribales Minimas\n\nSu estado de animo ha §REMPEORADO§! por:\n§Y*§! Malas relaciones con los miembros\n§Y*§! Ningun miembro en el consejo del señor\n§Y*§! El señor está en bancarota o en deuda\n§Y*§! Si no es una republica mercante, guerras de embargo\n§Y*§! Autoridad de la Corona Minima\n§Y*§! Organizacion Tribal Minima\n§Y*§! Obligaciones Burguesas Media/Alta/Maxima\n§Y*§! Obligaciones del Clero Maximas\n§Y*§! Obligaciones Tribales Maximas\n\n§MNOTA:§! Esto es solo un resumen. Presta atencion a los consejos dentro del juego para aprender mas sobre los efectos de faccion. Los estados de animo de las faciones están directamente relacionadas con las opiniones de sus miembros ponderadas a su rango, así que simplemente vea el desglose de la opinión de un miembro de la facción para ver los factores que actualmente afectan el estado de ánimo de la facción, que es [From.EMF_GetInterestFactionMood].;;;;;;;;;x
faction_prosperity_short;Prosperity;;;;Prosperidad;;;;;;;;;x
faction_prosperity_title;Prosperity Faction;;;;;Faccion de Prosperidad;;;;;;;;x
