#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;x
#Employment;;;;;;;;;;x
toggle_marriage_decisions;Toggle Marriage Decisions;;;;Muestra Decisiones maritales;;;;;x
toggle_marriage_decisions_desc;Toggle the arranged marriage decisions, which will allow you to arrange marriages for your courtiers.;;;;Activa las decisiones maritales, lo que te permitirá disponer matrimonios entre tus cortesanos.;;;;;x
marry_courtiers;Arrange Courtier Marriages;;;;Disponer matrimonios de cortesanos;;;;;x
marry_courtiers_desc;Arrange marriages for your courtiers, marrying them to each other where possible. Will not affect courtiers of your dynasty.;;;;Dispone matrimonios entre tus cortesanos, casándoles entre ellos cuando sea posible. No afecta a miembros de tu dinastía.;;;;;x
marry_courtier;Arrange Marriage for [Root.GetTitledFirstName];;;;Disponer un matrimonio para [Root.GetTitledFirstName];;;;;x
marry_courtier_desc;Arrange a marriage for [Root.GetTitledFirstName]. This will create a random character of approximately the same age as [Root.GetObjectPronoun], with random traits and attributes.;;;;Dispone un matrimonio para [Root.GetTitledFirstName]. Se creará un personaje aleatorio de aproximadamente su misma edad con el que se casará.;;;;;x
exchange_prisoners;Arrange Exchange for [Root.GetTitledFirstName];;;;Disponer un intercambio por [Root.GetTitledFirstName];;;;;x
exchange_prisoners_desc;Arrange a prisoner exchange for [Root.GetTitledFirstName]. If the ruler holding [Root.GetObjectPronoun] prisoner accepts, a member of his dynasty will be released from your dungeons in exchange.;;;;Dispones un intercambio de prisioneros por [Root.GetTitledFirstName]. Si su captor acepta el intercambio, un miembro de su dinastía será liberado de nuestras mazmorras.;;;;;x
release_prisoners;Release All Prisoners;;;;Liberar a todos los prisioneros;;;;;x
release_prisoners_desc;Release everyone in your dungeons for free.;;;;Libera a todos los prisioneros sin condiciones.;;;;;x
execute_prisoners;Execute All Prisoners;;;;Ejecutar a todos los prisioneros;;;;;x
execute_prisoners_desc;Execute everyone in your dungeons.;;;;Ejecuta a todos en las mazmorras.;;;;;x
become_kinslayer_tooltip;You'll be considered a kinslayer.\n;;;;Serás considera un parricida.\n;;;;;x
