#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
e_bulgaria;Bulgarian Empire;;;;Imperio búlgaro;;;;;;;;;x
e_bulgaria_adj;Bulgarian;;;;Búlgaro;;;;;;;;;x
k_shiite;The Shia Caliphate;Le Califat chiite;Das Schia-Kalifat;;El Califato Chií;;;;;;;;;x
k_shiite_adj;Caliphal;califal;Kalifen-;;Califal;;;;;;;;;x
d_bulgarian_revolters;Bulgarian Revolters;;;;Rebeldes búlgaros;;;;;;;;;x
d_bulgarian_revolters_adj;Bulgarian;;;;Búlgaro;;;;;;;;;x
d_norman_company;Norman Company;;;;Compañía normanda;;;;;;;;;x
d_norman_company_adj;Norman;;;;Normando;;;;;;;;;x
e_germany;Germany;;;;Alemania;;;;;;;;;x
e_germany_adj;German;;;;Alemán;;;;;;;;;x
e_hre_french;Holy Roman Empire;;;;Sacro Imperio Romano;;;;;;;;;x
e_hre_french_adj;Frankish;;;;Franco;;;;;;;;;x
