#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
age_1;+1 Year;+1 An;+1 Jahr;;+1 Año;;;;;;;;;x
age_2;+2 Years;+2 Ans;+2 Jahre;;+2 Años;;;;;;;;;x
age_4;+4 Years;+4 Ans;+4 Jahre;;+4 Años;;;;;;;;;x
age_8;+8 Years;+8 Ans;+8 Jahre;;+8 Años;;;;;;;;;x
age_16;+16 Years;+16 Ans;+16 Jahre;;+16 Años;;;;;;;;;x
age_32;+32 Years;+32 Ans;+32 Jahre;;+32 Años;;;;;;;;;x
age_1_desc;Adds 1 year of age to your character.;;;;;;;;;;;;;x
age_2_desc;Adds 2 years of age to your character.;;;;;;;;;;;;;x
age_4_desc;Adds 4 years of age to your character.;;;;;;;;;;;;;x
age_8_desc;Adds 8 years of age to your character.;;;;;;;;;;;;;x
age_16_desc;Adds 16 years of age to your character.;;;;;;;;;;;;;x
age_32_desc;Adds 32 years of age to your character.;;;;;;;;;;;;;x
