#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
emf_autolander.6.desc;Grant the province [target_county.Location.GetName]?\n\nDuchy: [target_county.Duchy.GetBaseName]\nKingdom: [target_county.Kingdom.GetBaseName];;;;;;;;;;;;;x
emf_autolander.6.opt.a;Give it to a random, new [Root.Culture.GetAdjectiveCap] noble;;;;;;;;;;;;;x
emf_autolander.6.opt.b;Give to [FromFrom.GetTitledName];;;;;;;;;;;;;x
emf_autolander.6.opt.c;Give to [From.GetTitledName];;;;;;;;;;;;;x
emf_autolander.6.opt.d;Skip;;;;;;;;;;;;;x
emf_autolander_ctt_prompt_province;Prompt to distribute titles in §Y[This.Location.GetName]§!.\n;;;;;;;;;;;;;x
emf_autolander_ctt_auto_grant_province;Automatically grant titles in §Y[This.Location.GetName]§!.\n;;;;;;;;;;;;;x
emf_autolander_ctt_grant_family;Grant §Y[target_county.Location.GetName]§! to my kin, §Y[This.GetTitledName]§!.;;;;;;;;;;;;;x
emf_autolander_ctt_grant_family_councillor;Grant §Y[target_county.Location.GetName]§! to my kin and councillor ([This.GetJobTitle]), §Y[This.GetTitledName]§!.;;;;;;;;;;;;;x
emf_autolander_ctt_grant_councillor;Grant §Y[target_county.Location.GetName]§! to my councillor ([This.GetJobTitle]), §Y[This.GetTitledName]§!.;;;;;;;;;;;;;x
emf_autolander_ctt_grant_other;Grant §Y[target_county.Location.GetName]§! to §Y[This.GetTitledName]§!.;;;;;;;;;;;;;x
emf_autolander;Distribute Recently Acquired Land;;;;;;;;;;;;;x
emf_autolander_desc;For each recently-acquired province in your demesne that is not within your capital duchy, you will be prompted about whether to automatically distribute its titles. You may individually skip any such province in the process, leaving manual management of the province to you. No titles higher than count-tier will ever be distributed.;;;;;;;;;;;;;x
emf_autolander_low_prio;Distribute Recently Acquired Land;;;;;;;;;;;;;x
emf_autolander_low_prio_desc;For each recently-acquired province in your demesne that is not within your capital duchy, you will be prompted about whether to automatically distribute its titles. You may individually skip any such province in the process, leaving manual management of the province to you. No titles higher than count-tier will ever be distributed.;;;;;;;;;;;;;x
emf_autolander_auto;Distribute Recently Acquired Land;;;;;;;;;;;;;x
emf_autolander_auto_desc;For each recently-acquired province in your demesne that is not within your capital duchy, any titles that you hold within it will be automatically granted to new characters. Note that this behavior is specific to multiplayer, whereas in singleplayer, among other differences you are prompted about each province before granting it.;;;;;;;;;;;;;x
emf_mod_recently_acquired;Recently Acquired;;;;;;;;;;;;;x
emf_mod_recently_acquired_desc;This province has been recently acquired and qualifies for automatic land distribution.;;;;;;;;;;;;;x
