#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
### DECISIONS;;;;;;;;;;;;;;x
emf_toggle_customization;Toggle Customization Decisions;;;;;;;;;;;;;x
emf_toggle_customization_desc;Hide/show various customization decisions.;;;;;;;;;;;;;x
emf_bring_child_home;Bring Child Home;;;;;;;;;;;;;x
emf_bring_child_home_desc;Bring a wayward child home.;;;;;;;;;;;;;x
emf_bring_child_home_named;Bring [Root.GetFirstName] home.;;;;;;;;;;;;;x
### OPINIONS;;;;;;;;;;;;;;x
opinion_admires_liege;Admires Liege;;;;;;;;;;;;;x
opinion_respects_courtier_tradition;Respects Courtier's Traditions;;;;;;;;;;;;;x
### RELIGIOUS MODIFIERS;;;;;;;;;;;;;x
province_converted_from;Provinces Led Astray;;;;;;;;;;;;;;x
province_converted_to;Provinces Converted;;;;;;;;;;;;;;x
### TITLES;;;;;;;;;;;;;;x
k_emf_saxon_england;!CoA: Saxon England;;;;;;;;;;;;;x
k_emf_norman_england;!CoA: Norman England;;;;;;;;;;;;;x
k_emf_english_england;!CoA: Default England;;;;;;;;;;;;;x
k_emf_barcelona_aragon;!CoA: Barcelona Aragon;;;;;;;;;;;;;x
e_emf_null;None;;;;;;;;;;;;;x
### TOOLTIPS;;;;;;;;;;;;;;x
emf_ctt_liege_can_transfer_dj_vassal_to_me;A direct vassal of my liege, §Y[Root.Liege.GetBestName]§!, is my rightful de jure vassal. All of us are at peace.\n;;;;;;;;;;;;;;x
emf_ctt_break;\n;;;;;;;;;;;;;;x
emf_ctt_doublebreak;\n\n;;;;;;;;;;;;;;x
