#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
emf_ctt_requires_5_gold_cost;Can afford cost of §R5.0§!¤\n;;;;;;;;;;;;;x
emf_ctt_requires_5_gold_cost_holder;Holder can afford cost of §R5.0§!¤\n;;;;;;;;;;;;;x
emf_ctt_requires_5_piety_cost;Can afford cost of §R5.0§! [This.Religion.GetPietyName]\n;;;;;;;;;;;;;x
emf_ctt_requires_5_piety_cost_holder;Holder can afford cost of §R5.0§! [This.Holder.Religion.GetPietyName]\n;;;;;;;;;;;;;x
emf_ctt_requires_5_prestige_cost;Can afford cost of §R5.0§! Prestige\n;;;;;;;;;;;;;x
emf_ctt_requires_5_prestige_cost_holder;Holder can afford cost of §R5.0§! Prestige\n;;;;;;;;;;;;;x
emf_ctt_requires_10_gold_cost;Can afford cost of §R10.0§!¤\n;;;;;;;;;;;;;x
emf_ctt_requires_10_gold_cost_holder;Holder can afford cost of §R10.0§!¤\n;;;;;;;;;;;;;x
emf_ctt_requires_10_piety_cost;Can afford cost of §R10.0§! [This.Religion.GetPietyName]\n;;;;;;;;;;;;;x
emf_ctt_requires_10_piety_cost_holder;Holder can afford cost of §R10.0§! [This.Holder.Religion.GetPietyName]\n;;;;;;;;;;;;;x
emf_ctt_requires_10_prestige_cost;Can afford cost of §R10.0§! Prestige\n;;;;;;;;;;;;;x
emf_ctt_requires_10_prestige_cost_holder;Holder can afford cost of §R10.0§! Prestige\n;;;;;;;;;;;;;x
emf_ctt_requires_15_gold_cost;Can afford cost of §R15.0§!¤\n;;;;;;;;;;;;;x
emf_ctt_requires_15_gold_cost_holder;Holder can afford cost of §R15.0§!¤\n;;;;;;;;;;;;;x
emf_ctt_requires_15_piety_cost;Can afford cost of §R15.0§! [This.Religion.GetPietyName]\n;;;;;;;;;;;;;x
emf_ctt_requires_15_piety_cost_holder;Holder can afford cost of §R15.0§! [This.Holder.Religion.GetPietyName]\n;;;;;;;;;;;;;x
emf_ctt_requires_15_prestige_cost;Can afford cost of §R15.0§! Prestige\n;;;;;;;;;;;;;x
emf_ctt_requires_15_prestige_cost_holder;Holder can afford cost of §R15.0§! Prestige\n;;;;;;;;;;;;;x
emf_ctt_requires_20_gold_cost;Can afford cost of §R20.0§!¤\n;;;;;;;;;;;;;x
emf_ctt_requires_20_gold_cost_holder;Holder can afford cost of §R20.0§!¤\n;;;;;;;;;;;;;x
emf_ctt_requires_20_piety_cost;Can afford cost of §R20.0§! [This.Religion.GetPietyName]\n;;;;;;;;;;;;;x
emf_ctt_requires_20_piety_cost_holder;Holder can afford cost of §R20.0§! [This.Holder.Religion.GetPietyName]\n;;;;;;;;;;;;;x
emf_ctt_requires_20_prestige_cost;Can afford cost of §R20.0§! Prestige\n;;;;;;;;;;;;;x
emf_ctt_requires_20_prestige_cost_holder;Holder can afford cost of §R20.0§! Prestige\n;;;;;;;;;;;;;x
emf_ctt_requires_25_gold_cost;Can afford cost of §R25.0§!¤\n;;;;;;;;;;;;;x
emf_ctt_requires_25_gold_cost_holder;Holder can afford cost of §R25.0§!¤\n;;;;;;;;;;;;;x
emf_ctt_requires_25_piety_cost;Can afford cost of §R25.0§! [This.Religion.GetPietyName]\n;;;;;;;;;;;;;x
emf_ctt_requires_25_piety_cost_holder;Holder can afford cost of §R25.0§! [This.Holder.Religion.GetPietyName]\n;;;;;;;;;;;;;x
emf_ctt_requires_25_prestige_cost;Can afford cost of §R25.0§! Prestige\n;;;;;;;;;;;;;x
emf_ctt_requires_25_prestige_cost_holder;Holder can afford cost of §R25.0§! Prestige\n;;;;;;;;;;;;;x
emf_ctt_requires_30_gold_cost;Can afford cost of §R30.0§!¤\n;;;;;;;;;;;;;x
emf_ctt_requires_30_gold_cost_holder;Holder can afford cost of §R30.0§!¤\n;;;;;;;;;;;;;x
emf_ctt_requires_30_piety_cost;Can afford cost of §R30.0§! [This.Religion.GetPietyName]\n;;;;;;;;;;;;;x
emf_ctt_requires_30_piety_cost_holder;Holder can afford cost of §R30.0§! [This.Holder.Religion.GetPietyName]\n;;;;;;;;;;;;;x
emf_ctt_requires_30_prestige_cost;Can afford cost of §R30.0§! Prestige\n;;;;;;;;;;;;;x
emf_ctt_requires_30_prestige_cost_holder;Holder can afford cost of §R30.0§! Prestige\n;;;;;;;;;;;;;x
emf_ctt_requires_40_gold_cost;Can afford cost of §R40.0§!¤\n;;;;;;;;;;;;;x
emf_ctt_requires_40_gold_cost_holder;Holder can afford cost of §R40.0§!¤\n;;;;;;;;;;;;;x
emf_ctt_requires_40_piety_cost;Can afford cost of §R40.0§! [This.Religion.GetPietyName]\n;;;;;;;;;;;;;x
emf_ctt_requires_40_piety_cost_holder;Holder can afford cost of §R40.0§! [This.Holder.Religion.GetPietyName]\n;;;;;;;;;;;;;x
emf_ctt_requires_40_prestige_cost;Can afford cost of §R40.0§! Prestige\n;;;;;;;;;;;;;x
emf_ctt_requires_40_prestige_cost_holder;Holder can afford cost of §R40.0§! Prestige\n;;;;;;;;;;;;;x
emf_ctt_requires_50_gold_cost;Can afford cost of §R50.0§!¤\n;;;;;;;;;;;;;x
emf_ctt_requires_50_gold_cost_holder;Holder can afford cost of §R50.0§!¤\n;;;;;;;;;;;;;x
emf_ctt_requires_50_piety_cost;Can afford cost of §R50.0§! [This.Religion.GetPietyName]\n;;;;;;;;;;;;;x
emf_ctt_requires_50_piety_cost_holder;Holder can afford cost of §R50.0§! [This.Holder.Religion.GetPietyName]\n;;;;;;;;;;;;;x
emf_ctt_requires_50_prestige_cost;Can afford cost of §R50.0§! Prestige\n;;;;;;;;;;;;;x
emf_ctt_requires_50_prestige_cost_holder;Holder can afford cost of §R50.0§! Prestige\n;;;;;;;;;;;;;x
emf_ctt_requires_60_gold_cost;Can afford cost of §R60.0§!¤\n;;;;;;;;;;;;;x
emf_ctt_requires_60_gold_cost_holder;Holder can afford cost of §R60.0§!¤\n;;;;;;;;;;;;;x
emf_ctt_requires_60_piety_cost;Can afford cost of §R60.0§! [This.Religion.GetPietyName]\n;;;;;;;;;;;;;x
emf_ctt_requires_60_piety_cost_holder;Holder can afford cost of §R60.0§! [This.Holder.Religion.GetPietyName]\n;;;;;;;;;;;;;x
emf_ctt_requires_60_prestige_cost;Can afford cost of §R60.0§! Prestige\n;;;;;;;;;;;;;x
emf_ctt_requires_60_prestige_cost_holder;Holder can afford cost of §R60.0§! Prestige\n;;;;;;;;;;;;;x
emf_ctt_requires_70_gold_cost;Can afford cost of §R70.0§!¤\n;;;;;;;;;;;;;x
emf_ctt_requires_70_gold_cost_holder;Holder can afford cost of §R70.0§!¤\n;;;;;;;;;;;;;x
emf_ctt_requires_70_piety_cost;Can afford cost of §R70.0§! [This.Religion.GetPietyName]\n;;;;;;;;;;;;;x
emf_ctt_requires_70_piety_cost_holder;Holder can afford cost of §R70.0§! [This.Holder.Religion.GetPietyName]\n;;;;;;;;;;;;;x
emf_ctt_requires_70_prestige_cost;Can afford cost of §R70.0§! Prestige\n;;;;;;;;;;;;;x
emf_ctt_requires_70_prestige_cost_holder;Holder can afford cost of §R70.0§! Prestige\n;;;;;;;;;;;;;x
emf_ctt_requires_75_gold_cost;Can afford cost of §R75.0§!¤\n;;;;;;;;;;;;;x
emf_ctt_requires_75_gold_cost_holder;Holder can afford cost of §R75.0§!¤\n;;;;;;;;;;;;;x
emf_ctt_requires_75_piety_cost;Can afford cost of §R75.0§! [This.Religion.GetPietyName]\n;;;;;;;;;;;;;x
emf_ctt_requires_75_piety_cost_holder;Holder can afford cost of §R75.0§! [This.Holder.Religion.GetPietyName]\n;;;;;;;;;;;;;x
emf_ctt_requires_75_prestige_cost;Can afford cost of §R75.0§! Prestige\n;;;;;;;;;;;;;x
emf_ctt_requires_75_prestige_cost_holder;Holder can afford cost of §R75.0§! Prestige\n;;;;;;;;;;;;;x
emf_ctt_requires_80_gold_cost;Can afford cost of §R80.0§!¤\n;;;;;;;;;;;;;x
emf_ctt_requires_80_gold_cost_holder;Holder can afford cost of §R80.0§!¤\n;;;;;;;;;;;;;x
emf_ctt_requires_80_piety_cost;Can afford cost of §R80.0§! [This.Religion.GetPietyName]\n;;;;;;;;;;;;;x
emf_ctt_requires_80_piety_cost_holder;Holder can afford cost of §R80.0§! [This.Holder.Religion.GetPietyName]\n;;;;;;;;;;;;;x
emf_ctt_requires_80_prestige_cost;Can afford cost of §R80.0§! Prestige\n;;;;;;;;;;;;;x
emf_ctt_requires_80_prestige_cost_holder;Holder can afford cost of §R80.0§! Prestige\n;;;;;;;;;;;;;x
emf_ctt_requires_90_gold_cost;Can afford cost of §R90.0§!¤\n;;;;;;;;;;;;;x
emf_ctt_requires_90_gold_cost_holder;Holder can afford cost of §R90.0§!¤\n;;;;;;;;;;;;;x
emf_ctt_requires_90_piety_cost;Can afford cost of §R90.0§! [This.Religion.GetPietyName]\n;;;;;;;;;;;;;x
emf_ctt_requires_90_piety_cost_holder;Holder can afford cost of §R90.0§! [This.Holder.Religion.GetPietyName]\n;;;;;;;;;;;;;x
emf_ctt_requires_90_prestige_cost;Can afford cost of §R90.0§! Prestige\n;;;;;;;;;;;;;x
emf_ctt_requires_90_prestige_cost_holder;Holder can afford cost of §R90.0§! Prestige\n;;;;;;;;;;;;;x
emf_ctt_requires_100_gold_cost;Can afford cost of §R100.0§!¤\n;;;;;;;;;;;;;x
emf_ctt_requires_100_gold_cost_holder;Holder can afford cost of §R100.0§!¤\n;;;;;;;;;;;;;x
emf_ctt_requires_100_piety_cost;Can afford cost of §R100.0§! [This.Religion.GetPietyName]\n;;;;;;;;;;;;;x
emf_ctt_requires_100_piety_cost_holder;Holder can afford cost of §R100.0§! [This.Holder.Religion.GetPietyName]\n;;;;;;;;;;;;;x
emf_ctt_requires_100_prestige_cost;Can afford cost of §R100.0§! Prestige\n;;;;;;;;;;;;;x
emf_ctt_requires_100_prestige_cost_holder;Holder can afford cost of §R100.0§! Prestige\n;;;;;;;;;;;;;x
emf_ctt_requires_125_gold_cost;Can afford cost of §R125.0§!¤\n;;;;;;;;;;;;;x
emf_ctt_requires_125_gold_cost_holder;Holder can afford cost of §R125.0§!¤\n;;;;;;;;;;;;;x
emf_ctt_requires_125_piety_cost;Can afford cost of §R125.0§! [This.Religion.GetPietyName]\n;;;;;;;;;;;;;x
emf_ctt_requires_125_piety_cost_holder;Holder can afford cost of §R125.0§! [This.Holder.Religion.GetPietyName]\n;;;;;;;;;;;;;x
emf_ctt_requires_125_prestige_cost;Can afford cost of §R125.0§! Prestige\n;;;;;;;;;;;;;x
emf_ctt_requires_125_prestige_cost_holder;Holder can afford cost of §R125.0§! Prestige\n;;;;;;;;;;;;;x
emf_ctt_requires_150_gold_cost;Can afford cost of §R150.0§!¤\n;;;;;;;;;;;;;x
emf_ctt_requires_150_gold_cost_holder;Holder can afford cost of §R150.0§!¤\n;;;;;;;;;;;;;x
emf_ctt_requires_150_piety_cost;Can afford cost of §R150.0§! [This.Religion.GetPietyName]\n;;;;;;;;;;;;;x
emf_ctt_requires_150_piety_cost_holder;Holder can afford cost of §R150.0§! [This.Holder.Religion.GetPietyName]\n;;;;;;;;;;;;;x
emf_ctt_requires_150_prestige_cost;Can afford cost of §R150.0§! Prestige\n;;;;;;;;;;;;;x
emf_ctt_requires_150_prestige_cost_holder;Holder can afford cost of §R150.0§! Prestige\n;;;;;;;;;;;;;x
emf_ctt_requires_175_gold_cost;Can afford cost of §R175.0§!¤\n;;;;;;;;;;;;;x
emf_ctt_requires_175_gold_cost_holder;Holder can afford cost of §R175.0§!¤\n;;;;;;;;;;;;;x
emf_ctt_requires_175_piety_cost;Can afford cost of §R175.0§! [This.Religion.GetPietyName]\n;;;;;;;;;;;;;x
emf_ctt_requires_175_piety_cost_holder;Holder can afford cost of §R175.0§! [This.Holder.Religion.GetPietyName]\n;;;;;;;;;;;;;x
emf_ctt_requires_175_prestige_cost;Can afford cost of §R175.0§! Prestige\n;;;;;;;;;;;;;x
emf_ctt_requires_175_prestige_cost_holder;Holder can afford cost of §R175.0§! Prestige\n;;;;;;;;;;;;;x
emf_ctt_requires_200_gold_cost;Can afford cost of §R200.0§!¤\n;;;;;;;;;;;;;x
emf_ctt_requires_200_gold_cost_holder;Holder can afford cost of §R200.0§!¤\n;;;;;;;;;;;;;x
emf_ctt_requires_200_piety_cost;Can afford cost of §R200.0§! [This.Religion.GetPietyName]\n;;;;;;;;;;;;;x
emf_ctt_requires_200_piety_cost_holder;Holder can afford cost of §R200.0§! [This.Holder.Religion.GetPietyName]\n;;;;;;;;;;;;;x
emf_ctt_requires_200_prestige_cost;Can afford cost of §R200.0§! Prestige\n;;;;;;;;;;;;;x
emf_ctt_requires_200_prestige_cost_holder;Holder can afford cost of §R200.0§! Prestige\n;;;;;;;;;;;;;x
emf_ctt_requires_250_gold_cost;Can afford cost of §R250.0§!¤\n;;;;;;;;;;;;;x
emf_ctt_requires_250_gold_cost_holder;Holder can afford cost of §R250.0§!¤\n;;;;;;;;;;;;;x
emf_ctt_requires_250_piety_cost;Can afford cost of §R250.0§! [This.Religion.GetPietyName]\n;;;;;;;;;;;;;x
emf_ctt_requires_250_piety_cost_holder;Holder can afford cost of §R250.0§! [This.Holder.Religion.GetPietyName]\n;;;;;;;;;;;;;x
emf_ctt_requires_250_prestige_cost;Can afford cost of §R250.0§! Prestige\n;;;;;;;;;;;;;x
