#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
emf_dynlevy.22.desc;Hover over the event option for my levy efficiency law. If no tooltip appears, I have no dynlevy law applied.;;;;;;;;;;;;;x
dynlevy;Levy Efficiency;;;;;;;;;;;;;x
dynlevy_0;100%;;;;;;;;;;;;;x
emf_ctt_dbg_dynlevy_0;Dynamic Levy Law: §Ydynlevy_0§!\nLevy Efficiency: §Y100%§!\nRealm Size: §Y1§! through §Y19§!\n;;;;;;;;;;;;;x
dynlevy_1;97.4%;;;;;;;;;;;;;x
emf_ctt_dbg_dynlevy_1;Dynamic Levy Law: §Ydynlevy_1§!\nLevy Efficiency: §Y97.4%§!\nRealm Size: §Y20§! through §Y24§!\n;;;;;;;;;;;;;x
dynlevy_2;95%;;;;;;;;;;;;;x
emf_ctt_dbg_dynlevy_2;Dynamic Levy Law: §Ydynlevy_2§!\nLevy Efficiency: §Y95%§!\nRealm Size: §Y25§! through §Y29§!\n;;;;;;;;;;;;;x
dynlevy_3;92.7%;;;;;;;;;;;;;x
emf_ctt_dbg_dynlevy_3;Dynamic Levy Law: §Ydynlevy_3§!\nLevy Efficiency: §Y92.7%§!\nRealm Size: §Y30§! through §Y34§!\n;;;;;;;;;;;;;x
dynlevy_4;90.6%;;;;;;;;;;;;;x
emf_ctt_dbg_dynlevy_4;Dynamic Levy Law: §Ydynlevy_4§!\nLevy Efficiency: §Y90.6%§!\nRealm Size: §Y35§! through §Y39§!\n;;;;;;;;;;;;;x
dynlevy_5;88.7%;;;;;;;;;;;;;x
emf_ctt_dbg_dynlevy_5;Dynamic Levy Law: §Ydynlevy_5§!\nLevy Efficiency: §Y88.7%§!\nRealm Size: §Y40§! through §Y44§!\n;;;;;;;;;;;;;x
dynlevy_6;86.9%;;;;;;;;;;;;;x
emf_ctt_dbg_dynlevy_6;Dynamic Levy Law: §Ydynlevy_6§!\nLevy Efficiency: §Y86.9%§!\nRealm Size: §Y45§! through §Y49§!\n;;;;;;;;;;;;;x
dynlevy_7;85.2%;;;;;;;;;;;;;x
emf_ctt_dbg_dynlevy_7;Dynamic Levy Law: §Ydynlevy_7§!\nLevy Efficiency: §Y85.2%§!\nRealm Size: §Y50§! through §Y54§!\n;;;;;;;;;;;;;x
dynlevy_8;83.5%;;;;;;;;;;;;;x
emf_ctt_dbg_dynlevy_8;Dynamic Levy Law: §Ydynlevy_8§!\nLevy Efficiency: §Y83.5%§!\nRealm Size: §Y55§! through §Y59§!\n;;;;;;;;;;;;;x
dynlevy_9;82%;;;;;;;;;;;;;x
emf_ctt_dbg_dynlevy_9;Dynamic Levy Law: §Ydynlevy_9§!\nLevy Efficiency: §Y82%§!\nRealm Size: §Y60§! through §Y64§!\n;;;;;;;;;;;;;x
dynlevy_10;80.6%;;;;;;;;;;;;;x
emf_ctt_dbg_dynlevy_10;Dynamic Levy Law: §Ydynlevy_10§!\nLevy Efficiency: §Y80.6%§!\nRealm Size: §Y65§! through §Y69§!\n;;;;;;;;;;;;;x
dynlevy_11;79.2%;;;;;;;;;;;;;x
emf_ctt_dbg_dynlevy_11;Dynamic Levy Law: §Ydynlevy_11§!\nLevy Efficiency: §Y79.2%§!\nRealm Size: §Y70§! through §Y74§!\n;;;;;;;;;;;;;x
dynlevy_12;78%;;;;;;;;;;;;;x
emf_ctt_dbg_dynlevy_12;Dynamic Levy Law: §Ydynlevy_12§!\nLevy Efficiency: §Y78%§!\nRealm Size: §Y75§! through §Y79§!\n;;;;;;;;;;;;;x
dynlevy_13;76.8%;;;;;;;;;;;;;x
emf_ctt_dbg_dynlevy_13;Dynamic Levy Law: §Ydynlevy_13§!\nLevy Efficiency: §Y76.8%§!\nRealm Size: §Y80§! through §Y84§!\n;;;;;;;;;;;;;x
dynlevy_14;75.6%;;;;;;;;;;;;;x
emf_ctt_dbg_dynlevy_14;Dynamic Levy Law: §Ydynlevy_14§!\nLevy Efficiency: §Y75.6%§!\nRealm Size: §Y85§! through §Y89§!\n;;;;;;;;;;;;;x
dynlevy_15;74.5%;;;;;;;;;;;;;x
emf_ctt_dbg_dynlevy_15;Dynamic Levy Law: §Ydynlevy_15§!\nLevy Efficiency: §Y74.5%§!\nRealm Size: §Y90§! through §Y94§!\n;;;;;;;;;;;;;x
dynlevy_16;73.5%;;;;;;;;;;;;;x
emf_ctt_dbg_dynlevy_16;Dynamic Levy Law: §Ydynlevy_16§!\nLevy Efficiency: §Y73.5%§!\nRealm Size: §Y95§! through §Y99§!\n;;;;;;;;;;;;;x
dynlevy_17;72.5%;;;;;;;;;;;;;x
