#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
## Events;;;;;;;;;;;;;;x
# The Arsiyah;;;;;;;;;;;;;;x
emf_holy.0.title;The Arsiyah;;;;;;;;;;;;;x
emf_holy.0.desc;(temp text) Originally part of Khazar military, The Arsiyah were a group of non-Arab Muslims who swore never to attack fellow Muslims. Blah, blah, etc.;;;;;;;;;;;;;x
emf_holy.0.a;They could be useful...;Il pourraient s'avérer utiles...;Sie könnten nützlich sein..;;Podrían ser útiles...;;;;;;;;;x
emf_holy.0.b;Mystic Soldiers? Pah!;Des soldats mystiques ? Pouah !;Mystische Soldaten? Pah!;;¿Soldados místicos? ¡Bah!;;;;;;;;;x
emf_holy.2.desc;My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Arsiyah so [From.GetSheHe] may fight the infidel! This will forever disinherit [From.GetHerHim] and [From.GetSheHe] will never disgrace the dynasty with [From.GetHerHis] decadence.;;;;;;;;;;;;;x
emf_holy.3.tt;[This.GetTitledFirstName] joins the Arsiyah.;;;;;;;;;;;;;x
emf_holy.8.desc;Most wise [Root.GetTitledFirstName], the Arsiyah needs more castles in order to train troops and generate a supporting income. It has come to my attention that there is a suitable location in your demesne - in [FromFrom.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\nPeace be upon you,\n\nGrand Master [From.GetFirstName];;;;;;;;;;;;;x
emf_holy.9.desc;The Arsiyah have constructed a castle in [Root.GetName]!;;;;;;;;;;;;;x
# The Saqaliba;;;;;;;;;;;;;;x
emf_holy.10.title;The Saqaliba;;;;;;;;;;;;;x
emf_holy.10.desc;(temp text) Hey, so there really should be cool flavor text here.;;;;;;;;;;;;;x
emf_holy.10.a;They could be useful...;Il pourraient s'avérer utiles...;Sie könnten nützlich sein..;;Podrían ser útiles...;;;;;;;;;x
emf_holy.10.b;Mystic Soldiers? Pah!;Des soldats mystiques ? Pouah !;Mystische Soldaten? Pah!;;¿Soldados místicos? ¡Bah!;;;;;;;;;x
emf_holy.12.desc;My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Saqaliba so [From.GetSheHe] may fight the infidel! This will forever disinherit [From.GetHerHim] and [From.GetSheHe] will never disgrace the dynasty with [From.GetHerHis] decadence.;;;;;;;;;;;;;x
emf_holy.13.tt;[This.GetTitledFirstName] joins the Saqaliba.;;;;;;;;;;;;;x
emf_holy.18.desc;Most wise [Root.GetTitledFirstName], the Saqaliba needs more castles in order to train troops and generate a supporting income. It has come to my attention that there is a suitable location in your demesne - in [FromFrom.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\nPeace be upon you,\n\nGrand Master [From.GetFirstName];;;;;;;;;;;;;x
emf_holy.19.desc;The Saqaliba have constructed a castle in [Root.GetName]!;;;;;;;;;;;;;x
# General Muslim Holy Order Events;;;;;;;;;;;;;;x
emf_holy.101.desc;Your Highness, this extremely generous donation will not be forgotten. You have my friendship, as well as that of our order. Rest assured that you will be rewarded in Heaven, if not on Earth!\nPax Christi,\n\nGrand Master [From.GetFirstName];;;;;;;;;;;;;x
