#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#### TOOLTIPS;;;;;;;;;;;;;;x
### Effects of Crown Authority;;;;;;;;;;;;;;x
emf_laws_ctt_enables_revokation_1;Enables sub-law §GTitle Revocation Allowed§!\n;;;;;;;;;;;;;x
emf_laws_ctt_enables_king_peace_1;Enables sub-law §GInternal King's Peace§!\n;;;;;;;;;;;;;x
emf_laws_ctt_enables_revokation_2;Enables sub-law §GFree Infidel Title Revocation§!\n;;;;;;;;;;;;;x
emf_laws_ctt_enables_succ_seniority;Enables law §GSeniority Succession§!\n;;;;;;;;;;;;;x
emf_laws_ctt_enables_dejure_duchy_claim;Enables casus belli §GDe Jure Duchy Claim§!\n;;;;;;;;;;;;;;x
emf_laws_ctt_enables_subjugation_duke;Enables casus belli §GSubjugation§! against §GDUKE§! targets\n;;;;;;;;;;;;;x
emf_laws_ctt_enables_inheritance_1;Enables sub-law §GProtected Inheritance§!\n;;;;;;;;;;;;;x
emf_laws_ctt_enables_succ_primogeniture;Enables law §GPrimogeniture Succession§!\n;;;;;;;;;;;;;x
emf_laws_ctt_enables_succ_ultimogeniture;Enables law §GUltimogeniture Succession§!\n;;;;;;;;;;;;;x
emf_laws_ctt_prevents_internal_military_plots;Prevents internal vassal military plots\n;;;;;;;;;;;;;x
emf_laws_ctt_enables_subjugation_king;Enables casus belli §GSubjugation§! against §GKING§! targets\n;;;;;;;;;;;;;x
emf_laws_ctt_enables_king_peace_2;Enables law §GComplete King's Peace§!\n;;;;;;;;;;;;;x
emf_laws_ctt_enables_imperial_administration;Enables law §GImperial Administration§!\n;;;;;;;;;;;;;x
emf_laws_ctt_opinion_increase_authority;Opinion penalty of §R-15§! from all rulers affected by the crown laws of §Y[This.GetBaseName]§! for §Y10§! years\n;;;;;;;;;;;;;x
### Triggers;;;;;;;;;;;;;;x
emf_laws_ctt_ca_change_cooldown;Crown Authority for §Y[This.GetBaseName]§! may only be raised once per lifetime\n;;;;;;;;;;;;;x
emf_laws_ctt_investiture_change_cooldown;Investiture law for §Y[This.GetBaseName]§! may only be changed once per lifetime\n;;;;;;;;;;;;;x
emf_laws_ctt_republic_unlocked;Crown authority has been unlocked for merchant republics (customization decision)\n;;;;;;;;;;;;;;x
emf_laws_ctt_no_crown_law_title;§Y[This.GetFullName]§! has no crown law title affecting it.\n;;;;;;;;;;;;;x
emf_laws_ctt_limited_ca_plus_raw;Has at least §GLimited Crown Authority§!\n;;;;;;;;;;;;;x
emf_laws_ctt_medium_ca_plus_raw;Has at least §GMedium Crown Authority§!\n;;;;;;;;;;;;;x
emf_laws_ctt_high_ca_plus_raw;Has at least §GHigh Crown Authority§!\n;;;;;;;;;;;;;x
#### LAWS;;;;;;;;;;;;;;x
mr_crown_authority_2;Medium Crown Authority;;;;;;;;;;;;;x
mr_crown_authority_3;High Crown Authority;;;;;;;;;;;;;x
mr_crown_authority_4;Absolute Crown Authority;;;;;;;;;;;;;x
### Tribal Laws;;;;;;;;;;;;;;x
tribal_slider;Tribal Focus;;;;;;;;;;;;;x
tribal_slider_desc;Tribal Focus changes the composition of their obligations to you.;;;;;;;;;;;;;x
tribal_slider_0;Highly Levy Oriented Tribal Focus;;;;;;;;;;;;;x
tribal_slider_0_option;Levies++;;;;Levas++;;;;;;;;;x
tribal_slider_0_desc;Tribal Focus changes the composition of their obligations to you. At this level you would be forgoing tax for the sake of levies to a major extent.;;;;;;;;;;;;;x
tribal_slider_1;Moderately Levy Oriented Tribal Focus;;;;;;;;;;;;;x
tribal_slider_1_option;Levies+;;;;Levas+;;;;;;;;;x
tribal_slider_1_desc;Tribal Focus changes the composition of their obligations to you. At this level you would be forgoing tax for the sake of levies to some extent.;;;;;;;;;;;;;x
tribal_slider_2;Balanced Tribal Focus;;;;;;;;;;;;;x
tribal_slider_2_option;Balanced;;;;Equilibrado;;;;;;;;;x
tribal_slider_2_desc;Tribal Focus changes the composition of their obligations to you. At this level you would not be focusing on any area.;;;;;;;;;;;;;x
tribal_slider_3;Moderately Tax Oriented Tribal Focus;;;;;;;;;;;;;x
tribal_slider_3_option;Taxes+;;;;Dinero+;;;;;;;;;x
tribal_slider_3_desc;Tribal Focus changes the composition of their obligations to you. At this level you would be forgoing levies for the sake of tax to some extent.;;;;;;;;;;;;;x
tribal_slider_4;Highly Tax Oriented Tribal Focus;;;;;;;;;;;;;x
tribal_slider_4_option;Taxes++;;;;Dinero++;;;;;;;;;x
tribal_slider_4_desc;Tribal Focus changes the composition of their obligations to you. At this level you would be forgoing levies for the sake of tax to a major extent.;;;;;;;;;;;;;x
tribal_obligations;Tribal Obligations;;;;;;;;;;;;;x
tribal_obligations_desc;Obligations determine how much your vassals of that type have to provide to you, increasing both tax and levies.;;;;;;;;;;;;;x
tribal_obligations_0;Minimal Tribal Obligations;;;;;;;;;;;;;x
tribal_obligations_0_option;Min;;;;Min--;;;;;;;;;x
tribal_obligations_0_desc;Obligations determine how much your vassals of that type have to provide to you, increasing both tax and levies. At this level they will not provide you anything beyond what the slider dictates.;;;;;;;;;;;;;x
tribal_obligations_1;Low Tribal Obligations;;;;;;;;;;;;;x
tribal_obligations_1_option;Low;;;;Min-;;;;;;;;;x
tribal_obligations_1_desc;Obligations determine how much your vassals of that type have to provide to you, increasing both tax and levies. At this level they will provide you a bit more than what the sliders dictate.;;;;;;;;;;;;;x
tribal_obligations_2;Medium Tribal Obligations;;;;;;;;;;;;;x
tribal_obligations_2_option;Medium;;;;Med;;;;;;;;;x
tribal_obligations_2_desc;Obligations determine how much your vassals of that type have to provide to you, increasing both tax and levies. At this level they will provide you a moderate amount more than what the sliders dictate.;;;;;;;;;;;;;x
tribal_obligations_3;High Tribal Obligations;;;;;;;;;;;;;x
tribal_obligations_3_option;High;;;;Max+;;;;;;;;;x
