#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#### EVENTS;;;;;;;;;;;;;;x
emf_ambitions.0.desc;I can feel their eyes upon me everywhere I go: disappointment, despise. I gathered my vassals and, upon my honor, pledged peace for my realm. Now, I've broken that pledge. My reasons be damned: they won't listen, and my reputation amongst them and the greater realm will suffer for my trespass.;;;;;;;;;;;;;x
emf_ambitions.0.opt.a;I suppose that's the price I must pay.;;;;;;;;;;;;;x
#### OBJECTIVES;;;;;;;;;;;;;;x
obj_find_hobby_title;Find a Hobby;;;;;;;;;;;;;x
obj_find_hobby_desc;[This.GetTitledFirstName] desires to get involved in some sort of hobby.;;;;;;;;;;;;;x
obj_win_war_title;Win a War;;;;;;;;;;;;;x
obj_win_war_desc;[This.GetTitledFirstName] would like to win a war.;;;;;;;;;;;;;x
emf_ctt_obj_win_war;§Y[This.GetTitledFirstName]§! wins a war.;;;;;;;;;;;;;x
obj_win_holy_war_title;Win a Holy War;;;;;;;;;;;;;x
obj_win_holy_war_desc;[This.GetTitledFirstName] would like to crush the infidel under his boot and win a holy war.;;;;;;;;;;;;;x
emf_ctt_obj_win_holy_war;§Y[This.GetTitledFirstName]§! wins a religious war.;;;;;;;;;;;;;x
obj_pledge_peace_title;Pledge Peace for 15 Years;;;;;;;;;;;;;x
obj_pledge_peace_desc;[This.GetTitledFirstName] commits to no offensive war for 15 years. In return, [This.GetSheHe] will appreciate improved vassal opinion and a liege levy boost for the pledge's duration. [This.GetSheHeCap] will face a stiff penalty if [This.GetHerHis] pledge is broken. Answering allies' calls to arms is still permitted during the pledge.;;;;;;;;;;;;;x
emf_ctt_obj_pledge_peace;§Y[This.GetTitledFirstName]§! upholds [This.GetHerHis] pledge of peace for §Y15§! years, waging no offensive wars.;;;;;;;;;;;;;x
emf_peace_pledge;Peace Pledge;;;;;;;;;;;;;x
emf_peace_pledge_aborted;Broken Peace Pledge;;;;;;;;;;;;;x
obj_independence_title;Become Independent;;;;;;;;;;;;;x
obj_independence_desc;[This.GetTitledFirstName] wants to become independent of [This.GetHerHis] liege.;;;;;;;;;;;;;x
obj_become_duke_title;Become Duke;;;;;;;;;;;;;x
obj_become_duke_desc;[This.GetTitledFirstName] wants to rule over [This.GetHerHis] own duchy.;;;;;;;;;;;;;x
obj_become_superduke_title;Become a Super-Duke;;;;;;;;;;;;;x
obj_become_superduke_desc;[This.GetTitledFirstName] is not content with a single duchy title, and [This.GetSheHeCap] wants another.;;;;;;;;;;;;;x
obj_become_emperor_title;Become Emperor;;;;;;;;;;;;;x
obj_become_emperor_desc;[This.GetTitledFirstName] shall hold the most prestigious of titles and become an emperor.;;;;;;;;;;;;;x
