#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
## Decisions
emf_prisoner_house_arrest;Put under House Arrest;;;;;;;;;;;;;x
emf_prisoner_house_arrest_desc;As your prisoner, §Y[Root.GetTitledName]§! can be put under house arrest.;;;;;;;;;;;;;x
emf_prisoner_oubliette;Throw into Oubliette;;;;;;;;;;;;;x
emf_prisoner_oubliette_desc;As your prisoner, §Y[Root.GetTitledName]§! can be thrown into the Oubliette.;;;;;;;;;;;;;x
emf_prisoner_dungeon;Move to Dungeon;;;;;;;;;;;;;x
emf_prisoner_dungeon_desc;As your prisoner, §Y[Root.GetTitledName]§! can be moved into a regular dungeon cell.;;;;;;;;;;;;;x
## Events
# House Arrest event
emf_prisoners.20.desc_dungeon;[Root.Host.GetTitledFirstName] has decided to let me out of this filthy dungeon and put me under house arrest. I am even now being moved to a nice room in a tower.;;;;;;;;;;;;;x
emf_prisoners.20.desc_oubliette;[Root.Host.GetTitledFirstName] has decided I am to be let out of my hellish, stinking cell and instead put under house arrest. I think I shall need a bath first.;;;;;;;;;;;;;x
emf_prisoners.20.desc_kid;[Root.Host.GetTitledFirstName] is going to move me out of this cell! That's great! I've been very bored in my cell. It's dirty and there's nobody worth playing with.;;;;;;;;;;;;;x
emf_prisoners.20.desc_incapable;Light brightens your room and strange people fuss over you. [Root.Host.GetTitledFirstName] has decided to put you under house arrest, but you still struggle feebly against the people trying to move you.;;;;;;;;;;;;;x
emf_prisoners.20.a_adult;Praise [Root.Religion.GetRandomGodName]!;[Root.Religion.GetRandomGodName] soit loué !;Gelobt sei [Root.Religion.GetRandomGodName]!;;¡Alaba a [Root.Religion.GetRandomGodName]!;;;;;;;;;x
emf_prisoners.20.a_kid;Maybe there'll be toys?;;;;;;;;;;;;;x
emf_prisoners.20.a_incapable;*incomprehensible sounds*;;;;;;;;;;;;;x
# Oubliette event
emf_prisoners.21.desc_house;[Root.Host.GetTitledFirstName] has decided I should be taken from my comfortable room in the tower and down into the Oubliette! This will truly be the end of me.;;;;;;;;;;;;;x
emf_prisoners.21.desc_dungeon;[Root.Host.GetTitledFirstName] has decided I am be taken from my cell and down into the Oubliette! What could I have done to deserve this fate?;;;;;;;;;;;;;x
emf_prisoners.21.desc_kid_house;[Root.Host.GetTitledFirstName] wants to take me out of my nice room! [Root.Host.GetSubjectPronoun] sent men with swords and everything. I don't want to go.;;;;;;;;;;;;;x
emf_prisoners.21.desc_kid_dungeon;[Root.Host.GetTitledFirstName] is taking me to something called the oo-blay-ate. I don't know what that is, but I don't wanna go. I just made friends with a rat, and they won't let me take him with me.;;;;;;;;;;;;;x
emf_prisoners.21.desc_incapable;Some strange men come into your room and grab you. [Root.Host.GetTitledFirstName] is having you moved into the Oubliette, but you can't understand what they're doing. You go along with it anyway.;;;;;;;;;;;;;x
emf_prisoners.21.a_adult;[Root.Religion.GetRandomGodNameCap] have mercy...;[Root.Religion.GetRandomGodNameCap], ayez pitié de moi...;[Root.Religion.GetRandomGodNameCap], sei gnädig ...;;Que [Root.Religion.GetRandomGodNameCap] se apiade...;;;;;;;;;x
emf_prisoners.21.a_kid_house;Maybe they'll let me take my wooden pony.;;;;;;;;;;;;;x
emf_prisoners.21.a_kid_dungeon;No! Mister Wiggles!;;;;;;;;;;;;;x
emf_prisoners.21.a_incapable;*grumble quietly*;;;;;;;;;;;;;x
# Dungeon event
emf_prisoners.22.desc_house;[Root.Host.GetTitledFirstName] has decided I should be taken from my comfortable room in the tower and returned to a dungeon cell! Surely this is unnecessary?;;;;;;;;;;;;;x
emf_prisoners.22.desc_oubliette;[Root.Host.GetTitledFirstName] has decided I shall be allowed out of the cursed oubliette and put into a regular cell. It's not much of an improvement.;;;;;;;;;;;;;x
emf_prisoners.22.a_house;[Root.Religion.GetRandomGodNameCap] preserve me!;;;;;;;;;;;;;x
emf_prisoners.22.a_oubliette;Thank [Root.Religion.GetRandomGodName] for small mercies.;;;;;;;;;;;;;x
## Tooltips
emf_prisoner_house_arrest_tt;§Y[Root.GetTitledFirstName]§! will be treated better, but security will also be more relaxed.\n\n;;;;;;;;;;;;;x
emf_prisoner_oubliette_tt_adult;§Y[Root.GetTitledFirstName]'s§! health will greatly suffer, and [Root.GetSubjectPronoun] will be very unlikely to escape.\n\n;;;;;;;;;;;;;x
emf_prisoner_oubliette_tt_kid;§Y[Root.GetTitledFirstName]'s§! health will greatly suffer, and [Root.GetSubjectPronoun] will be very unlikely to escape. Because [Root.GetSubjectPronoun] is a child, this will be seen as cruel.\n\n;;;;;;;;;;;;;x
emf_prisoner_oubliette_tt_jain_ahimsa;Because this act violates the Jain doctrine of Ahimsa, or non-violence, you will lose §R30.00§! [From.Religion.GetPietyName].\n\n;;;;;;;;;;;;;x
emf_prisoner_dungeon_tt_worse;§Y[Root.GetTitledFirstName]'s§! health will suffer, and [Root.GetSubjectPronoun] will be less likely to escape.\n\n;;;;;;;;;;;;;x
emf_prisoner_dungeon_tt_better;§Y[Root.GetTitledFirstName]§! will be treated slightly better and still be unlikely to escape.\n\n;;;;;;;;;;;;;x
