#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
CB_NAME_LEGALIZE_COOPERATION;Permit Vassal Cooperation;;;;;;;;;;;;;x
WAR_NAME_LEGALIZE_COOPERATION;$ORDER$$SECOND_ADJ$ Civil War to Permit Vassal Cooperation in $OTHER_TITLE$;;;;;;;;;;;;;x
af_legalize_cooperation_desc;§Y[This.GetBestName]§! can declare open rebellion to force §Y[This.Liege.GetBestName]§! to legalize autonomous vassal cooperation throughout the de facto §Y[This.Liege.PrimaryTitle.GetFullName]§!.;;;;;;;;;;;;;x
emf_ctt_no_liege_in_revolt;§Y[From.GetBestName]§!, as well as any of [From.GetHerHis] own lieges, are not in open revolt.;;;;;;;;;;;;;x
vf_leader;Vassals Faction Leader;;;;;;;;;;;;;x
vf_veteran;Vassal Leadership Veteran;;;;;;;;;;;;;x
dbg_tier_duke_ctt;      §Btier = DUKE§!\n;;;;;;;;;;;;;x
dbg_tier_king_ctt;      §Gtier = KING§!\n;;;;;;;;;;;;;x
dbg_tier_emperor_ctt;      §Ptier = EMPEROR§!\n;;;;;;;;;;;;;x
dbg_real_tier_duke_ctt;      §Breal_tier = DUKE§!\n;;;;;;;;;;;;;x
dbg_real_tier_king_ctt;      §Greal_tier = KING§!\n;;;;;;;;;;;;;x
dbg_real_tier_emperor_ctt;      §Preal_tier = EMPEROR§!\n;;;;;;;;;;;;;x
dbg_independent_ctt;      §Gindependent = yes§!\n;;;;;;;;;;;;;x
dbg_no_independent_ctt;      §Pindependent = no§!\n;;;;;;;;;;;;;x
dbg_in_revolt_ctt;      §Rin_revolt = yes§!\n;;;;;;;;;;;;;x
dbg_no_in_revolt_ctt;      §Gin_revolt = no§!\n;;;;;;;;;;;;;x
dbg_de_facto_liege_from_ctt;      de_facto_liege = §Y[From.GetBestName]§!\n;;;;;;;;;;;;;x
dbg_de_facto_liege_fromfrom_ctt;      de_facto_liege = §Y[FromFrom.GetBestName]§!\n;;;;;;;;;;;;;x
dbg_temporary_ctt;      §Gtemporary = yes§!\n;;;;;;;;;;;;;x
dbg_no_temporary_ctt;      §Ptemporary = no§!\n;;;;;;;;;;;;;x
dbg_primary_ctt;      §Gis_primary_type_title = yes§!\n;;;;;;;;;;;;;x
dbg_no_primary_ctt;      §Pis_primary_type_title = no§!\n;;;;;;;;;;;;;x
dbg_landless_ctt;      §Gis_landless_type_title = yes§!\n;;;;;;;;;;;;;x
dbg_no_landless_ctt;      §Pis_landless_type_title = no§!\n;;;;;;;;;;;;;x
dbg_rebel_ctt;      §Prebel = yes§!\n;;;;;;;;;;;;;x
dbg_no_rebel_ctt;      §Prebel = no§!\n;;;;;;;;;;;;;x
dbg_char_ctt;\nTriggers for §Y[This.GetBestName]§!:\n;;;;;;;;;;;;;x
dbg_scope_ctt;\nScopes for §Y[This.GetBestName]§!:\n;;;;;;;;;;;;;x
dbg_scope_liege_ctt;\n   liege: §Y[This.GetBestName]§!\n;;;;;;;;;;;;;x
dbg_scope_top_liege_ctt;\n   top_liege: §Y[This.GetBestName]§!\n;;;;;;;;;;;;;x
dbg_scope_liege_b4_war_ctt;\n   liege_before_war: §Y[This.GetBestName]§!\n;;;;;;;;;;;;;x
dbg_scope_primary_ctt;\n    primary_title: §Y[This.GetFullName]§!\n;;;;;;;;;;;;;x
dbg_scope_realm_ctt;\n    realm = §Y[This.GetFullName]§!\n;;;;;;;;;;;;;x
