#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
###################################
#### UTILITY CUSTOM TOOLTIPS   ####
###################################
BREAK_TT;\n;;;;;;;;;;;;;x
BREAKBREAK_TT;\n\n;;;;;;;;;;;;;x
COLOR_END_TT;§!;;;;;;;;;;;;;x
GREEN_START_TT;§G;;;;;;;;;;;;;x
LT_YELLOW_START_TT;§M;;;;;;;;;;;;;x
PINK_START_TT;§P;;;;;;;;;;;;;x
RED_START_TT;§R;;;;;;;;;;;;;x
YELLOW_START_TT;§Y;;;;;;;;;;;;;x
###################################
#### CUSTOM TOOLTIPS           ####
###################################
IS_DE_JURE_TITLE_TT;Title is NOT titular\n;;;;;;;;;;;;;x
OWNER_UNDER_ROOT_TT;In §Y[Root.GetBestName]§!'s subrealm\n;;;;;;;;;;;;;x
OWNER_UNDER_FROM_TT;In §Y[From.GetBestName]§!'s subrealm\n;;;;;;;;;;;;;x
OWNER_UNDER_FROMFROM_TT;In §Y[FromFrom.GetBestName]§!'s subrealm\n;;;;;;;;;;;;;x
OWNER_UNDER_PREV_TT;In §Y[Prev.GetBestName]§!'s subrealm\n;;;;;;;;;;;;;x
OWNER_UNDER_PREVPREV_TT;In §Y[PrevPrev.GetBestName]§!'s realm\n;;;;;;;;;;;;;x
UNDER_ROOT_TT;§Y[Root.GetBestName]§! or under [Root.GetObjectPronoun]\n;;;;;;;;;;;;;x
UNDER_FROM_TT;§Y[From.GetBestName]§! or under [From.GetObjectPronoun]\n;;;;;;;;;;;;;x
UNDER_FROMFROM_TT;§Y[FromFrom.GetBestName]§! or under [FromFrom.GetObjectPronoun]\n;;;;;;;;;;;;;x
UNDER_PREV_TT;§Y[Prev.GetBestName]§! or under [Prev.GetObjectPronoun]\n;;;;;;;;;;;;;x
UNDER_PREVPREV_TT;§Y[PrevPrev.GetBestName]§! or under [PrevPrev.GetObjectPronoun]\n;;;;;;;;;;;;;x
