#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#### DECISIONS ####
emf_autolander;Grant Recently Acquired Land;;;;;;;;;;;;;x
emf_autolander_desc;For each recently-acquired province in your demesne that is not within your capital duchy, you will be prompted about whether to automatically distribute its titles. You may individually skip any such province in the process, leaving manual management of the province to you. No titles higher than count-tier will ever be distributed.;;;;;;;;;;;;;x
emf_autolander_low_prio;Grant Recently Acquired Land;;;;;;;;;;;;;x
emf_autolander_low_prio_desc;For each recently-acquired province in your demesne that is not within your capital duchy, you will be prompted about whether to automatically distribute its titles. You may individually skip any such province in the process, leaving manual management of the province to you. No titles higher than count-tier will ever be distributed.;;;;;;;;;;;;;x
emf_autolander_auto;Grant Recently Acquired Land;;;;;;;;;;;;;x
emf_autolander_auto_desc;For each recently-acquired province in your demesne that is not within your capital duchy, automatically grant the province's titles to new characters until you no longer exceed your demesne limit. If you want to keep granting beyond that point (below your demesne limit), invoke the decision again. Note that this automatic behavior is specific to multiplayer: in singleplayer, among numerous other differences, you are prompted about each province before granting it.;;;;;;;;;;;;;x
emf_autolander_auto_low_prio;Grant Recently Acquired Land (All);;;;;;;;;;;;;x
emf_autolander_auto_low_prio_desc;For each recently-acquired province in your demesne that is not within your capital duchy, automatically grant the province's titles to new characters (regardless of excess demesne capacity). Note that this automatic behavior is specific to multiplayer: in singleplayer, among numerous other differences, you are prompted about each province before granting it.;;;;;;;;;;;;;x
emf_autolander_spare_prov;Keep [Root.job_chancellor.Location.GetName];;;;;;;;;;;;;x
emf_autolander_spare_prov_desc;Remove the 'Recently Acquired' modifier from the province of [Root.job_chancellor.Location.GetName].\nThis will prevent it from being considered by the 'Grant Recently Acquired Land' decision.;;;;;;;;;;;;;x
emf_autolander_grant_county;Grant County;;;;;;;;;;;;;x
emf_autolander_grant_county_desc;You may grant [Root.Location.GetName] to a new steward or military governor either of your own culture and religion or of the local provincial culture and religion, if different.;;;;;;;;;;;;;x
emf_autolander_grant_county_mp;Grant County (Administrator);;;;;;;;;;;;;x
emf_autolander_grant_county_mp_desc;You may grant [Root.Location.GetName] to a capable, new [From.Culture.GetName]-[From.Religion.GetName] steward.;;;;;;;;;;;;;x
emf_autolander_grant_county_mp_soldier;Grant County (Military Governor);;;;;;;;;;;;;x
emf_autolander_grant_county_mp_soldier_desc;You may grant [Root.Location.GetName] to a capable, new [From.Culture.GetName]-[From.Religion.GetName] military governor.;;;;;;;;;;;;;x
#### EVENTS ####
emf_autolander.6.desc;Grant the province [target_county.Location.GetName]?\n\nDuchy: [target_county.Duchy.GetBaseName]\nKingdom: [target_county.Kingdom.GetBaseName];;;;;;;;;;;;;x
emf_autolander.6.opt.a;Give it to a random, new [Root.Culture.GetName] noble;;;;;;;;;;;;;x
emf_autolander.6.opt.b;Give to [FromFromFrom.GetTitledName];;;;;;;;;;;;;x
emf_autolander.6.opt.c;Give to [FromFrom.GetTitledName];;;;;;;;;;;;;x
emf_autolander.6.opt.d;Skip;;;;;;;;;;;;;x
emf_autolander.20.desc;Would you like to grant [target_prov.GetName] and any owned subholdings in it to a steward or a military governor?;;;;;;;;;;;;;x
emf_autolander.20.opt.marshal;A military governor.;;;;;;;;;;;;;x
emf_autolander.20.opt.steward;A capable steward.;;;;;;;;;;;;;x
emf_autolander.21.desc;You may choose to hire a [Root.Culture.GetName]-[Root.Religion.GetName] noble to govern [target_prov.GetName] at a cost, or you may appoint a local leader from [target_prov.GetName] to govern. Which will it be?;;;;;;;;;;;;;x
emf_autolander.21.desc_matching_culrel;Since the provincial culture and religion of [target_prov.GetName] is the same as your own, you may appoint a local to govern at no cost.;;;;;;;;;;;;;x
emf_autolander.21.opt.my_culrel;Send a [Root.Culture.GetName]-[Root.Religion.GetName].;;;;;;;;;;;;;x
