#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#### CHARACTER MODIFIERS ####
do_not_disturb;Currently Busy;;;;;;;;;;;;;x
emf_mod_recent_succession;Recent Succession;;;;;;;;;;;;;x
emf_mod_recent_succession_desc;This character has recently undergone succession.;;;;;;;;;;;;;x
emf_mod_recent_succession_t1;Recent Succession (Tier 1);;;;;;;;;;;;;x
emf_mod_recent_succession_t2;Recent Succession (Tier 2);;;;;;;;;;;;;x
emf_mod_recent_succession_t3;Recent Succession (Tier 3);;;;;;;;;;;;;x
emf_mod_recent_succession_t4;Recent Succession (Tier 4);;;;;;;;;;;;;x
emf_mod_recent_succession_t1_desc;;;;;;;;;;;;;;x
emf_mod_recent_succession_t2_desc;;;;;;;;;;;;;;x
emf_mod_recent_succession_t3_desc;;;;;;;;;;;;;;x
emf_mod_recent_succession_t4_desc;;;;;;;;;;;;;;x
#### DECISIONS ####
convert_tribal_to_castle_desc;I can upgrade the [Root.GetFullName] to a proper castle settlement.;;;;;;;;;;;;;x
convert_tribal_to_city_desc;I can upgrade the [Root.GetFullName] to a proper city settlement.;;;;;;;;;;;;;x
emf_bring_child_home;Bring Child Home;;;;;;;;;;;;;x
emf_bring_child_home_desc;Bring a wayward child home.;;;;;;;;;;;;;x
emf_bring_child_home_named;Bring [Root.GetFirstName] home.;;;;;;;;;;;;;x
emf_convert_tribal_to_temple;Upgrade to Temple;;;;;;;;;;;;;x
emf_convert_tribal_to_temple_named;Upgrade [Root.GetName] to a Temple;;;;;;;;;;;;;x
emf_convert_tribal_to_temple_desc;I can upgrade the [Root.GetFullName] to a proper temple settlement.;;;;;;;;;;;;;x
emf_court_banishment;Banish from Court;;;;;;;;;;;;;x
emf_court_banishment_desc;As your guest at court, §Y[Root.GetTitledName]§! can be sent away if [Root.GetSubjectPronoun] is not a prisoner, a child, or working for you in an official capacity.;;;;;;;;;;;;;x
emf_court_banishment_named;Banish [Root.GetFirstName] from your court.;;;;;;;;;;;;;x
emf_customize_aae;Add Ahistorical Empires;;;;;;;;;;;;;x
emf_customize_aae_desc;By default, EMF starts with only historically de jure empires (Holy Roman Empire, Byzantine Empire, and Persian Empire). Enacting this scenario customization decision will additionally activate the map's usual ahistorical de jure empires.\n\nIf you choose this option, you may still reverse it immediately if you so desire.\n\n§MNOTE:§! The custom kingdom/empire formation decisions are always available to players regardless of the choice to add/remove ahistorical de jure empires (and always disabled for the AI regardless of this setting as well).;;;;;;;;;;;;;x
emf_customize_nae;Remove Ahistorical Empires;;;;;;;;;;;;;x
emf_customize_nae_desc;Remove ahistorical de jure empires: only the Holy Roman Empire, the Byzantine Empire, and the Persian Empire will remain de jure and activated.\n\nIf you choose this option, you may still reverse it immediately if you so desire.\n\n§MNOTE:§! The custom kingdom/empire formation decisions are always available to players regardless of the choice to add/remove ahistorical de jure empires (and always disabled for the AI regardless of this setting as well).;;;;;;;;;;;;;x
emf_toggle_customization;Toggle Customization Decisions;;;;;;;;;;;;;x
emf_toggle_customization_desc;Hide/show various customization decisions.;;;;;;;;;;;;;x
emf_toggle_employment;Toggle Employment Decisions;;;;;;;;;;;;;x
emf_toggle_employment_desc;Hide/show character employment decisions.;;;;;;;;;;;;;x
emf_employ_soldier;Invite Soldier to Court;;;;Invita a un soldado a la corte;;;;;x
