#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
dynlevy0;Levy Efficiency;;;;Eficiencia de Levas;;;;;;;;;x
dynlevy0_desc;As your realm grows, your liege levy will grow with it. But by how much?;;;;Conforme crece tu feudo, tus levas señoriales crecen con el. ¿Pero cuanto?;;;;;;;;;x
dynlevy0_0;100% Realm Levy-Raising Efficiency;;;;Eficiencia de levas del reino del 100%;;;;;;;;;x
dynlevy0_0_option;100%;;;;;;;;;;;;;x
dynlevy0_0_desc;In a decentralized feudal system, rulers of large realms are less efficient at raising liege levies than rulers of smaller realms. Demesne levies are unaffected.\n\nSmaller realms pack a harder punch per capita, all else being equal. For larger realms to compete per capita, they inevitably must centralize.;;;;En un sistema feudal descentralizado, los gobernantes de grandes reinos son menos eficientes recaudando impuestos feudales que los gobernantes de reinos más pequeños. Los impuestos de la heredad no se ven afectados.\n\nLos reinos más pequeños tienen un impacto más duro per cápita, en igualdad de condiciones. Para que los reinos más grandes compitan per cápita, inevitablemente deben centralizarse.;;;;;;;;;x
dynlevy1;Levy Efficiency;;;;Eficiencia de Levas;;;;;;;;;x
dynlevy1_desc;As your realm grows, your liege levy will grow with it. But by how much?;;;;Conforme crece tu feudo, tus levas señoriales crecen con el. ¿Pero cuanto?;;;;;;;;;x
dynlevy1_0;97.4% Realm Levy-Raising Efficiency;;;;Eficiencia de levas del reino del 97.4%;;;;;;;;;x
dynlevy1_0_option;97.4%;;;;;;;;;;;;;x
dynlevy1_0_desc;In a decentralized feudal system, rulers of large realms are less efficient at raising liege levies than rulers of smaller realms. Demesne levies are unaffected.\n\nSmaller realms pack a harder punch per capita, all else being equal. For larger realms to compete per capita, they inevitably must centralize.;;;;En un sistema feudal descentralizado, los gobernantes de grandes reinos son menos eficientes recaudando impuestos feudales que los gobernantes de reinos más pequeños. Los impuestos de la heredad no se ven afectados.\n\nLos reinos más pequeños tienen un impacto más duro per cápita, en igualdad de condiciones. Para que los reinos más grandes compitan per cápita, inevitablemente deben centralizarse.;;;;;;;;;x
dynlevy2;Levy Efficiency;;;;Eficiencia de Levas;;;;;;;;;x
dynlevy2_desc;As your realm grows, your liege levy will grow with it. But by how much?;;;;Conforme crece tu feudo, tus levas señoriales crecen con el. ¿Pero cuanto?;;;;;;;;;x
