#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#### DECISIONS ####
emf_create_custom_empire;Form a New Empire;;;;;;;;;;;;;x
emf_create_custom_empire_desc;Create a custom, titular empire. It will retain your current coat of arms (flag) and have a similar map color as your current primary kingdom title, among other dynamically-derived properties relating to your present primary title.;;;;;;;;;;;;;x
emf_create_custom_kingdom;Form a New Kingdom;;;;;;;;;;;;;x
emf_create_custom_kingdom_desc;Create a custom, titular kingdom. It will retain your current coat of arms (flag) and have a similar map color as your current primary duchy title, among other dynamically-derived properties relating to your present primary title.;;;;;;;;;;;;;x
emf_create_hre;Form the Holy Roman Empire;;;;;;;;;;;;;x
emf_create_hre_desc;Reclaim Charlemagne's legacy as the protector of Rome and found the Holy Roman Empire.;;;;;;;;;;;;;x
emf_create_french_hre;Form the Saint-Empire Romain;;;;;;;;;;;;;x
emf_create_french_hre_desc;Reclaim Charlemagne's legacy as the protector of Rome and found the Saint-Empire Romain, a western/frankish/latin-centric alternative HRE.;;;;;;;;;;;;;x
emf_restore_byzantium;Restore Byzantium;;;;;;;;;;;;;x
emf_restore_byzantium_desc;Restore the Byzantine Empire. The Roman Empire shall not be forgotten by history!;;;;;;;;;;;;;x
#### EVENTS ####
emf_empires.0.desc;These are dark times. It is true, and I weep for the realm for its truth: the Empire has been broken. I can no longer foolishly claim the title. To do so would be comedy at best and sacrilege at worst...;;;;;;;;;;;;;x
emf_empires.0.opt.a;It's time for a change.;;;;;;;;;;;;;x
#### REGIONS ####
emf_region_mongol_core;Mongol Conquest Zone (Core);;;;;;;;;;;;;x
emf_region_mongol_core_fringe;Mongol Conquest Zone (Core Fringe);;;;;;;;;;;;;x
emf_region_mongol_extended;Mongol Conquest Zone (Extended);;;;;;;;;;;;;x
emf_region_mongol_full;Mongol Conquest Zone;;;;;;;;;;;;;x
#### OPINION MODIFIERS ####
opinion_aim1_tracking;Considering Invason;;;;;;;;;;;;;x
opinion_aim1_potential_target;May Need to Conquer;;;;;;;;;;;;;x
#### TOOLTIPS ####
emf_empires_ctt_byz_valid_religion;Religion is Orthodox, Bogomilist, Monothelite, or Iconoclast\n;;;;;;;;;;;;;x
emf_empires_ctt_byz_valid_religion_player;Religion is Nestorian, Messalian, Apostolic, Paulician, Tondrakian, Miaphysite, Monophysite, or Maronite\n;;;;;;;;;;;;;x
emf_empires_ctt_can_afford_dj_empire_creation;Can afford cost of §Y600§!¤ and §Y400§! [This.Religion.GetPietyName]\n;;;;;;;;;;;;;x
emf_empires_ctt_completely_controls_byzantium_counties;All counties within §YConstantinople§!'s de jure kingdom, §Y[This.GetBaseName]§!, are under §Y[Root.GetBestName]§!\n;;;;;;;;;;;;;x
emf_empires_ctt_completely_controls_constantinople_besides_hagiasophia;Completely controls §YConstantinople§! and its holdings, besides §YHagia Sophia§!\n;;;;;;;;;;;;;x
emf_empires_ctt_hagiasophia_under_ROOT_or_held_by_patriarch_if_orthodox;§YHagia Sophia§!: Within the realm of §Y[Root.GetBestName]§! OR, if [Root.GetPossPronoun] religion is Orthodox, held by the §YEcumenical Patriarchate§!\n;;;;;;;;;;;;;x
