#CODE;ENGLISH;;;;;;;;;;;;;x
#
# HERESY MAIN
#
#
# HERESY MODIFIERS
#
#
# HERESY TOOLTIPS
#
CRUSADE_KEEP_TITLES;[Root.GetTitledFirstName] will become the independent ruler of §Yall lands taken in the Crusade§!.\n;;;;;;;;;;;;;x
CRUSADE_RELINQUISH_TITLES;[Root.GetTitledFirstName] will relinquish [Root.GetHerHis] §Yprevious holdings§! and become the independent ruler of §Yall lands taken in the Crusade§!.\n;;;;;;;;;;;;;x
GRANTED_CRUSADE_FIEF;Might be granted a fief in the captured lands\n;;;;;;;;;;;;;x
RANDOM_WILL_INHERIT_CRUSADE_KINGDOM;A landless knight will become the independent ruler of §Yall lands taken in the Crusade§!.\n;;;;;;;;;;;;;x
WILL_INHERIT_CRUSADE_KINGDOM;§Y[This.GetTitledFirstName]§! will become the independent ruler of §Yall lands taken in the Crusade§!.\n;;;;;;;;;;;;;x
#
# HERESY DECISIONS
#
#
# HERESY EVENTS
#
EVTDESC_Plus_400;It is through the grace of [Root.Religion.GetHighGodName] that the [crusade_title.GetFullName] has finally been conquered. Now I must consider who shall rule this new land.;;;;;;;;;;;;;x
EVTOPTA_Plus_400;One of my children;;;;;;;;;;;;;x
EVTOPTB_Plus_400_brother;My brother;;;;;;;;;;;;;x
EVTOPTB_Plus_400_sister;My sister;;;;;;;;;;;;;x
EVTOPTC_Plus_400;A capable relative;;;;;;;;;;;;;x
EVTOPTD_Plus_400;A valiant [Root.Culture.GetName] retainer;;;;;;;;;;;;;x
EVTOPTE_Plus_400;Myself, of course!;;;;;;;;;;;;;x
EVTDESC_Plus_401;It is through the grace of [Root.Religion.GetHighGodName] that the [crusade_title.GetFullName] has been finally conquered. Perhaps it is worth considering whether I should request to [From.GetTitledFirstNameNoRegnal] that a fief be granted to someone in return for my contribution to the cause?;;;;;;;;;;;;;x
EVTOPTA_Plus_401;Request a fief for my son;;;;;;;;;;;;;x
EVTOPTB_Plus_401;Request a fief for my brother;;;;;;;;;;;;;x
EVTOPTC_Plus_401;Request a fief for a relative;;;;;;;;;;;;;x
EVTOPTD_Plus_401;Request a fief for a valiant retainer;;;;;;;;;;;;;x
EVTOPTE_Plus_401;No, our victory belongs to [Root.Religion.GetHighGodName];;;;;;;;;;;;;x
