#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
emf_notify.2001.desc;[From.GetDynName] gained the trait §YAmateurish Plotter§!.;;;;;;;;;;;;;x
emf_notify.2001.desc_self;You gained the trait §YAmateurish Plotter§!.;;;;;;;;;;;;;x
emf_notify.2001.desc_w_relation;Your [GetFromRelation], [From.GetDynName], gained the trait §YAmateurish Plotter§!.;;;;;;;;;;;;;x
emf_notify.2002.desc;[From.GetDynName] gained the trait §YFlamboyant Schemer§!.;;;;;;;;;;;;;x
emf_notify.2002.desc_self;You gained the trait §YFlamboyant Schemer§!.;;;;;;;;;;;;;x
emf_notify.2002.desc_w_relation;Your [GetFromRelation], [From.GetDynName], gained the trait §YFlamboyant Schemer§!.;;;;;;;;;;;;;x
emf_notify.2003.desc;[From.GetDynName] gained the trait §YIntricate Webweaver§!.;;;;;;;;;;;;;x
emf_notify.2003.desc_self;You gained the trait §YIntricate Webweaver§!.;;;;;;;;;;;;;x
emf_notify.2003.desc_w_relation;Your [GetFromRelation], [From.GetDynName], gained the trait §YIntricate Webweaver§!.;;;;;;;;;;;;;x
emf_notify.2004.desc;[From.GetDynName] gained the trait §YElusive Shadow§!.;;;;;;;;;;;;;x
emf_notify.2004.desc_self;You gained the trait §YElusive Shadow§!.;;;;;;;;;;;;;x
emf_notify.2004.desc_w_relation;Your [GetFromRelation], [From.GetDynName], gained the trait §YElusive Shadow§!.;;;;;;;;;;;;;x
emf_notify.2005.desc;[From.GetDynName] gained the trait §YNaive Appeaser§!.;;;;;;;;;;;;;x
emf_notify.2005.desc_self;You gained the trait §YNaive Appeaser§!.;;;;;;;;;;;;;x
emf_notify.2005.desc_w_relation;Your [GetFromRelation], [From.GetDynName], gained the trait §YNaive Appeaser§!.;;;;;;;;;;;;;x
emf_notify.2006.desc;[From.GetDynName] gained the trait §YUnderhanded Rogue§!.;;;;;;;;;;;;;x
emf_notify.2006.desc_self;You gained the trait §YUnderhanded Rogue§!.;;;;;;;;;;;;;x
emf_notify.2006.desc_w_relation;Your [GetFromRelation], [From.GetDynName], gained the trait §YUnderhanded Rogue§!.;;;;;;;;;;;;;x
emf_notify.2007.desc;[From.GetDynName] gained the trait §YCharismatic Negotiator§!.;;;;;;;;;;;;;x
emf_notify.2007.desc_self;You gained the trait §YCharismatic Negotiator§!.;;;;;;;;;;;;;x
emf_notify.2007.desc_w_relation;Your [GetFromRelation], [From.GetDynName], gained the trait §YCharismatic Negotiator§!.;;;;;;;;;;;;;x
emf_notify.2008.desc;[From.GetDynName] gained the trait §YGrey Eminence§!.;;;;;;;;;;;;;x
emf_notify.2008.desc_self;You gained the trait §YGrey Eminence§!.;;;;;;;;;;;;;x
emf_notify.2008.desc_w_relation;Your [GetFromRelation], [From.GetDynName], gained the trait §YGrey Eminence§!.;;;;;;;;;;;;;x
emf_notify.2009.desc;[From.GetDynName] gained the trait §YIndulgent Wastrel§!.;;;;;;;;;;;;;x
emf_notify.2009.desc_self;You gained the trait §YIndulgent Wastrel§!.;;;;;;;;;;;;;x
emf_notify.2009.desc_w_relation;Your [GetFromRelation], [From.GetDynName], gained the trait §YIndulgent Wastrel§!.;;;;;;;;;;;;;x
emf_notify.2010.desc;[From.GetDynName] gained the trait §YThrifty Clerk§!.;;;;;;;;;;;;;x
emf_notify.2010.desc_self;You gained the trait §YThrifty Clerk§!.;;;;;;;;;;;;;x
emf_notify.2010.desc_w_relation;Your [GetFromRelation], [From.GetDynName], gained the trait §YThrifty Clerk§!.;;;;;;;;;;;;;x
emf_notify.2011.desc;[From.GetDynName] gained the trait §YFortune Builder§!.;;;;;;;;;;;;;x
emf_notify.2011.desc_self;You gained the trait §YFortune Builder§!.;;;;;;;;;;;;;x
emf_notify.2011.desc_w_relation;Your [GetFromRelation], [From.GetDynName], gained the trait §YFortune Builder§!.;;;;;;;;;;;;;x
emf_notify.2012.desc;[From.GetDynName] gained the trait §YMidas Touched§!.;;;;;;;;;;;;;x
emf_notify.2012.desc_self;You gained the trait §YMidas Touched§!.;;;;;;;;;;;;;x
emf_notify.2012.desc_w_relation;Your [GetFromRelation], [From.GetDynName], gained the trait §YMidas Touched§!.;;;;;;;;;;;;;x
emf_notify.2013.desc;[From.GetDynName] gained the trait §YMisguided Warrior§!.;;;;;;;;;;;;;x
emf_notify.2013.desc_self;You gained the trait §YMisguided Warrior§!.;;;;;;;;;;;;;x
emf_notify.2013.desc_w_relation;Your [GetFromRelation], [From.GetDynName], gained the trait §YMisguided Warrior§!.;;;;;;;;;;;;;x
emf_notify.2014.desc;[From.GetDynName] gained the trait §YTough Soldier§!.;;;;;;;;;;;;;x
emf_notify.2014.desc_self;You gained the trait §YTough Soldier§!.;;;;;;;;;;;;;x
emf_notify.2014.desc_w_relation;Your [GetFromRelation], [From.GetDynName], gained the trait §YTough Soldier§!.;;;;;;;;;;;;;x
emf_notify.2015.desc;[From.GetDynName] gained the trait §YSkilled Tactician§!.;;;;;;;;;;;;;x
emf_notify.2015.desc_self;You gained the trait §YSkilled Tactician§!.;;;;;;;;;;;;;x
emf_notify.2015.desc_w_relation;Your [GetFromRelation], [From.GetDynName], gained the trait §YSkilled Tactician§!.;;;;;;;;;;;;;x
emf_notify.2016.desc;[From.GetDynName] gained the trait §YBrilliant Strategist§!.;;;;;;;;;;;;;x
emf_notify.2016.desc_self;You gained the trait §YBrilliant Strategist§!.;;;;;;;;;;;;;x
emf_notify.2016.desc_w_relation;Your [GetFromRelation], [From.GetDynName], gained the trait §YBrilliant Strategist§!.;;;;;;;;;;;;;x
emf_notify.2017.desc;[From.GetDynName] gained the trait §YDetached Priest§!.;;;;;;;;;;;;;x
emf_notify.2017.desc_self;You gained the trait §YDetached Priest§!.;;;;;;;;;;;;;x
emf_notify.2017.desc_w_relation;Your [GetFromRelation], [From.GetDynName], gained the trait §YDetached Priest§!.;;;;;;;;;;;;;x
emf_notify.2018.desc;[From.GetDynName] gained the trait §YDutiful Cleric§!.;;;;;;;;;;;;;x
emf_notify.2018.desc_self;You gained the trait §YDutiful Cleric§!.;;;;;;;;;;;;;x
emf_notify.2018.desc_w_relation;Your [GetFromRelation], [From.GetDynName], gained the trait §YDutiful Cleric§!.;;;;;;;;;;;;;x
emf_notify.2019.desc;[From.GetDynName] gained the trait §YScholarly Theologian§!.;;;;;;;;;;;;;x
emf_notify.2019.desc_self;You gained the trait §YScholarly Theologian§!.;;;;;;;;;;;;;x
emf_notify.2019.desc_w_relation;Your [GetFromRelation], [From.GetDynName], gained the trait §YScholarly Theologian§!.;;;;;;;;;;;;;x
emf_notify.2020.desc;[From.GetDynName] gained the trait §YMastermind Theologian§!.;;;;;;;;;;;;;x
emf_notify.2020.desc_self;You gained the trait §YMastermind Theologian§!.;;;;;;;;;;;;;x
emf_notify.2020.desc_w_relation;Your [GetFromRelation], [From.GetDynName], gained the trait §YMastermind Theologian§!.;;;;;;;;;;;;;x
emf_notify.2021.desc;[From.GetDynName] gained the trait §YStressed§!.;;;;;;;;;;;;;x
emf_notify.2021.desc_self;You gained the trait §YStressed§!.;;;;;;;;;;;;;x
emf_notify.2021.desc_w_relation;Your [GetFromRelation], [From.GetDynName], gained the trait §YStressed§!.;;;;;;;;;;;;;x
emf_notify.2022.desc;[From.GetDynName] gained the trait §YDepressed§!.;;;;;;;;;;;;;x
emf_notify.2022.desc_self;You gained the trait §YDepressed§!.;;;;;;;;;;;;;x
emf_notify.2022.desc_w_relation;Your [GetFromRelation], [From.GetDynName], gained the trait §YDepressed§!.;;;;;;;;;;;;;x
emf_notify.2023.desc;[From.GetDynName] gained the trait §YIll§!.;;;;;;;;;;;;;x
emf_notify.2023.desc_self;You gained the trait §YIll§!.;;;;;;;;;;;;;x
emf_notify.2023.desc_w_relation;Your [GetFromRelation], [From.GetDynName], gained the trait §YIll§!.;;;;;;;;;;;;;x
emf_notify.2024.desc;[From.GetDynName] gained the trait §YPneumonic§!.;;;;;;;;;;;;;x
emf_notify.2024.desc_self;You gained the trait §YPneumonic§!.;;;;;;;;;;;;;x
emf_notify.2024.desc_w_relation;Your [GetFromRelation], [From.GetDynName], gained the trait §YPneumonic§!.;;;;;;;;;;;;;x
emf_notify.2025.desc;[From.GetDynName] gained the trait §YGonorrhea§!.;;;;;;;;;;;;;x
emf_notify.2025.desc_self;You gained the trait §YGonorrhea§!.;;;;;;;;;;;;;x
emf_notify.2025.desc_w_relation;Your [GetFromRelation], [From.GetDynName], gained the trait §YGonorrhea§!.;;;;;;;;;;;;;x
emf_notify.2026.desc;[From.GetDynName] gained the trait §YLeper§!.;;;;;;;;;;;;;x
emf_notify.2026.desc_self;You gained the trait §YLeper§!.;;;;;;;;;;;;;x
emf_notify.2026.desc_w_relation;Your [GetFromRelation], [From.GetDynName], gained the trait §YLeper§!.;;;;;;;;;;;;;x
emf_notify.2027.desc;[From.GetDynName] gained the trait §YWounded§!.;;;;;;;;;;;;;x
emf_notify.2027.desc_self;You gained the trait §YWounded§!.;;;;;;;;;;;;;x
emf_notify.2027.desc_w_relation;Your [GetFromRelation], [From.GetDynName], gained the trait §YWounded§!.;;;;;;;;;;;;;x
emf_notify.2028.desc;[From.GetDynName] gained the trait §YMaimed§!.;;;;;;;;;;;;;x
emf_notify.2028.desc_self;You gained the trait §YMaimed§!.;;;;;;;;;;;;;x
emf_notify.2028.desc_w_relation;Your [GetFromRelation], [From.GetDynName], gained the trait §YMaimed§!.;;;;;;;;;;;;;x
emf_notify.2029.desc;[From.GetDynName] gained the trait §YInfirm§!.;;;;;;;;;;;;;x
emf_notify.2029.desc_self;You gained the trait §YInfirm§!.;;;;;;;;;;;;;x
emf_notify.2029.desc_w_relation;Your [GetFromRelation], [From.GetDynName], gained the trait §YInfirm§!.;;;;;;;;;;;;;x
emf_notify.2030.desc;[From.GetDynName] gained the trait §YIncapable§!.;;;;;;;;;;;;;x
emf_notify.2030.desc_self;You gained the trait §YIncapable§!.;;;;;;;;;;;;;x
emf_notify.2030.desc_w_relation;Your [GetFromRelation], [From.GetDynName], gained the trait §YIncapable§!.;;;;;;;;;;;;;x
emf_notify.2031.desc;[From.GetDynName] gained the trait §YDrunkard§!.;;;;;;;;;;;;;x
emf_notify.2031.desc_self;You gained the trait §YDrunkard§!.;;;;;;;;;;;;;x
emf_notify.2031.desc_w_relation;Your [GetFromRelation], [From.GetDynName], gained the trait §YDrunkard§!.;;;;;;;;;;;;;x
emf_notify.2032.desc;[From.GetDynName] gained the trait §YHas Consumption§!.;;;;;;;;;;;;;x
emf_notify.2032.desc_self;You gained the trait §YHas Consumption§!.;;;;;;;;;;;;;x
emf_notify.2032.desc_w_relation;Your [GetFromRelation], [From.GetDynName], gained the trait §YHas Consumption§!.;;;;;;;;;;;;;x
emf_notify.2033.desc;[From.GetDynName] gained the trait §YHas Slow Fever§!.;;;;;;;;;;;;;x
emf_notify.2033.desc_self;You gained the trait §YHas Slow Fever§!.;;;;;;;;;;;;;x
emf_notify.2033.desc_w_relation;Your [GetFromRelation], [From.GetDynName], gained the trait §YHas Slow Fever§!.;;;;;;;;;;;;;x
emf_notify.2034.desc;[From.GetDynName] gained the trait §YHas Camp Fever§!.;;;;;;;;;;;;;x
emf_notify.2034.desc_self;You gained the trait §YHas Camp Fever§!.;;;;;;;;;;;;;x
emf_notify.2034.desc_w_relation;Your [GetFromRelation], [From.GetDynName], gained the trait §YHas Camp Fever§!.;;;;;;;;;;;;;x
