#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#### EVENTS ####
EVTDESC_HL_10501;Your [eloper.GetSonDaughter] [eloper.GetFirstName] has eloped with the notorious mercenary [From.GetFirstName]. While their union may not be legitimate, it is said that [From.GetFirstName] has [eloper.GetObjectPronoun] wrapped around [From.GetPossPronoun] fingers.;Votre [eloper.GetSonDaughter] [eloper.GetFirstName] a fui avec le célèbre mercenaire [From.GetFirstName].;Euer/Eure [eloper.GetSonDaughter] [eloper.GetFirstName] ist mit dem berüchtigten Söldner [From.GetFirstName] durchgebrannt.;;Tu [eloper.GetSonDaughter] [eloper.GetFirstName] se fugó con el famoso mercenario [From.GetFirstName].;;;;;;;;;x
emf_vanilla.20.desc;§Y[From.Location.GetName]§! was converted to the §Y[From.Religion.GetName]§! faith!;;;;;;;;;;;;;x
emf_vanilla.21.desc;Under the guidance of your [Root.GetMarshalName], §Y[From.Location.GetName]§! will enjoy ample levy reinforcements for the next two years.;;;;;;;;;;;;;x
emf_vanilla_soa_200;No thanks.;;;;;;;;;;;;;x
#### OPINION MODIFIERS ####
opinion_holding_contests;Holding Contest;;;;;;;;;;;;;x
#### TOOLTIPS ####
emf_dec_feast_tt;The feast will begin in November.;;;;;;;;;;;;;x
emf_dec_fair_tt;The fair will begin in May.;;;;;;;;;;;;;x
emf_dec_hunt_tt;The hunt will begin in September.;;;;;;;;;;;;;x
